path,line,voltage_v,current_reading,current_read_attempts,current_read_warning,measured_current_mA,current_std_mA,current_sample_1_mA,current_sample_2_mA,current_sample_3_mA,current_sample_4_mA,current_sample_5_mA,current_sample_6_mA,current_sample_7_mA,current_sample_8_mA,current_sample_9_mA,current_sample_10_mA,expected_current_mA,relative_current_error,relative_current_std,voltage_before,voltage_after,current_layer,voltage,min_check_voltage,current_mA
results\ColumnPhaseOptimize\run_20260609_162958\heater_update_snapshots.csv,4300,0.000000000000,-0.001743201556,1,,,,,,,,,,,,,,,,,,,,,,
results\ColumnPhaseOptimize\run_20260609_162958\heater_update_snapshots.csv,4428,0.000000000000,-0.001726794954,1,,,,,,,,,,,,,,,,,,,,,,
results\ColumnPhaseOptimize\run_20260609_162958\heater_update_snapshots.csv,4556,0.000000000000,-0.001734998255,1,,,,,,,,,,,,,,,,,,,,,,
results\ColumnPhaseOptimize\run_20260609_162958\heater_update_snapshots.csv,4684,0.000000000000,-0.001899064284,1,,,,,,,,,,,,,,,,,,,,,,
results\ColumnPhaseOptimize\run_20260609_162958\heater_update_snapshots.csv,4812,0.000000000000,-0.001743201556,2,,,,,,,,,,,,,,,,,,,,,,
results\ColumnPhaseOptimize\run_20260609_162958\heater_update_snapshots.csv,4940,0.000000000000,-0.001743201556,1,,,,,,,,,,,,,,,,,,,,,,
results\ColumnPhaseOptimize\run_20260609_162958\heater_update_snapshots.csv,5068,0.000000000000,-0.001767811461,1,,,,,,,,,,,,,,,,,,,,,,
results\ColumnPhaseOptimize\run_20260609_162958\heater_update_snapshots.csv,5196,0.000000000000,-0.001743201556,1,,,,,,,,,,,,,,,,,,,,,,
results\ColumnPhaseOptimize\run_20260609_162958\heater_update_snapshots.csv,5324,0.000000000000,-0.001734998255,1,,,,,,,,,,,,,,,,,,,,,,
results\ColumnPhaseOptimize\run_20260609_162958\heater_update_snapshots.csv,5452,0.000000000000,-0.001743201556,1,,,,,,,,,,,,,,,,,,,,,,
results\ColumnPhaseOptimize\run_20260609_162958\heater_update_snapshots.csv,5580,0.000000000000,-0.001751404858,1,,,,,,,,,,,,,,,,,,,,,,
results\ColumnPhaseOptimize\run_20260609_162958\heater_update_snapshots.csv,5708,0.000000000000,-0.001743201556,1,,,,,,,,,,,,,,,,,,,,,,
results\ColumnPhaseOptimize\run_20260609_162958\heater_update_snapshots.csv,5836,0.000000000000,-0.001751404858,1,,,,,,,,,,,,,,,,,,,,,,
results\ColumnPhaseOptimize\run_20260609_162958\heater_update_snapshots.csv,5964,0.000000000000,-0.001743201556,1,,,,,,,,,,,,,,,,,,,,,,
results\ColumnPhaseOptimize\run_20260609_162958\heater_update_snapshots.csv,6092,0.000000000000,-0.001759608159,1,,,,,,,,,,,,,,,,,,,,,,
results\ColumnPhaseOptimize\run_20260609_162958\heater_update_snapshots.csv,6220,0.000000000000,-0.001718591652,1,,,,,,,,,,,,,,,,,,,,,,
results\ColumnPhaseOptimize\run_20260609_162958\heater_update_snapshots.csv,6348,0.000000000000,-0.001743201556,1,,,,,,,,,,,,,,,,,,,,,,
results\ColumnPhaseOptimize\run_20260609_162958\heater_update_snapshots.csv,6476,0.000000000000,-0.001743201556,1,,,,,,,,,,,,,,,,,,,,,,
results\ColumnPhaseOptimize\run_20260609_162958\heater_update_snapshots.csv,6604,0.000000000000,-0.001981097298,1,,,,,,,,,,,,,,,,,,,,,,
results\ColumnPhaseOptimize\run_20260609_162958\heater_update_snapshots.csv,6732,0.000000000000,-0.001989300600,1,,,,,,,,,,,,,,,,,,,,,,
results\ColumnPhaseOptimize\run_20260609_162958\heater_update_snapshots.csv,6860,0.000000000000,-0.001997503901,1,,,,,,,,,,,,,,,,,,,,,,
results\ColumnPhaseOptimize\run_20260609_162958\heater_update_snapshots.csv,6988,0.000000000000,-0.001767811461,1,,,,,,,,,,,,,,,,,,,,,,
results\ColumnPhaseOptimize\run_20260609_162958\heater_update_snapshots.csv,7116,0.000000000000,-0.001767811461,1,,,,,,,,,,,,,,,,,,,,,,
results\ColumnPhaseOptimize\run_20260609_162958\heater_update_snapshots.csv,7244,0.000000000000,-0.001759608159,2,,,,,,,,,,,,,,,,,,,,,,
results\ColumnPhaseOptimize\run_20260609_162958\heater_update_snapshots.csv,7372,0.000000000000,-0.001751404858,1,,,,,,,,,,,,,,,,,,,,,,
results\ColumnPhaseOptimize\run_20260609_162958\heater_update_snapshots.csv,7500,0.000000000000,-0.001767811461,1,,,,,,,,,,,,,,,,,,,,,,
results\ColumnPhaseOptimize\run_20260609_162958\heater_update_snapshots.csv,7628,0.000000000000,-0.001759608159,1,,,,,,,,,,,,,,,,,,,,,,
results\ColumnPhaseOptimize\run_20260609_162958\heater_update_snapshots.csv,7756,0.000000000000,-0.001734998255,1,,,,,,,,,,,,,,,,,,,,,,
results\ColumnPhaseOptimize\run_20260609_162958\heater_update_snapshots.csv,7884,0.000000000000,-0.001759608159,1,,,,,,,,,,,,,,,,,,,,,,
results\ColumnPhaseOptimize\run_20260609_162958\heater_update_snapshots.csv,8012,0.000000000000,-0.001759608159,1,,,,,,,,,,,,,,,,,,,,,,
results\ColumnPhaseOptimize\run_20260609_162958\heater_update_snapshots.csv,8140,0.000000000000,-0.001767811461,1,,,,,,,,,,,,,,,,,,,,,,
results\ColumnPhaseOptimize\run_20260609_162958\heater_update_snapshots.csv,8268,0.000000000000,-0.001759608159,2,,,,,,,,,,,,,,,,,,,,,,
results\ColumnPhaseOptimize\run_20260609_162958\heater_update_snapshots.csv,8396,0.000000000000,-0.001776014762,1,,,,,,,,,,,,,,,,,,,,,,
results\ColumnPhaseOptimize\run_20260609_162958\heater_update_snapshots.csv,8524,0.000000000000,-0.002087740217,1,,,,,,,,,,,,,,,,,,,,,,
results\ColumnPhaseOptimize\run_20260609_162958\heater_update_snapshots.csv,8652,0.000000000000,-0.001759608159,1,,,,,,,,,,,,,,,,,,,,,,
