observed_mzi,probe_arm,perturbed_heater,delta_power_w,baseline_phi,perturbed_phi,delta_eta_rad,delta_delta_rad,J_rad_per_w,J_rad_per_mw,baseline_rmse_uW,perturbed_rmse_uW,baseline_A,baseline_b,perturbed_A,perturbed_b,fixed_w,warning,baseline_scan_mzi_id,perturbed_scan_mzi_id,baseline_scan_arm_name,perturbed_scan_arm_name,baseline_scan_port,perturbed_scan_port
5,u,5u,0.001,1.2336445808676837,1.4053162200971077,0.17167163922942397,0.17167163922942397,171.67163922942396,0.17167163922942397,0.13986836002869674,0.0677372182199996,83.57662645407488,68.27399065802106,84.41977921025791,67.45956446963143,179.8566249709832,,5,5,upper,upper,11,11
6,u,5u,0.001,1.3619612936703698,1.3707393199515474,0.008778026281177631,0.008778026281177631,8.778026281177631,0.008778026281177631,0.15456374196137468,0.09187273706053932,53.71397506902694,62.83266236005441,53.53869539704659,62.40965183861307,181.93760770075124,,6,6,upper,upper,12,12
7,u,5u,0.001,1.3178414969863415,1.334341646860068,0.0165001498737265,0.0165001498737265,16.5001498737265,0.0165001498737265,0.11762188301556897,0.1656714131275494,54.89306995435265,66.81997806247706,54.53358352664063,66.90304523324893,180.85551150485253,,7,7,upper,upper,13,13
8,u,5u,0.001,1.6943575042979315,1.6635474268533397,-0.030810077444591855,-0.030810077444591855,-30.810077444591855,-0.030810077444591855,0.13387157940936997,0.055891837522583455,43.507039750845315,62.72143527031939,56.73660201353491,49.486398501597684,181.42825620486886,,8,8,upper,upper,14,14
5,u,5d,0.001,1.2336445808676837,0.6024221829052268,-0.6312223979624569,-0.6312223979624569,-631.222397962457,-0.6312223979624569,0.13986836002869674,0.5277488738203978,83.57662645407488,68.27399065802106,47.80157722309399,114.08769637246897,179.8566249709832,,5,5,upper,upper,11,11
6,u,5d,0.001,1.3619612936703698,1.3290850595530985,-0.03287623411727125,-0.03287623411727125,-32.87623411727125,-0.03287623411727125,0.15456374196137468,0.08370721451581004,53.71397506902694,62.83266236005441,45.66295270141753,70.94226695249675,181.93760770075124,,6,6,upper,upper,12,12
7,u,5d,0.001,1.3178414969863415,1.2435300338411102,-0.0743114631452313,-0.0743114631452313,-74.31146314523129,-0.07431146314523128,0.11762188301556897,0.15177212549316718,54.89306995435265,66.81997806247706,43.04422453064167,79.16326525573517,180.85551150485253,,7,7,upper,upper,13,13
8,u,5d,0.001,1.6943575042979315,1.6933641836844577,-0.0009933206134737915,-0.0009933206134737915,-0.9933206134737915,-0.0009933206134737915,0.13387157940936997,0.02322261018839084,43.507039750845315,62.72143527031939,43.971433055200244,62.29625593574777,181.42825620486886,,8,8,upper,upper,14,14
5,u,6u,0.001,1.2336445808676837,1.231029124716068,-0.002615456151615625,-0.002615456151615625,-2.615456151615625,-0.002615456151615625,0.13986836002869674,0.13796584757941843,83.57662645407488,68.27399065802106,83.04106952717324,68.87755973147465,179.8566249709832,,5,5,upper,upper,11,11
6,u,6u,0.001,1.3619612936703698,1.538049342393487,0.17608804872311712,0.17608804872311712,176.0880487231171,0.17608804872311712,0.15456374196137468,0.08843699143747595,53.71397506902694,62.83266236005441,55.59305590013145,61.017418361033606,181.93760770075124,,6,6,upper,upper,12,12
