,P5u,P5d,P6u,P6d,P7u,P7d,P8u,P8d
Delta5,0.17167163922942397,-0.6312223979624569,-0.002615456151615625,-0.031191596586822357,-0.05676902343728951,0.04022809447556153,0.027808447857950114,-0.025208909719979467
Delta6,0.008778026281177631,-0.03287623411727125,0.17608804872311712,-0.2207741934236731,0.014192495766098823,0.0005128259056403905,0.009047374848715428,-0.007005707179668086
Delta7,0.0165001498737265,-0.07431146314523128,0.013195107171935838,0.06970975204956441,0.18351522119814234,-0.2293213467668682,-0.03800587925697663,-0.06166758895182678
Delta8,-0.030810077444591855,-0.0009933206134737915,-0.013739257638230029,-0.005694743158512594,-0.0012013634056060596,-0.016686776146344506,0.2091696691373235,-0.22003486026023997
