path,line,source,field,voltage_v
results\LayerwiseLossOptimize\run_20260612_151310\voltage_state_iter001.csv,76,csv,voltage,4.332
results\LayerwiseLossOptimize\run_20260612_151310\voltage_state_iter002.csv,76,csv,voltage,4.332
results\LayerwiseLossOptimize\run_20260612_151310\voltage_state_iter003.csv,76,csv,voltage,4.332
results\LayerwiseLossOptimize\run_20260612_151310\voltage_state_iter004.csv,76,csv,voltage,4.332
results\LayerwiseLossOptimize\run_20260612_151310\voltage_state_iter005.csv,76,csv,voltage,4.332
results\LayerwiseLossOptimize\run_20260615_101118\final_voltage.csv,76,csv,voltage,4.332
results\LayerwiseLossOptimize\run_20260615_101118\voltage_state_iter000.csv,76,csv,voltage,4.332
results\LayerwiseLossOptimize\run_20260615_101118\voltage_state_iter001.csv,76,csv,voltage,4.332
results\LayerwiseLossOptimize\run_20260615_101118\voltage_state_iter002.csv,76,csv,voltage,4.332
results\LayerwiseLossOptimize\run_20260615_101118\voltage_state_iter003.csv,76,csv,voltage,4.332
results\LayerwiseLossOptimize\run_20260615_101118\voltage_state_iter004.csv,76,csv,voltage,4.332
results\LayerwiseLossOptimize\run_20260615_101118\voltage_state_iter005.csv,76,csv,voltage,4.332
results\LayerwiseLossOptimize\run_20260615_101118\voltage_state_iter006.csv,76,csv,voltage,4.332
results\LayerwiseLossOptimize\run_20260615_101118\voltage_state_iter007.csv,76,csv,voltage,4.332
results\LayerwiseLossOptimize\run_20260615_101118\voltage_state_iter008.csv,76,csv,voltage,4.332
results\LayerwiseLossOptimize\run_20260615_101118\voltage_state_iter009.csv,76,csv,voltage,4.332
results\LayerwiseLossOptimize\run_20260615_175207\voltage_state_layer02_iter000.csv,76,csv,voltage,4.332
results\LayerwiseLossOptimize\run_20260615_175207\voltage_state_layer02_iter001.csv,76,csv,voltage,4.332
results\LayerwiseLossOptimize\run_20260615_231845\voltage_state_layer02_iter000.csv,76,csv,voltage,4.332
results\LayerwiseLossOptimize\run_20260615_231845\voltage_state_layer02_iter001.csv,76,csv,voltage,4.332
results\LayerwiseLossOptimize\run_20260616_181448\voltage_state_layer02_iter000.csv,76,csv,voltage,4.332
results\LayerwiseLossOptimize\run_20260616_181448\voltage_state_layer02_iter001.csv,76,csv,voltage,4.332
results\LayerwiseLossOptimize\run_20260616_181448\voltage_state_layer02_iter002.csv,76,csv,voltage,4.332
results\LayerwiseLossOptimize\run_20260616_181448\voltage_state_layer02_iter003.csv,76,csv,voltage,4.332
results\LayerwiseLossOptimize\run_20260616_181448\voltage_state_layer02_iter004.csv,76,csv,voltage,4.332
results\LayerwiseLossOptimize\run_20260616_181448\voltage_state_layer02_iter005.csv,76,csv,voltage,4.332
results\LayerwiseLossOptimize\run_20260616_181448\voltage_state_layer02_iter006.csv,76,csv,voltage,4.332
results\LayerwiseLossOptimize\run_20260616_181448\voltage_state_layer02_iter007.csv,76,csv,voltage,4.332
results\LayerwiseLossOptimize\run_20260616_181448\voltage_state_layer02_iter008.csv,76,csv,voltage,4.332
results\LayerwiseLossOptimize\run_20260616_181448\voltage_state_layer02_iter009.csv,76,csv,voltage,4.332
results\LayerwiseLossOptimize\run_20260616_181448\voltage_state_layer02_iter010.csv,76,csv,voltage,4.332
results\LayerwiseLossOptimize\run_20260623_141324\upload_voltage_failure_log.csv,36,csv,voltage,4.332
results\LayerwiseLossOptimize\run_20260623_141324\voltage_state_layer02_iter000.csv,76,csv,voltage,4.332
results\LayerwiseLossOptimize\run_20260623_141324\voltage_state_layer02_iter001.csv,76,csv,voltage,4.332
results\LayerwiseLossOptimize\run_20260623_141324\voltage_state_layer02_iter002.csv,76,csv,voltage,4.332
results\LayerwiseLossOptimize\run_20260623_141324\voltage_state_layer02_iter003.csv,76,csv,voltage,4.332
results\LayerwiseLossOptimize\run_20260623_141324\voltage_state_layer02_iter004.csv,76,csv,voltage,4.332
