theta,error_rad
theta5u,1.0471975511965974
theta5d,0.0
theta6u,1.0471975511965974
theta6d,0.0
theta7u,1.0471975511965974
theta7d,0.0
theta8u,-3.141592653589793
theta8d,0.0
