theta,error_rad
theta5u,0.4025122563634138
theta5d,-0.18834101128119052
theta6u,-0.5397318696682429
theta6d,1.2492913216641073
theta7u,-0.3170230528672118
theta7d,-0.10366035352813352
theta8u,-0.8435474439691042
theta8d,-0.3053462936105644
