mzi_id,arm_index,arm_name,port,scan_stage,target_power_w,voltage_v,optical_power_uW,current_mA,measured_power_w
17,0,upper,84,coarse,0.000000000000,0.000,159.133400000000,-0.034966596705,-0.000000000000
17,0,upper,84,coarse,0.001000000000,0.716,150.181400000000,1.393245754157,0.000997563960
17,0,upper,84,coarse,0.002000000000,1.012,139.019500000000,1.982414209983,0.002006203181
17,0,upper,84,coarse,0.003000000000,1.240,125.940400000000,2.430836868028,0.003014237716
17,0,upper,84,coarse,0.004000000000,1.431,111.722800000000,2.807250048139,0.004017174819
17,0,upper,84,coarse,0.005000000000,1.600,96.501820000000,3.137839015019,0.005020542424
17,0,upper,84,coarse,0.006000000000,1.753,80.732940000000,3.435696401020,0.006022775791
17,0,upper,84,coarse,0.007000000000,1.894,65.758380000000,3.707368522318,0.007021755981
17,0,upper,84,coarse,0.008000000000,2.024,51.414000000000,3.959401695088,0.008013829031
17,0,upper,84,coarse,0.009000000000,2.147,38.091580000000,4.195069077418,0.009006813309
17,0,upper,84,coarse,0.010000000000,2.263,26.563470000000,4.417643827397,0.009997127981
17,0,upper,84,coarse,0.011000000000,2.374,17.023540000000,4.627125945024,0.010984796993
17,0,upper,84,coarse,0.012000000000,2.479,9.990873000000,4.826788588387,0.011965608911
17,0,upper,84,coarse,0.013000000000,2.581,5.607755000000,5.019904915575,0.012956374587
17,0,upper,84,coarse,0.014000000000,2.678,4.159622000000,5.203201768498,0.013934174336
17,0,upper,84,coarse,0.015000000000,2.772,5.708091000000,5.376679147158,0.014904154596
17,0,upper,84,coarse,0.016000000000,2.863,10.205760000000,5.546883367730,0.015880727082
17,0,upper,84,coarse,0.017000000000,2.951,17.422320000000,5.710541272126,0.016851807294
17,0,upper,84,coarse,0.018000000000,3.036,27.044970000000,5.867652860346,0.017814194084
17,0,upper,84,coarse,0.019000000000,3.120,38.755560000000,6.021491290479,0.018787052826
17,0,upper,84,coarse,0.020000000000,3.201,51.904980000000,6.172056562523,0.019756753057
17,0,upper,84,coarse,0.021000000000,3.280,65.944090000000,6.316075518392,0.020716727700
17,0,upper,84,coarse,0.022000000000,3.357,80.503760000000,6.453548158084,0.021664561167
17,0,upper,84,coarse,0.023000000000,3.432,95.065000000000,6.591020797777,0.022620383378
17,0,upper,84,coarse,0.024000000000,3.506,109.406300000000,6.725220279382,0.023578622300
17,0,upper,84,coarse,0.025000000000,3.579,122.990600000000,6.856146602899,0.024538148692
17,0,upper,84,coarse,0.026000000000,3.649,135.665800000000,6.983799768328,0.025483885355
17,0,upper,84,coarse,0.027000000000,3.719,146.912300000000,7.108179775669,0.026435320586
17,0,upper,84,coarse,0.028000000000,3.787,155.995000000000,7.229286624922,0.027377308449
17,0,upper,84,coarse,0.029000000000,3.854,162.867000000000,7.347120316087,0.028315801698
17,0,upper,84,coarse,0.030000000000,3.920,167.943300000000,7.464954007252,0.029262619708
17,0,upper,84,fine,0.030242000000,3.936,168.642800000000,7.494412430043,0.029498007325
17,0,upper,84,fine,0.030342000000,3.942,168.765400000000,7.504231904307,0.029581682167
17,0,upper,84,fine,0.030442000000,3.949,169.002400000000,7.517324536659,0.029685914595
17,0,upper,84,fine,0.030542000000,3.955,169.376600000000,7.527144010923,0.029769854563
17,0,upper,84,fine,0.030642000000,3.962,169.728700000000,7.536963485186,0.029861449328
17,0,upper,84,fine,0.030742000000,3.968,169.769500000000,7.550056117538,0.029958622674
17,0,upper,84,fine,0.030842000000,3.975,169.703100000000,7.563148749890,0.030063516281
17,0,upper,84,fine,0.030942000000,3.981,169.743000000000,7.572968224154,0.030147986500
17,0,upper,84,coarse,0.031000000000,3.985,169.538500000000,7.579514540329,0.030204365443
17,0,upper,84,fine,0.031042000000,3.988,169.363400000000,7.582787698417,0.030240157341
17,0,upper,84,fine,0.031142000000,3.994,169.723700000000,7.595880330769,0.030337946041
17,0,upper,84,fine,0.031242000000,4.000,169.525900000000,7.605699805033,0.030422799220
17,0,upper,84,fine,0.031342000000,4.007,169.660400000000,7.618792437385,0.030528501297
17,0,upper,84,fine,0.031442000000,4.013,169.566100000000,7.628611911648,0.030613619601
17,0,upper,84,fine,0.031542000000,4.020,169.415000000000,7.641704544000,0.030719652267
17,0,upper,84,fine,0.031642000000,4.026,169.273300000000,7.651524018264,0.030805035698
17,0,upper,84,fine,0.031742000000,4.032,169.167900000000,7.661343492527,0.030890536962
17,0,upper,84,fine,0.031842000000,4.039,168.685100000000,7.674436124879,0.030997047508
17,0,upper,84,fine,0.031942000000,4.045,168.832100000000,7.684255599143,0.031082813899
17,0,upper,84,coarse,0.032000000000,4.049,168.369000000000,7.690801915319,0.031140056955
17,0,upper,84,fine,0.032042000000,4.051,168.675400000000,7.694075073407,0.031168698122
17,0,upper,84,fine,0.032142000000,4.058,168.308700000000,7.707167705758,0.031275686550
17,0,upper,84,fine,0.032242000000,4.064,167.937100000000,7.716987180022,0.031361835900
17,0,upper,84,coarse,0.033000000000,4.111,164.456000000000,7.798816132220,0.032060933120
17,0,upper,84,coarse,0.034000000000,4.173,157.859300000000,7.906830349122,0.032995203047
17,0,upper,84,coarse,0.035000000000,4.234,148.706200000000,8.014844566023,0.033934851893
17,0,upper,84,coarse,0.036000000000,4.294,137.527200000000,8.119585624837,0.034865500673
17,0,upper,84,coarse,0.037000000000,4.353,124.774200000000,8.221053525562,0.035786245997
17,0,upper,84,coarse,0.038000000000,4.412,110.568800000000,8.322521426288,0.036718964533
17,0,upper,84,coarse,0.039000000000,4.470,95.853860000000,8.420716168925,0.037640601275
17,0,upper,84,coarse,0.040000000000,4.527,81.057940000000,8.518910911563,0.038565109697
17,0,upper,84,coarse,0.041000000000,4.583,66.609590000000,8.613832496113,0.039477194330
17,0,upper,84,coarse,0.042000000000,4.638,52.790930000000,8.708754080662,0.040391201426
17,0,upper,84,coarse,0.043000000000,4.693,39.931350000000,8.800402507124,0.041300288966
17,0,upper,84,coarse,0.044000000000,4.747,28.540700000000,8.892050933586,0.042210565782
17,0,upper,84,coarse,0.045000000000,4.801,19.059730000000,8.983699360048,0.043130740628
17,0,upper,84,coarse,0.046000000000,4.854,11.762470000000,9.072074628422,0.044035850246
17,0,upper,84,coarse,0.047000000000,4.907,6.845264000000,9.160449896796,0.044950327644
17,0,upper,84,fine,0.047443000000,4.930,5.512714000000,9.199727793851,0.045354658024
17,0,upper,84,fine,0.047543000000,4.935,5.285769000000,9.209547268115,0.045449115768
17,0,upper,84,fine,0.047643000000,4.940,5.079225000000,9.216093584290,0.045527502306
17,0,upper,84,fine,0.047743000000,4.945,4.917037000000,9.225913058554,0.045622140075
17,0,upper,84,fine,0.047843000000,4.950,4.770448000000,9.232459374730,0.045700673905
17,0,upper,84,fine,0.047943000000,4.956,4.620862000000,9.242278848994,0.045804733976
17,0,upper,84,coarse,0.048000000000,4.959,4.553250000000,9.248825165170,0.045864923994
17,0,upper,84,fine,0.048043000000,4.961,4.516837000000,9.252098323258,0.045899659782
17,0,upper,84,fine,0.048143000000,4.966,4.443048000000,9.258644639433,0.045978429279
17,0,upper,84,fine,0.048243000000,4.971,4.398696000000,9.268464113697,0.046073535109
17,0,upper,84,fine,0.048343000000,4.976,4.366246000000,9.278283587961,0.046168739134
17,0,upper,84,fine,0.048443000000,4.981,4.364882000000,9.284829904137,0.046247737753
17,0,upper,84,fine,0.048543000000,4.987,4.391743000000,9.294649378400,0.046352416450
17,0,upper,84,fine,0.048643000000,4.992,4.455083000000,9.304468852664,0.046447908513
17,0,upper,84,fine,0.048743000000,4.997,4.529870000000,9.311015168840,0.046527142799
17,0,upper,84,fine,0.048843000000,5.002,4.624761000000,9.320834643104,0.046622814885
17,0,upper,84,fine,0.048943000000,5.007,4.755145000000,9.327380959280,0.046702196463
17,0,upper,84,coarse,0.049000000000,5.010,4.837044000000,9.330654117368,0.046746577128
17,0,upper,84,fine,0.049043000000,5.012,4.892751000000,9.337200433543,0.046798048573
17,0,upper,84,fine,0.049143000000,5.017,5.066969000000,9.343746749719,0.046877577443
17,0,upper,84,fine,0.049243000000,5.022,5.271364000000,9.353566223983,0.046973609577
17,0,upper,84,fine,0.049343000000,5.027,5.488034000000,9.360112540159,0.047053285739
17,0,upper,84,fine,0.049443000000,5.033,5.796255000000,9.369932014423,0.047158867829
17,0,upper,84,coarse,0.050000000000,5.061,7.659799000000,9.415756227654,0.047653142268
17,0,upper,84,coarse,0.051000000000,5.111,12.878490000000,9.500858337940,0.048558886965
17,0,upper,84,coarse,0.052000000000,5.161,20.312210000000,9.582687290138,0.049456249104
17,0,upper,84,coarse,0.053000000000,5.210,29.784650000000,9.664516242336,0.050352129623
17,0,upper,84,coarse,0.054000000000,5.259,41.061660000000,9.743072036446,0.051238815840
17,0,upper,84,coarse,0.055000000000,5.308,53.933750000000,9.824900988644,0.052150574448
17,0,upper,84,coarse,0.056000000000,5.356,67.803490000000,9.900183624666,0.053025383494
17,0,upper,84,fine,0.056043000000,5.358,68.227050000000,9.906729940842,0.053080259023
17,0,upper,84,fine,0.056143000000,5.363,69.964870000000,9.913276257018,0.053164900566
17,0,upper,84,fine,0.056243000000,5.367,71.181960000000,9.919822573194,0.053239687750
17,0,upper,84,fine,0.056343000000,5.372,72.645460000000,9.929642047457,0.053342037079
17,0,upper,84,fine,0.056443000000,5.377,74.203660000000,9.936188363633,0.053426884831
17,0,upper,84,fine,0.056543000000,5.382,75.722560000000,9.946007837897,0.053529414184
17,0,upper,84,fine,0.056643000000,5.387,77.238920000000,9.952554154073,0.053614409228
17,0,upper,84,fine,0.056743000000,5.391,78.428840000000,9.959100470249,0.053689510635
17,0,upper,84,fine,0.056843000000,5.396,79.992120000000,9.968919944512,0.053792292021
17,0,upper,84,fine,0.056943000000,5.401,81.698100000000,9.975466260688,0.053877493274
17,0,upper,84,coarse,0.057000000000,5.403,82.040570000000,9.978739418776,0.053915129080
17,0,upper,84,fine,0.057043000000,5.405,82.874600000000,9.982012576864,0.053952777978
17,0,upper,84,fine,0.057143000000,5.410,84.324820000000,9.988558893040,0.054038103611
17,0,upper,84,fine,0.057243000000,5.415,85.996030000000,9.998378367304,0.054141218859
17,0,upper,84,fine,0.057343000000,5.420,85.964590000000,9.998378367304,0.054191210751
17,0,upper,84,fine,0.057443000000,5.424,88.714910000000,10.011470999655,0.054302218702
17,0,upper,84,fine,0.057543000000,5.429,90.376260000000,10.021290473919,0.054405585983
17,0,upper,84,fine,0.057643000000,5.434,91.943560000000,10.027836790095,0.054491265117
17,0,upper,84,fine,0.057743000000,5.439,93.426420000000,10.037656264359,0.054594812422
17,0,upper,84,fine,0.057843000000,5.443,94.656430000000,10.044202580535,0.054670594646
17,0,upper,84,fine,0.057943000000,5.448,96.271270000000,10.050748896710,0.054756479989
17,0,upper,84,coarse,0.058000000000,5.451,97.168560000000,10.057295212886,0.054822316205
17,0,upper,84,fine,0.058043000000,5.453,98.090920000000,10.060568370974,0.054860279327
17,0,upper,84,coarse,0.059000000000,5.497,111.388800000000,10.129304690821,0.055680787885
17,0,upper,84,coarse,0.060000000000,5.544,125.417800000000,10.204587326843,0.056574232140
