mzi_id,arm_index,arm_name,port,scan_stage,target_power_w,voltage_v,optical_power_uW,current_mA,measured_power_w
16,1,lower,18,coarse,0.000000000000,0.000,131.714100000000,-0.026784083669,-0.000000000000
16,1,lower,18,coarse,0.001000000000,0.714,138.429000000000,1.398794313618,0.000998739140
16,1,lower,18,coarse,0.002000000000,1.009,142.700400000000,1.984689611356,0.002002551818
16,1,lower,18,coarse,0.003000000000,1.236,144.747300000000,2.436385427489,0.003011372388
16,1,lower,18,coarse,0.004000000000,1.427,144.236500000000,2.812798607600,0.004013863613
16,1,lower,18,coarse,0.005000000000,1.596,141.258500000000,3.146660732568,0.005022070529
16,1,lower,18,coarse,0.006000000000,1.748,135.619100000000,3.444518118569,0.006021017671
16,1,lower,18,coarse,0.007000000000,1.888,127.727100000000,3.716190239866,0.007016167173
16,1,lower,18,coarse,0.008000000000,2.019,117.835500000000,3.968223412636,0.008011843070
16,1,lower,18,coarse,0.009000000000,2.141,106.615600000000,4.207163953055,0.009007538023
16,1,lower,18,coarse,0.010000000000,2.257,93.883870000000,4.429738703033,0.009997920253
16,1,lower,18,coarse,0.011000000000,2.367,80.932750000000,4.639220820660,0.010981035683
16,1,lower,18,coarse,0.012000000000,2.472,67.691170000000,4.838883464024,0.011961719923
16,1,lower,18,coarse,0.013000000000,2.573,54.822970000000,5.031999791211,0.012947335463
16,1,lower,18,coarse,0.014000000000,2.670,42.651670000000,5.215296644135,0.013924842040
16,1,lower,18,coarse,0.015000000000,2.764,31.298180000000,5.392047180882,0.014903618408
16,1,lower,18,coarse,0.016000000000,2.855,21.219450000000,5.562251401454,0.015880227751
16,1,lower,18,coarse,0.017000000000,2.943,12.829470000000,5.725909305850,0.016851351087
16,1,lower,18,coarse,0.018000000000,3.028,6.354429000000,5.886294052159,0.017823698390
16,1,lower,18,coarse,0.019000000000,3.111,2.051796000000,6.040132482291,0.018790852152
16,1,lower,18,coarse,0.020000000000,3.192,0.156089100000,6.190697754335,0.019760707232
16,1,lower,18,coarse,0.021000000000,3.270,0.803649000000,6.334716710204,0.020714523642
16,1,lower,18,coarse,0.022000000000,3.347,3.975726000000,6.475462507985,0.021673373014
16,1,lower,18,coarse,0.023000000000,3.423,9.601228000000,6.612935147677,0.022636077010
16,1,lower,18,coarse,0.024000000000,3.496,17.255410000000,6.747134629282,0.023587982664
16,1,lower,18,coarse,0.025000000000,3.568,26.584120000000,6.878060952799,0.024540921480
