x_power,dp,pow(uW),v_primary,v_secondary,p_primary,p_secondary,scan_type
0.0,0.0,7.177483,4.0,0.0,0.03141369807308828,0.0,phase_coarse
0.0013863692565550193,0.25,8.514969,4.087,0.842,0.032795054581812325,0.0013863692565550193,phase_coarse
0.002769163884495634,0.5,9.933848,4.172,1.19,0.03417336003511101,0.002769163884495634,phase_coarse
0.004151201739310553,0.75,11.23723,4.255,1.457,0.0355466118097322,0.004151201739310553,phase_coarse
0.005532312693707949,1.0,12.30406,4.336,1.682,0.03691285440297083,0.005532312693707949,phase_coarse
0.006911470117478546,1.25,12.96762,4.416,1.88,0.038287517830649175,0.006911470117478546,phase_coarse
0.008290246221457128,1.5,13.19093,4.495,2.059,0.039669659681825044,0.008290246221457128,phase_coarse
0.00967217848002195,1.75,12.912799999999999,4.572,2.224,0.041040394433888114,0.00967217848002195,phase_coarse
0.011058047132132062,2.0,12.256319999999999,4.648,2.378,0.04241615734099901,0.011058047132132062,phase_coarse
0.01243783813340324,2.25,11.2514,4.723,2.522,0.043796053112762655,0.01243783813340324,phase_coarse
0.01381543899022796,2.5,9.975240999999999,4.796,2.658,0.04516036376356979,0.01381543899022796,phase_coarse
0.015199884048447873,2.75,8.512781,4.868,2.788,0.04652648266537226,0.015199884048447873,phase_coarse
0.016582021633054552,3.0,6.9299420000000005,4.939,2.912,0.04789356164832208,0.016582021633054552,phase_coarse
0.01796497465537031,3.25,5.319257,5.009,3.031,0.049260764322708074,0.01796497465537031,phase_coarse
0.01934176202997206,3.5,3.778211,5.078,3.145,0.0506272660789558,0.01934176202997206,phase_coarse
0.02071842425346258,3.75,2.406049,5.146,3.255,0.05199225408762762,0.02071842425346258,phase_coarse
0.022102945575640895,4.0,1.313782,5.213,3.362,0.05335492729942269,0.022102945575640895,phase_coarse
0.02347800625600494,4.25,0.5381612,5.28,3.465,0.05473522752254903,0.02347800625600494,phase_coarse
0.02486665756485373,4.5,0.5379771999999999,3.059,3.566,0.018372067678666268,0.02486665756485373,phase_coarse
0.026252197695296877,4.75,0.2806057,3.172,3.664,0.019754472619563496,0.026252197695296877,phase_coarse
0.027631177169831194,5.0,0.06787182,3.281,3.759,0.021135452163910662,0.027631177169831194,phase_coarse
0.02901531521673138,5.25,0.4025004,3.386,3.852,0.02250987017207281,0.02901531521673138,phase_coarse
0.030387010505495107,5.5,1.0602330000000002,3.488,3.942,0.02388647339560716,0.030387010505495107,phase_coarse
0.031758854411203415,5.75,2.006483,3.587,4.03,0.025261657112659843,0.031758854411203415,phase_coarse
0.033144881457688666,6.0,3.183887,3.683,4.117,0.02663192262260795,0.033144881457688666,phase_coarse
0.034527635020420916,6.25,4.57937,3.777,4.202,0.02800870647490623,0.034527635020420916,phase_coarse
0.03590512050356497,6.5,6.113504,3.869,4.285,0.029389794003840522,0.03590512050356497,phase_coarse
0.03727539024295238,6.75,7.680937000000001,3.958,4.366,0.03075747377376599,0.03727539024295238,phase_coarse
0.03865392973311129,7.0,9.194599,4.045,4.446,0.03212448207589515,0.03865392973311129,phase_coarse
0.04003980034070753,7.25,10.487309999999999,4.131,4.525,0.03350498845141509,0.04003980034070753,phase_coarse
0.041414074915654187,7.5,11.44903,4.215,4.602,0.03488142675303455,0.041414074915654187,phase_coarse
0.04279324016136923,7.75,12.00136,4.297,4.678,0.03625181791777495,0.04279324016136923,phase_coarse
0.04417640437618518,8.0,12.18623,4.378,4.753,0.03763141918611917,0.04417640437618518,phase_coarse
0.04556268759135123,8.25,12.008120000000002,4.457,4.827,0.03900177304709311,0.04556268759135123,phase_coarse
0.04693205976261282,8.5,11.546149999999999,4.535,4.899,0.040378823915825014,0.04693205976261282,phase_coarse
0.048302266926444605,8.75,10.7754,4.611,4.97,0.041743544908063215,0.048302266926444605,phase_coarse
0.049672476045762526,9.0,9.764469,4.686,5.04,0.04311254405330776,0.049672476045762526,phase_coarse
0.05104186581639912,9.25,8.52722,4.76,5.109,0.044484937841300316,0.05104186581639912,phase_coarse
0.025076295453588533,4.52264030564,0.08985278,3.322,3.581,0.0216669778253757,0.025076295453588533,phase_fine
0.025343100023348226,4.57264030564,0.08189267,3.343,3.6,0.02194177896605069,0.025343100023348226,phase_fine
0.025611316454081445,4.62264030564,0.08930404,3.363,3.619,0.02220510429014835,0.025611316454081445,phase_fine
0.025880944745788174,4.67264030564,0.111944,3.383,3.638,0.022470000299149667,0.025880944745788174,phase_fine
0.026151984898468438,4.72264030564,0.1495987,3.403,3.657,0.02273646699305464,0.026151984898468438,phase_fine
0.026424436912122228,4.77264030564,0.2008682,3.423,3.676,0.023004504371863264,0.026424436912122228,phase_fine
0.026698300786749528,4.82264030564,0.26926530000000004,3.443,3.695,0.023274112435575547,0.026698300786749528,phase_fine
0.02697357652235036,4.87264030564,0.3509159,3.463,3.714,0.02354529118419148,0.02697357652235036,phase_fine
0.027250264118924714,4.92264030564,0.4465382,3.483,3.733,0.02381804061771107,0.027250264118924714,phase_fine
0.027513691564167404,4.97264030564,0.5572213,3.503,3.751,0.024092360736134313,0.027513691564167404,phase_fine
0.027778386164411268,5.02264030564,0.6777225,3.523,3.769,0.024368251539461212,0.027778386164411268,phase_fine
