v,pow(uW),current(mA)
0.000000000000,141.315400000000,-0.210125818567
0.100000000000,140.995800000000,0.180031401330
0.200000000000,140.839300000000,0.379736795730
0.300000000000,141.165400000000,0.576126281005
0.400000000000,141.944100000000,0.772515766280
0.500000000000,142.725700000000,0.972178409644
0.600000000000,143.546000000000,1.168567894919
0.700000000000,144.709100000000,1.368230538282
0.800000000000,144.866700000000,1.564620023558
0.900000000000,145.173200000000,1.761009508833
1.000000000000,145.481500000000,1.957398994108
1.100000000000,144.509300000000,2.153788479383
1.200000000000,143.585800000000,2.350177964659
1.300000000000,141.442300000000,2.546567449934
1.400000000000,121.281400000000,2.742956935209
1.500000000000,135.078500000000,2.936073262397
1.600000000000,130.289400000000,3.129189589584
1.700000000000,124.358200000000,3.325579074859
1.800000000000,117.951100000000,3.518695402047
1.900000000000,109.729300000000,3.708538571146
2.000000000000,102.517300000000,3.901654898334
2.100000000000,93.228310000000,4.091498067433
2.200000000000,82.906710000000,4.281341236533
2.300000000000,71.265390000000,4.471184405632
2.400000000000,60.099730000000,4.661027574732
2.500000000000,47.834710000000,4.847597585743
2.600000000000,35.665930000000,5.037440754843
2.700000000000,24.149620000000,5.224010765854
2.800000000000,14.165810000000,5.407307618778
2.900000000000,5.268772000000,5.593877629789
3.000000000000,1.552348000000,5.777174482713
3.100000000000,0.242005300000,5.960471335637
3.200000000000,2.116756000000,6.147041346648
3.300000000000,8.649969000000,6.327065041484
3.400000000000,18.130820000000,6.507088736320
3.500000000000,30.744090000000,6.690385589243
3.600000000000,46.686880000000,6.867136125991
3.700000000000,64.711480000000,7.043886662739
3.800000000000,87.983400000000,7.223910357574
3.900000000000,104.695800000000,7.397387736234
4.000000000000,122.363400000000,7.574138272982
4.100000000000,135.773100000000,7.747615651642
4.200000000000,124.375900000000,7.921093030302
4.300000000000,125.597200000000,8.094570408962
4.400000000000,139.699800000000,8.264774629534
4.500000000000,127.786100000000,8.438252008193
4.600000000000,112.855500000000,8.605183070678
4.700000000000,80.520150000000,8.775387291249
4.800000000000,66.249840000000,8.945591511821
4.900000000000,39.055790000000,9.112522574305
5.000000000000,21.513560000000,9.276180478701
