v,pow(uW),current(mA)
0.000000000000,160.502900000000,-0.022690583347
0.100000000000,160.237800000000,0.176559405385
0.200000000000,159.806100000000,0.366756153101
0.300000000000,159.103100000000,0.563145638377
0.400000000000,158.455900000000,0.762808281740
0.500000000000,157.359600000000,0.962470925103
0.600000000000,156.005900000000,1.158860410378
0.700000000000,154.358700000000,1.358523053742
0.800000000000,152.045100000000,1.554912539017
0.900000000000,149.353300000000,1.754575182380
1.000000000000,146.028000000000,1.950964667656
1.100000000000,141.858600000000,2.147354152931
1.200000000000,136.914100000000,2.343743638206
1.300000000000,131.183100000000,2.540133123482
1.400000000000,124.397900000000,2.736522608757
1.500000000000,116.501000000000,2.932912094032
1.600000000000,107.608200000000,3.126028421220
1.700000000000,97.912790000000,3.322417906495
1.800000000000,87.323360000000,3.515534233682
1.900000000000,76.109640000000,3.708650560870
2.000000000000,64.434270000000,3.901766888057
2.100000000000,52.733070000000,4.091610057157
2.200000000000,41.471280000000,4.284726384344
2.300000000000,30.806240000000,4.474569553443
2.400000000000,21.254230000000,4.664412722543
2.500000000000,13.181940000000,4.854255891642
2.600000000000,7.005638000000,5.040825902654
2.700000000000,3.178839000000,5.230669071753
2.800000000000,3.179995000000,5.230669071753
2.900000000000,4.296060000000,5.603809093776
3.000000000000,10.062430000000,5.787105946700
3.100000000000,19.683600000000,5.970402799624
3.200000000000,33.103360000000,6.156972810635
3.300000000000,49.531630000000,6.340269663559
3.400000000000,68.479410000000,6.520293358395
3.500000000000,88.703900000000,6.700317053230
3.600000000000,108.910000000000,6.880340748066
3.700000000000,127.819400000000,7.060364442902
3.800000000000,144.200000000000,7.237114979649
3.900000000000,156.558300000000,7.417138674485
4.000000000000,164.283400000000,7.593889211233
4.100000000000,165.288500000000,7.767366589893
4.200000000000,159.599800000000,7.944117126641
4.300000000000,146.470800000000,8.117594505300
4.400000000000,127.772200000000,8.287798725872
4.500000000000,105.146900000000,8.461276104532
4.600000000000,80.676470000000,8.631480325104
4.700000000000,56.176830000000,8.801684545676
4.800000000000,33.885490000000,8.968615608160
4.900000000000,15.718560000000,9.138819828732
5.000000000000,4.667853000000,9.305750891216
