theta,error_rad
theta5u,1.6353210602627515
theta5d,-1.8027699171969727
theta6u,0.3610713723500769
theta6d,-0.5390185409937867
theta7u,-0.6622937699421021
theta7d,-0.7010512053823632
theta8u,-0.21099549414468344
theta8d,-1.46678001032299
