heater,power_w
5u,0.024877812583201746
5d,0.03996834294248856
6u,0.035713302442040545
6d,0.0337943148611964
7u,0.033078830443304126
7d,0.036713746019610215
8u,0.053120426484564616
8d,0.043339111500591165
