iter,theta5u,theta5d,theta6u,theta6d,theta7u,theta7d,theta8u,theta8d
0,0.9111773817951012,-0.3615129160205597,0.1658575265829247,0.4562217448819359,0.599919508498302,0.042422244564829,0.3862545486354971,0.6345192841166503
1,0.5255159582144633,-0.836638861893642,-0.16568685601884692,-0.09376595165174795,0.31849593898227235,-0.2730024316071886,0.0051595777048949465,0.4653534048068164
2,0.9324876447213044,-0.2600158802118835,0.34210634309855337,0.38344540784254466,0.8533971757499814,0.2826278951533152,0.7689767491540995,0.926672196852286
3,0.7193254771435522,-0.34873032768683343,0.11725773317433097,0.29076181003761237,0.6709331648215882,0.0747816615302419,0.7716425408381893,0.558968438500024
4,0.8322308539743397,-0.062222262096846226,0.2893838382179599,0.5081672297717112,0.8713256474296465,0.30149365979759324,1.2150897469168647,0.6623457175928142
5,0.6121360242527762,-0.1530534312045786,0.2582975884778689,0.21071109177501324,0.4919112340253742,0.2992517424610126,1.2326806567502482,0.31943101489078973
6,0.7260013490890018,0.13462795437275998,0.43952487311191923,0.4227380414421198,0.9544261506169942,0.2563953174332063,1.2317271757366228,0.884495894692499
7,0.5699732911209647,0.07527425039684754,-0.056627326714342896,-0.03311913535336819,0.4547030130883458,-0.22387751250650734,1.40812567641589,-0.2081543330642126
8,0.6016313812315222,0.32140416472558275,0.5544742621942764,0.35767045055049307,1.0144851062746145,0.32573814463371864,2.114766364925814,0.4054447426802086
9,0.5819496012256122,0.3706278805431724,0.24781874513127056,-0.1959486778963062,0.6193682759668326,-0.11800348840498609,1.7876833866615707,0.04346587806981006
10,0.39815893831898386,0.3717981604221201,0.45719829124392053,0.2972313738089314,0.7480351793879958,0.5510443206748974,2.377640127995074,0.44941806924043126
11,0.241875844507911,0.361551971743836,0.14326516704617998,-0.31888254791978987,0.6435424760379425,-0.22364510739569265,2.142804672637085,-0.03764528532169242
12,-0.1409810972821326,0.08699017414790866,1.3232603103196072,-1.7256716195285011,0.5890939403491755,-0.22971142720815685,2.3406345786861547,-0.08385008511084546
13,0.3291184322997871,0.8209152056684348,-0.9330752902007888,2.108091395626523,1.4597040811922999,0.6253354133015567,3.212791597753923,0.9754212139040472
14,-0.7137440645939082,1.676062711277262,0.6166268442102991,0.3298884861413445,1.4461152348332575,0.5228045746106309,3.1275917646370672,1.0252517418154925
15,0.35738814782441297,0.8439028344131141,0.7929165110341216,0.4043465972276721,1.2748606967351033,1.0760806408479424,3.3555152719910364,1.3571847740083927
16,-0.5881235090661536,1.8027699171969727,0.6861261788465209,0.5390185409937867,1.7094913211386995,0.7010512053823632,3.3525881477344766,1.46678001032299
17,0.3064239784190004,0.9243474603085151,1.0744215293821338,0.634147469059041,2.0786298501363576,0.9498817587383406,2.4419913355499174,2.602048575644715
18,0.3731094936194821,0.8759579236934525,1.1665578964840457,0.12104074361814332,1.6335706974163173,0.4942136333327909,3.1799081622255803,1.4198565547668074
19,0.36534271768741067,0.8937511620213414,1.5756980381041625,-0.251919801412253,1.5048328120256862,1.2945656858950443,3.46922195517972,1.8496240479747619
20,0.4039781374112108,0.8624852969204992,2.1032362727043625,-0.7173933183980545,1.8467380680785501,0.4097201049736068,3.757931126719506,0.9981987501652068
21,0.36989913804690433,0.9037493246671375,2.2064102432011814,-0.7479054218679866,2.2758030262674493,1.489613561063174,3.8977260957721582,2.395126646280382
22,0.37932465603968857,0.9181529927964569,-0.6503702304623922,2.200580784268391,2.301957860050107,0.9567440210920206,3.6663295473630555,2.143418507565218
23,0.34637935119347407,0.9605869818218729,-0.47037714273781406,1.5277029361172167,2.0901756172611194,0.778159627147867,3.454946078748052,1.979935414974939
24,0.32186064512568846,0.9871328565075594,-0.26675172566044525,1.8198337621425522,2.423205804210305,1.0829357638141017,3.5966862988037014,2.2411472281237397
25,0.3100115442414757,1.011520383736784,0.17285723190869406,0.8946938185836513,2.1713668246818236,0.9253825742973247,-0.30567330122303993,-1.700498467896268
26,0.23243198531252474,1.0821630956498887,0.4256417820702123,1.1186251695387752,2.46050735541405,1.2170637524510184,2.34866004357661,1.2705849866350678
27,0.21621912272980404,0.927392399872853,0.5167891350553013,0.8381417376987637,2.009593948429814,0.8647919489913876,-0.2897382106894626,-1.1650412447069747
28,-0.4183818787676621,1.7398532757726775,0.15215497137629663,1.3779325359004795,2.804118375597691,1.5211125302486583,1.2899713027980293,0.6830568931330299
29,0.2749579257202781,1.044548876159071,0.7669674622916403,0.7374593886937286,2.6522193837153543,1.4843555775677508,1.2518131526779719,0.5251381853083226
