mzi_id,arm_index,arm_name,port,scan_stage,perturbed_heater,input_channel,output_channel,probe_axis_power_w,target_power_w,voltage_v,optical_power_uW,measured_power_w,baseline_probe_power_w
7,0,upper,13,baseline,,6,6,-0.001000000000,0.019948380123,3.194000000000,116.638900000000,0.019949327447,0.020948380123
7,0,upper,13,baseline,,6,6,-0.000750000000,0.020198380123,3.214000000000,117.693400000000,0.020199944682,0.020948380123
7,0,upper,13,baseline,,6,6,-0.000500000000,0.020448380123,3.234000000000,118.398500000000,0.020452126319,0.020948380123
7,0,upper,13,baseline,,6,6,-0.000250000000,0.020698380123,3.253000000000,119.166000000000,0.020693147902,0.020948380123
7,0,upper,13,baseline,,6,6,0.000000000000,0.020948380123,3.273000000000,120.133800000000,0.020948380123,0.020948380123
7,0,upper,13,baseline,,6,6,0.000250000000,0.021198380123,3.292000000000,120.505900000000,0.021192299761,0.020948380123
7,0,upper,13,baseline,,6,6,0.000500000000,0.021448380123,3.312000000000,121.136400000000,0.021450582567,0.020948380123
7,0,upper,13,baseline,,6,6,0.000750000000,0.021698380123,3.331000000000,121.141700000000,0.021697400260,0.020948380123
7,0,upper,13,baseline,,6,6,0.001000000000,0.021948380123,3.350000000000,121.628300000000,0.021945629826,0.020948380123
