heater,P_current_w,delta_P_raw_w,delta_P_applied_w,P_next_w,R_ohm,port,V_next_v,clipped,warning
5u,0.02224968273808492,0.00037107222496911193,6.521411590413445e-05,0.022314896853989054,512.0640000350635,11,3.3803336142196807,False,
5d,0.04088643978623817,0.00014539684651623604,2.555277965521352e-05,0.04091199256589338,509.8400242919656,7,4.567118488021501,False,
6u,0.04489145331368331,0.009105316940700253,0.0016002146061029413,0.046491667919786255,514.1361980539365,12,4.889074491707512,False,
6d,0.0340378010232783,0.0008993382406938296,0.0001580542663103049,0.03419585528958861,514.6538964400621,8,4.195119803639377,False,
7u,0.0388670929130426,0.0036595786727411277,0.0006431529272887468,0.039510245840331346,511.3774400151507,13,4.494958105722221,False,
7d,0.0412292217580098,0.0039344588060480695,0.0006914617568561307,0.04192068351486593,511.5557342129538,9,4.630849385820716,False,
8u,0.055,0.011380119773903007,0.0,0.055,514.1317715531885,14,5.317635511712454,True,
8d,0.04904788694396705,0.003069537986326275,0.0005394561827662611,0.04958734312673331,513.6152391977142,10,5.046663759476775,False,
