x_power,dp,pow(uW),v_primary,v_secondary,p_primary,p_secondary,scan_type
0.0,0.0,3.129752,4.16,0.0,0.0333538596231611,0.0,phase_coarse
0.0013925405429231895,0.25,4.679476,4.245,0.849,0.034730802991855436,0.0013925405429231895,phase_coarse
0.002786624701759504,0.5,6.492344,4.328,1.201,0.036102222590112476,0.002786624701759504,phase_coarse
0.00418039975102623,0.75,7.343136,4.41,1.471,0.03748319603695909,0.00418039975102623,phase_coarse
0.005570162171692758,1.0,9.248588,4.49,1.698,0.03885546559430994,0.005570162171692758,phase_coarse
0.00695960968698527,1.25,11.85539,4.569,1.898,0.0402347911612808,0.00695960968698527,phase_coarse
0.008350287844751702,1.5,13.310649999999999,4.647,2.079,0.04162025917639673,0.008350287844751702,phase_coarse
0.009736999740353372,1.75,14.51247,4.723,2.245,0.04299276001513363,0.009736999740353372,phase_coarse
0.011127944505123569,2.0,15.437779999999998,4.798,2.4,0.04436902881311861,0.011127944505123569,phase_coarse
0.01251319006220451,2.25,16.00907,4.872,2.545,0.045748198265153875,0.01251319006220451,phase_coarse
0.013907011477906675,2.5,15.99023,4.945,2.683,0.047129412630111,0.013907011477906675,phase_coarse
0.015298211258071782,2.75,15.66684,5.017,2.814,0.048511827730930795,0.015298211258071782,phase_coarse
0.016687513878253554,3.0,14.61061,5.088,2.939,0.04989461095462341,0.016687513878253554,phase_coarse
0.01807804327703962,3.25,13.13206,5.158,3.059,0.05127694125226832,0.01807804327703962,phase_coarse
0.019462844489114277,3.5,11.207040000000001,5.227,3.174,0.05265800913901424,0.019462844489114277,phase_coarse
0.020847943219149668,3.75,9.175311,5.295,3.285,0.054037016694079266,0.020847943219149668,phase_coarse
0.02224130097049745,4.0,6.697627,3.266,3.393,0.020558517604619967,0.02224130097049745,phase_coarse
0.02362564817789178,4.25,4.853715,3.374,3.497,0.02194065516777648,0.02362564817789178,phase_coarse
0.025010063003004457,4.5,3.228114,3.479,3.598,0.02332750508917417,0.025010063003004457,phase_coarse
0.026391033188351058,4.75,1.953793,3.58,3.696,0.024701622970268688,0.026391033188351058,phase_coarse
0.027779800662590476,5.0,1.055431,3.679,3.792,0.026086692024993637,0.027779800662590476,phase_coarse
0.02915912677141383,5.25,0.6006981,3.775,3.885,0.027465869186408448,0.02915912677141383,phase_coarse
0.030541138269622972,5.5,0.6190643,3.869,3.976,0.02885073586992059,0.030541138269622972,phase_coarse
0.031923725484405474,5.75,1.152039,3.96,4.065,0.030223851531675467,0.031923725484405474,phase_coarse
0.03330482510938433,6.0,2.1800260000000002,4.049,4.152,0.03159766489227833,0.03330482510938433,phase_coarse
0.03469879335213205,6.25,3.6320870000000003,4.136,4.238,0.03297011754739314,0.03469879335213205,phase_coarse
0.03608793175785498,6.5,5.3801369999999995,4.222,4.322,0.03435546992181603,0.03608793175785498,phase_coarse
0.0374702929362647,6.75,6.29151,4.306,4.404,0.035736127284101686,0.0374702929362647,phase_coarse
0.038861303386818445,7.0,9.275129,4.388,4.485,0.037110146870607125,0.038861303386818445,phase_coarse
0.04024238755631882,7.25,11.19839,4.469,4.564,0.038492856855194164,0.04024238755631882,phase_coarse
0.041629648121406515,7.5,13.06789,4.548,4.642,0.039865787491840186,0.041629648121406515,phase_coarse
0.043022180936590465,7.75,14.74062,4.626,4.719,0.04124494152511639,0.043022180936590465,phase_coarse
0.044400568125096185,8.0,16.09451,4.703,4.794,0.04262941695761709,0.044400568125096185,phase_coarse
0.04578187833096934,8.25,17.081580000000002,4.778,4.868,0.0439999037209503,0.04578187833096934,phase_coarse
0.04716525377515427,8.5,17.47198,4.852,4.941,0.04537336823212918,0.04716525377515427,phase_coarse
0.048549848270204275,8.75,17.257920000000002,4.925,5.013,0.04674895475002524,0.048549848270204275,phase_coarse
0.04993482722028144,9.0,16.43266,4.997,5.084,0.04812581909757934,0.04993482722028144,phase_coarse
0.05131936762115677,9.25,15.090060000000001,5.068,5.154,0.04950312866180163,0.05131936762115677,phase_coarse
0.028725428657870308,5.152583511224,0.6848067999999999,3.748,3.856,0.027074384966241795,0.028725428657870308,phase_fine
0.028994238067322202,5.202583511224,0.622909,3.767,3.874,0.02734958090549227,0.028994238067322202,phase_fine
0.029264299370530916,5.252583511224,0.5807783,3.786,3.892,0.027626168387748933,0.029264299370530916,phase_fine
0.029535612567496466,5.302583511224,0.5549046000000001,3.804,3.91,0.027889482245790045,0.029535612567496466,phase_fine
0.029808177658218832,5.352583511224,0.5481083999999999,3.822,3.928,0.028154045023315942,0.029808177658218832,phase_fine
0.030081994642698034,5.402583511224,0.559269,3.84,3.946,0.02841985672032661,0.030081994642698034,phase_fine
0.030357063520934053,5.452583511224,0.593388,3.858,3.964,0.028686917336822063,0.030357063520934053,phase_fine
0.030633384292926908,5.502583511224,0.6384984,3.876,3.982,0.028955226872802293,0.030633384292926908,phase_fine
0.03091095695867658,5.552583511224,0.7154192,3.894,4.0,0.02922478532826731,0.03091095695867658,phase_fine
0.031174258421985398,5.602583511224,0.7996476,3.912,4.017,0.0294955927032171,0.031174258421985398,phase_fine
0.03143867654361435,5.652583511224,0.9093055,3.93,4.034,0.029767648997651674,0.03143867654361435,phase_fine
