sample_index,label,lstsq_mae,lstsq_max_abs_error,actual_lstsq_sum,measured_output_power_sum,expected_output_power_sum,total_ratio,theory_0,actual_lstsq_0,theory_1,actual_lstsq_1,theory_2,actual_lstsq_2,theory_3,actual_lstsq_3,theory_4,actual_lstsq_4,theory_5,actual_lstsq_5,theory_6,actual_lstsq_6,theory_7,actual_lstsq_7
0,7,0.0574461712659622,0.0909642746243024,1.035753927393733,0.000131209736,0.0001180656722590881,1.11132841146297,0.0485337525606,0.1394980271849024,0.0458595342934,0.1184262606128649,0.0544518083334,0.138582458012998,0.0657622739673,-0.0025956298578062,0.0749263688922,0.0741892659029486,0.0799722149968,0.0488557059181766,0.160903915763,0.1283610695543325,0.469590127468,0.3904367700653162
1,2,0.1544322352908685,0.5968115130374326,1.1706537810549618,0.0001829835116,0.0001571976883655338,1.1640343665519184,0.301127493382,0.4056021354196507,3.94923372369e-05,-0.0053242103898092,0.26051941514,0.8573309281774326,0.253521502018,-0.1693822422227704,0.0002314686717,0.0020011312393532,0.0624659284949,0.0424746261522937,0.0642028227448,0.0222387118189392,0.0578919053078,0.015712700859872
2,1,0.1208217645484535,0.4130499462153599,1.125682138418794,0.0001764114145,0.00015615940829955867,1.129688031102117,3.26168374158e-05,-0.0008863954148006,0.345546215773,0.4766518725750944,0.262013673782,0.67506361999736,0.217885673046,-0.0977465844897439,0.00014526292216,0.0021177347173288,0.0563939958811,0.0322960616862463,0.059667006135,0.0238132052777598,0.0583156608045,0.0143726240695493
3,0,0.0394177168221564,0.1452973173197965,1.0657530691829402,0.000172151287,0.00015452046583397166,1.1141002330718586,0.377824693918,0.5231220112377966,0.33141374588,0.3547406663886032,0.000204316718737,-0.0099409082826151,0.0104544525966,0.0253469062419084,0.0771631747484,0.0841938635453692,0.0668829903007,0.0391492807246574,0.0722815841436,0.0305765583993041,0.0637750849128,0.0185646909279164
4,4,0.068815820636997,0.132717452732944,1.1467369123947664,0.0001804458686,0.00014875632863792465,1.2130298606603032,0.0841851308942,0.2169025836271439,0.0608657002449,0.1777865669003002,0.290374070406,0.2578597201608489,2.31218364206e-05,0.0990165605325283,0.297050505877,0.2490693331368664,0.209460422397,0.1437115581890362,2.5633336918e-05,-0.0182615764841738,0.0580153763294,0.0206521663322163
5,1,0.1208404841058679,0.4145007396809002,1.125415571912873,0.0001764311218,0.00015630624410090306,1.1287528711015882,3.09886454488e-05,-0.0008791420790159,0.346715629101,0.4763156505562456,0.264586389065,0.6790871287459002,0.218158856034,-0.0987109872851002,0.00012334738858,0.0020923416687281,0.0551868341863,0.0308764377003015,0.0549744330347,0.0214783203997308,0.0602234564722,0.015155822206083
6,4,0.0690769524888986,0.1318000226725891,1.1441825833440025,0.0001803371138999,0.00014911949341840606,1.2093463420902466,0.0785397663713,0.2103397890438891,0.0654622614384,0.1817000147132512,0.300817131996,0.2651678646039935,2.45972569246e-05,0.100385948849726,0.286758214235,0.2409191156989411,0.21403747797,0.1462171257203536,2.87119764835e-05,-0.018540993808415,0.0543317869306,0.017993718522263
7,5,0.0763767098329415,0.1423053992303461,1.1231242956424299,0.0001654279272,0.00013771409051622203,1.2012418379258978,0.0821578502655,0.2128571920118549,0.0635116994381,0.1652322324231255,0.0774903446436,0.2086768662638123,0.0445003062487,-0.0391132494457901,6.78123687976e-05,4.352073773222776e-05,0.362373530865,0.3443720768954572,0.369786739349,0.2274813401186539,0.000111734851089,0.0035743166375842
8,0,0.0379305124972013,0.1427395880954481,1.065459274760311,0.000172118942,0.00015479982705319113,1.111880712507888,0.381147801876,0.5238873899714481,0.329399049282,0.3555811713818656,0.000135435257107,-0.0058513914709511,0.00807543098927,0.0157853850143342,0.0832963138819,0.0911163414542945,0.068569727242,0.0405267797733971,0.0697367116809,0.0282474603057419,0.0596395209432,0.0161661383301807
9,6,0.0794329790886949,0.188653161094436,1.2068330601772157,0.0001734036431,0.00013825766808764985,1.2542063344368646,0.0611656270921,0.1880257098685432,0.063919775188,0.1673060517193842,0.0645623728633,0.253215533957736,0.163718357682,0.0281704474270718,0.324533581734,0.2901492657878873,2.36042287725e-05,-0.002020224926084,0.322052955627,0.2797135962679101,2.3782482458e-05,0.002272680074767
10,0,0.0359460598896015,0.1443077624967627,1.067829957073274,0.00017325922,0.00015592712012723952,1.111155133620227,0.393203645945,0.5375114084417627,0.345258206129,0.3678051399164104,0.000126134444145,-0.0038096267055776,0.00693844957277,0.0114943977352382,0.0749541372061,0.0812427521453944,0.0630519092083,0.0365368286142125,0.0589171387255,0.0216764857030307,0.0575502961874,0.0153725712228029
11,1,0.121018316503998,0.4150489398949068,1.1257510939545592,0.0001763685578999,0.0001561525004700186,1.1294635524185084,3.31618939526e-05,-0.000881632858186,0.343531191349,0.4734387454626755,0.260054171085,0.6751031109799068,0.219018548727,-0.0981451253774138,0.000134584814077,0.0021269072186515,0.0574703924358,0.0348189699835954,0.0691558197141,0.0291563398541277,0.0506021231413,0.010133778691202
12,5,0.0593977976368912,0.150202095758051,1.0568185960612286,0.0001550201831,0.00013662522825105827,1.1346380539261733,0.0648375675082,0.1978453017581473,0.0774290189147,0.1691768569261381,0.0487771779299,0.0854987735288831,0.0303963851184,-0.0094014170209452,3.02568914776e-05,0.0006781608871443,0.397191941738,0.3780099466035107,0.381307035685,0.2311049399269489,3.06172441924e-05,0.0039060334514013
13,7,0.1435192247414133,0.4727081934146964,0.8424047732422026,0.0001292853413,0.00011746134042188848,1.100662914586561,0.0483466051519,0.1408952281558469,0.049028635025,0.1389007941938687,0.0490914955735,0.0879504485684271,0.0603334568441,-0.002758665178156,0.0748635604978,0.0871526756396722,0.0794094875455,0.3411199079217398,0.161924347281,0.0448501354725004,0.477002441883,0.0042942484683035
14,3,0.0555351470422233,0.0841653145341269,1.005082405396257,0.00016552279074,0.00015833474408703222,1.045397784891841,0.0433258675039,0.1198704815659797,0.110495686531,0.1892349241111048,8.44328387757e-05,-0.047248559708982,0.310876846313,0.3304623794435274,0.0934095084667,0.1432219708735221,0.409316956997,0.3251516424628731,0.0140131954104,-0.0509538689142324,0.0184773933142,-0.0046565644375355
15,4,0.0570342917611193,0.1227870085718901,1.052603492601911,0.0001645617324,0.00014875847666331779,1.1062343208343643,0.0849536210299,0.1163511892905082,0.0598461031914,0.1826331117632901,0.293971598148,0.260895009854291,1.92224797502e-05,0.1002735349950171,0.291237950325,0.2448597455076429,0.210555270314,0.1438998431971353,1.95387328858e-05,-0.0181118148139259,0.0593967437744,0.0218028728079524
16,6,0.0830343264348307,0.2061298087164909,1.2163156214830346,0.000174452408,0.00013792892561068814,1.2647992959243473,0.0619159638882,0.1876056980285274,0.0574747808278,0.1637482102220912,0.0686546117067,0.2747844204231909,0.161648601294,0.0182388965573442,0.323110580444,0.28642457952387,2.5992278097e-05,-0.0020254483775827,0.327143192291,0.2853109010466779,2.6162388167e-05,0.0022283640589158
17,6,0.0929900835501543,0.2548971884291304,1.2406261538700418,0.0001785733396,0.00013845308036417953,1.2897751290927604,0.0580833777785,0.1846355082613038,0.0575895085931,0.1662911798598033,0.0781591758132,0.3330563642423304,0.166034922004,-4.3415799346739614e-05,0.321681588888,0.2813490579671358,2.3426464395e-05,-0.0019951840402823,0.318404376507,0.2751866028757496,2.36151408899e-05,0.0021460405033482
18,5,0.063010556641702,0.150860078411196,1.0681754441354254,0.00015690496,0.0001368183450457442,1.1468122929534046,0.0662530958652,0.1981351684523739,0.0714880302548,0.1675588465993646,0.0560216903687,0.1100295477746257,0.0315665118396,-0.017170100197756,2.75286802207e-05,0.0003754501725269,0.397120118141,0.3787622886717096,0.37749516964,0.226635091228804,2.78860479739e-05,0.0038491514337768
19,4,0.0686502847619816,0.1328582970785461,1.1461825885780326,0.0001803926636,0.0001488404658971662,1.2119866899948646,0.085683055222,0.2185413523005461,0.0612316019833,0.1774587295632521,0.287487059832,0.2549089592342621,2.22896178457e-05,0.0986292963560501,0.29685741663,0.2497924565825683,0.211757466197,0.145136811426947,2.3725322535e-05,-0.0184303375341874,0.0569373890758,0.0201453206485941
