iter,label,mzi_id,arm_index,port,voltage_before,voltage_after,accepted
0,MZI5_arm0,5,0,11,4.0,3.9829060729620305,True
0,MZI5_arm1,5,1,7,0.0,2.2,True
0,MZI6_arm0,6,0,12,4.191,4.191,False
0,MZI6_arm1,6,1,8,0.0,5.5,True
0,MZI7_arm0,7,0,13,4.039,4.0575644195399265,True
0,MZI7_arm1,7,1,9,0.0,3.5,True
0,MZI8_arm0,8,0,14,4.0,4.00004619779668,True
0,MZI8_arm1,8,1,10,0.0,0.2,True
1,MZI5_arm0,5,0,11,3.983,3.972067775299552,True
1,MZI5_arm1,5,1,7,2.2,2.202476468492184,True
1,MZI6_arm0,6,0,12,4.191,4.191,False
1,MZI6_arm1,6,1,8,5.5,5.5,True
1,MZI7_arm0,7,0,13,4.058,4.058,False
1,MZI7_arm1,7,1,9,3.5,3.5,False
1,MZI8_arm0,8,0,14,4.0,4.000080071315903,True
1,MZI8_arm1,8,1,10,0.2,0.19993109527613778,True
2,MZI5_arm0,5,0,11,3.972,3.972,False
2,MZI5_arm1,5,1,7,2.202,2.2067367981089627,True
2,MZI6_arm0,6,0,12,4.191,4.1923691308910405,True
2,MZI6_arm1,6,1,8,5.5,5.5,True
2,MZI7_arm0,7,0,13,4.058,4.05144167981098,True
2,MZI7_arm1,7,1,9,3.5,3.495284044367244,True
2,MZI8_arm0,8,0,14,4.0,4.0,False
2,MZI8_arm1,8,1,10,0.2,0.2,False
3,MZI5_arm0,5,0,11,3.972,3.8831959437319523,True
3,MZI5_arm1,5,1,7,2.207,2.2033986875408527,True
3,MZI6_arm0,6,0,12,4.192,4.283324776837794,True
3,MZI6_arm1,6,1,8,5.5,5.5,True
3,MZI7_arm0,7,0,13,4.051,4.079531739431144,True
3,MZI7_arm1,7,1,9,3.495,3.4971062014976972,True
3,MZI8_arm0,8,0,14,4.0,4.000000924514389,True
3,MZI8_arm1,8,1,10,0.2,0.20000342228861565,True
4,MZI5_arm0,5,0,11,3.883,3.946653365898258,True
4,MZI5_arm1,5,1,7,2.203,2.203,False
4,MZI6_arm0,6,0,12,4.283,4.278847140965188,True
4,MZI6_arm1,6,1,8,5.5,5.5,True
4,MZI7_arm0,7,0,13,4.08,4.077870707059395,True
4,MZI7_arm1,7,1,9,3.497,3.497794149007898,True
4,MZI8_arm0,8,0,14,4.0,4.000001667558487,True
4,MZI8_arm1,8,1,10,0.2,0.2,False
5,MZI5_arm0,5,0,11,3.947,3.9434692769475324,True
5,MZI5_arm1,5,1,7,2.203,2.2044753235766326,True
5,MZI6_arm0,6,0,12,4.279,4.279,False
5,MZI6_arm1,6,1,8,5.5,5.5,False
5,MZI7_arm0,7,0,13,4.078,4.078,False
5,MZI7_arm1,7,1,9,3.498,3.498,False
5,MZI8_arm0,8,0,14,4.0,4.0,False
5,MZI8_arm1,8,1,10,0.2,0.2,False
