iter,label,mzi_id,arm_index,port,base_v,plus_v,minus_v,plus_loss,minus_loss,grad,mode
0,MZI5_arm0,5,0,11,4.0,4.02,3.98,1.1099158895798624,1.1030783187646747,0.1709392703796959,central
0,MZI5_arm1,5,1,7,0.0,,,,,0.0,zero_scan_56pts
0,MZI6_arm0,6,0,12,4.191,4.210999999999999,4.171,0.7605139157579042,0.7563468448989281,0.10417677147440352,central
0,MZI6_arm1,6,1,8,0.0,,,,,0.0,zero_scan_56pts
0,MZI7_arm0,7,0,13,4.039,4.058999999999999,4.019,0.38112127918302446,0.38854704699899506,-0.18564419539926888,central
0,MZI7_arm1,7,1,9,0.0,,,,,0.0,zero_scan_56pts
0,MZI8_arm0,8,0,14,4.0,4.02,3.98,0.006767096078494209,0.006785575197166235,-0.0004619779668006613,central
0,MZI8_arm1,8,1,10,0.0,,,,,0.0,zero_scan_56pts
1,MZI5_arm0,5,0,11,3.983,4.003,3.963,0.009235156853119557,0.004862266972940375,0.10932224700447947,central
1,MZI5_arm1,5,1,7,2.2,2.22,2.18,0.004695892497579415,0.0066770672913264864,-0.049529369843676736,central
1,MZI6_arm0,6,0,12,4.191,4.210999999999999,4.171,0.20475624245705448,0.008209173946742667,4.9136767127579,central
1,MZI6_arm1,6,1,8,5.5,5.5,5.48,,0.003504056205378854,-0.001446798613516927,backward
1,MZI7_arm0,7,0,13,4.058,4.077999999999999,4.038,0.018721925139388376,0.006405933756054169,0.3078997845833617,central
1,MZI7_arm1,7,1,9,3.5,3.52,3.48,0.00623054157336375,0.32352959661683023,-7.9324763760866555,central
1,MZI8_arm0,8,0,14,4.0,4.02,3.98,0.00535440338884146,0.005418460441564097,-0.0016014263180659462,central
1,MZI8_arm1,8,1,10,0.2,0.22,0.18000000000000002,0.005410087492079667,0.005382525602534773,0.0006890472386223522,central
2,MZI5_arm0,5,0,11,3.972,3.992,3.952,0.007448884033890682,0.20536685889190856,-4.947949371450442,central
2,MZI5_arm1,5,1,7,2.202,2.222,2.182,0.004544901455402203,0.006439620698987235,-0.047367981089625755,central
2,MZI6_arm0,6,0,12,4.191,4.210999999999999,4.171,0.0034789146447126488,0.007860133496043278,-0.10953047128326805,central
