iter,label,mzi_id,arm_index,port,scan_voltage,loss
0,MZI5_arm1,5,1,7,0.0,1.103839798524295
0,MZI5_arm1,5,1,7,0.1,1.1038170444033975
0,MZI5_arm1,5,1,7,0.2,1.103025409621717
0,MZI5_arm1,5,1,7,0.3,0.9779347313070736
0,MZI5_arm1,5,1,7,0.4,1.0989394350561084
0,MZI5_arm1,5,1,7,0.5,0.8085209193921817
0,MZI5_arm1,5,1,7,0.6,1.09007237260642
0,MZI5_arm1,5,1,7,0.7,0.9102385560156546
0,MZI5_arm1,5,1,7,0.8,0.8988344489355419
0,MZI5_arm1,5,1,7,0.9,1.062575138105888
0,MZI5_arm1,5,1,7,1.0,1.0482644271003243
0,MZI5_arm1,5,1,7,1.1,0.8546115961093238
0,MZI5_arm1,5,1,7,1.2,1.0104931787835247
0,MZI5_arm1,5,1,7,1.3,0.9869085649850194
0,MZI5_arm1,5,1,7,1.4,0.960116165451352
0,MZI5_arm1,5,1,7,1.5,0.9309657893228579
0,MZI5_arm1,5,1,7,1.6,0.9004739744799329
0,MZI5_arm1,5,1,7,1.7,0.8693469771881637
0,MZI5_arm1,5,1,7,1.8,0.8393640655430921
0,MZI5_arm1,5,1,7,1.9,0.8118231411007216
0,MZI5_arm1,5,1,7,2.0,0.7884343120702274
0,MZI5_arm1,5,1,7,2.1,0.7705936226981919
0,MZI5_arm1,5,1,7,2.2,0.6106912329336878
0,MZI5_arm1,5,1,7,2.3,0.7547817757946278
0,MZI5_arm1,5,1,7,2.4,0.7304259200445983
0,MZI5_arm1,5,1,7,2.5,0.7631199298256787
0,MZI5_arm1,5,1,7,2.6,0.7723660546211594
0,MZI5_arm1,5,1,7,2.7,0.7816070630131245
0,MZI5_arm1,5,1,7,2.8,0.7881075569901903
0,MZI5_arm1,5,1,7,2.9,0.7895701685642634
0,MZI5_arm1,5,1,7,3.0,0.7851527491666275
0,MZI5_arm1,5,1,7,3.1,0.7759132703562792
0,MZI5_arm1,5,1,7,3.2,0.765159924904685
0,MZI5_arm1,5,1,7,3.3,0.7588700847840633
0,MZI5_arm1,5,1,7,3.4,0.7636529999944371
0,MZI5_arm1,5,1,7,3.5,0.7853730464065917
0,MZI5_arm1,5,1,7,3.6,0.8269606917502726
0,MZI5_arm1,5,1,7,3.7,0.8864151826825449
0,MZI5_arm1,5,1,7,3.8,0.9564212242404083
0,MZI5_arm1,5,1,7,3.9,1.0255023379908772
0,MZI5_arm1,5,1,7,4.0,1.080139687180158
0,MZI5_arm1,5,1,7,4.1,1.1072011312393717
0,MZI5_arm1,5,1,7,4.2,1.1512168765152282
0,MZI5_arm1,5,1,7,4.3,1.053319571409085
0,MZI5_arm1,5,1,7,4.4,0.9802260474909807
0,MZI5_arm1,5,1,7,4.5,0.89595148514092
0,MZI5_arm1,5,1,7,4.6,0.8212135801462949
0,MZI5_arm1,5,1,7,4.7,0.9662546571100786
0,MZI5_arm1,5,1,7,4.8,0.7537231739700999
0,MZI5_arm1,5,1,7,4.9,0.7610217850805182
0,MZI5_arm1,5,1,7,5.0,0.9194503022356784
0,MZI5_arm1,5,1,7,5.1,0.7879046570801355
0,MZI5_arm1,5,1,7,5.2,0.7815846697139198
0,MZI5_arm1,5,1,7,5.3,0.7650067100210418
0,MZI5_arm1,5,1,7,5.4,0.7574845243480103
0,MZI5_arm1,5,1,7,5.5,0.9197948603689011
0,MZI6_arm1,6,1,8,0.0,0.7592722619084218
0,MZI6_arm1,6,1,8,0.1,0.7592322743532387
0,MZI6_arm1,6,1,8,0.2,0.7589919571603838
0,MZI6_arm1,6,1,8,0.3,0.7582747140123203
0,MZI6_arm1,6,1,8,0.4,0.7570854604809337
0,MZI6_arm1,6,1,8,0.5,0.827405679688732
0,MZI6_arm1,6,1,8,0.6,0.9471858078249968
0,MZI6_arm1,6,1,8,0.7,0.6936439809175552
0,MZI6_arm1,6,1,8,0.8,0.7413188886199884
0,MZI6_arm1,6,1,8,0.9,0.7325843552142202
0,MZI6_arm1,6,1,8,1.0,0.7211145861405175
0,MZI6_arm1,6,1,8,1.1,0.7062003328684325
0,MZI6_arm1,6,1,8,1.2,0.6665520614642474
0,MZI6_arm1,6,1,8,1.3,0.6655796833587753
0,MZI6_arm1,6,1,8,1.4,0.6398335278714152
0,MZI6_arm1,6,1,8,1.5,0.6104193002825365
0,MZI6_arm1,6,1,8,1.6,0.5782407513193903
0,MZI6_arm1,6,1,8,1.7,0.5441376555932117
0,MZI6_arm1,6,1,8,1.8,0.5098830602906324
0,MZI6_arm1,6,1,8,1.9,0.4766348507581328
0,MZI6_arm1,6,1,8,2.0,0.4466720796379646
0,MZI6_arm1,6,1,8,2.1,0.4214180080852963
0,MZI6_arm1,6,1,8,2.2,0.7131026659730801
0,MZI6_arm1,6,1,8,2.3,0.38903246155948346
0,MZI6_arm1,6,1,8,2.4,0.6331193154342395
0,MZI6_arm1,6,1,8,2.5,0.4452006998110275
0,MZI6_arm1,6,1,8,2.6,0.3983918113832026
0,MZI6_arm1,6,1,8,2.7,0.4627964320031343
0,MZI6_arm1,6,1,8,2.8,0.41855322561630565
0,MZI6_arm1,6,1,8,2.9,0.767743986734608
0,MZI6_arm1,6,1,8,3.0,0.42330619561619964
0,MZI6_arm1,6,1,8,3.1,0.4156868216132062
0,MZI6_arm1,6,1,8,3.2,0.4033728288651197
0,MZI6_arm1,6,1,8,3.3,0.44311021364490955
0,MZI6_arm1,6,1,8,3.4,0.4626130467204396
0,MZI6_arm1,6,1,8,3.5,0.39190230478746774
0,MZI6_arm1,6,1,8,3.6,0.421404209908987
0,MZI6_arm1,6,1,8,3.7,0.4121921554054618
0,MZI6_arm1,6,1,8,3.8,0.5374312515152863
0,MZI6_arm1,6,1,8,3.9,0.6142470065322109
0,MZI6_arm1,6,1,8,4.0,0.6420127532391886
0,MZI6_arm1,6,1,8,4.1,0.8143155297061991
0,MZI6_arm1,6,1,8,4.2,0.7574399413869539
0,MZI6_arm1,6,1,8,4.3,0.6948963444767456
0,MZI6_arm1,6,1,8,4.4,0.6715608811639502
0,MZI6_arm1,6,1,8,4.5,0.5865652520101021
0,MZI6_arm1,6,1,8,4.6,0.4997955485219966
0,MZI6_arm1,6,1,8,4.7,0.43066480813621427
0,MZI6_arm1,6,1,8,4.8,0.39236805304375466
0,MZI6_arm1,6,1,8,4.9,0.3857930432710925
0,MZI6_arm1,6,1,8,5.0,0.40035270746096485
