,in_1,in_2,in_3,in_4,in_5,in_6,in_7,in_8
out_1,0.3360121443046331,0.04226449201972973,0.5497683480516364,0.07195499040416858,1.2666754835457941e-13,2.2298360112921048e-25,2.461150783204478e-68,4.3325719309387496e-80
out_2,0.3686370369564182,0.09660618819483498,0.07195467188614109,0.46280216311037753,1.089490214446749e-13,8.137822775238141e-25,1.641029848160258e-36,2.888843668779439e-48
out_3,0.23248175120833614,0.4880782422958297,0.0942429741907409,0.18519704696206782,8.717661196593704e-14,1.2489848379514385e-24,1.3343488308558616e-36,2.3489671295636084e-48
out_4,0.06286906753050188,0.3730510774889487,0.2840340058711085,0.28004579952312597,1.0777567430503177e-12,1.1784766006335563e-24,1.289527523430794e-35,6.024261348663732e-47
out_5,1.1067373815095342e-13,6.56712460108312e-13,3.7312179428221954e-13,2.600417441938451e-13,0.999999999996839,1.7603845971999719e-12,3.098953932858528e-24,2.1821403087463953e-35
out_6,1.580339489721675e-45,6.312212778702444e-37,3.5865679935690774e-25,2.7402968766981065e-24,1.7603845971538533e-12,0.9999999999823961,1.584346137793917e-11,1.1156234152703943e-22
out_7,1.9565844575151062e-60,1.1114527354082622e-48,6.3137853648661595e-37,1.9927287986816008e-35,4.958326289959278e-23,1.584346137797636e-11,0.9999999999683129,1.584346137845452e-11
out_8,2.9344069391699047e-92,1.6669122582902792e-80,1.6906630233712536e-59,9.6035139068361e-48,8.728561231762258e-35,2.789058538557226e-23,1.5843461378500993e-11,0.9999999999841565
