input_channel,expected_output_channel,argmax_output_channel,diagonal_normalized_power,raw_total_power,identity_route_ok
1,1,1,0.9793914492411343,0.00016654454164,True
2,2,2,0.9727801131066413,0.00016820861959999998,True
3,3,3,0.7056920151209243,0.000158598507,True
4,4,4,0.7362902106331478,0.0001746671328,True
5,5,5,0.9560799184656673,0.00014041849159999998,True
6,6,6,0.96625615181807,0.0001388098795,True
7,7,7,0.9720504510196285,0.00010353351505,True
8,8,8,0.9772831619636245,9.1836433383e-05,True
