local_sample_row,sample_index,label,iteration,accepted,learning_rate,loss_mae,loss_mse,max_abs_ratio_error,output_power_sum,target_ratio_0,target_ratio_1,target_ratio_2,target_ratio_3,target_ratio_4,target_ratio_5,target_ratio_6,target_ratio_7,measured_ratio_0,measured_ratio_1,measured_ratio_2,measured_ratio_3,measured_ratio_4,measured_ratio_5,measured_ratio_6,measured_ratio_7,ratio_error_0,ratio_error_1,ratio_error_2,ratio_error_3,ratio_error_4,ratio_error_5,ratio_error_6,ratio_error_7,optimized_coefficient_0,optimized_coefficient_1,optimized_coefficient_2,optimized_coefficient_3,optimized_coefficient_4,optimized_coefficient_5,optimized_coefficient_6,optimized_coefficient_7,upload_voltage_0,upload_voltage_1,upload_voltage_2,upload_voltage_3,upload_voltage_4,upload_voltage_5,upload_voltage_6,upload_voltage_7,output_power_0,output_power_1,output_power_2,output_power_3,output_power_4,output_power_5,output_power_6,output_power_7
0,0,7,0,True,0.35,0.07568033175088586,0.00949020167631944,0.19956618155799682,0.000131172736,0.04853375274140279,0.04585953446424052,0.05445180853624932,0.0657622742122842,0.0749263691713232,0.0799722152947205,0.16090391636241536,0.4695901292173641,0.1765035990405811,0.14969680894663964,0.12287378072223788,0.044759080118600254,0.07741860320730064,0.05361201736312034,0.10511216294215286,0.27002394765936727,0.12796984629917832,0.10383727448239913,0.06842197218598856,-0.021003194093683945,0.002492234035977439,-0.02636019793160016,-0.05579175342026249,-0.19956618155799682,0.04853375274140279,0.04585953446424052,0.05445180853624932,0.0657622742122842,0.0749263691713232,0.0799722152947205,0.16090391636241536,0.4695901292173641,4.13,4.028,4.004,4.04,3.817,4.184,3.795,3.936,2.315246e-05,1.963614e-05,1.611769e-05,5.871171e-06,1.015521e-05,7.032435e-06,1.378785e-05,3.541978e-05
0,0,7,1,True,0.35,0.028094539770636452,0.0011470171038500897,0.05225516728685648,9.37594747e-05,0.04853375274140279,0.04585953446424052,0.05445180853624932,0.0657622742122842,0.0749263691713232,0.0799722152947205,0.16090391636241536,0.4695901292173641,0.0005989186712028367,0.0031197636392047744,0.1067069758231058,0.07247892569517562,0.11654032869704208,0.0845103604233397,0.16815815202087517,0.44788657503005397,-0.04793483407019995,-0.042739770825035744,0.05225516728685648,0.006716651482891425,0.04161395952571888,0.004538145128619206,0.007254235658459812,-0.021703554187310126,0.0037443065366903824,0.009516488395400827,0.030504118271153326,0.07311339214507358,0.0740540872587311,0.08919828457078055,0.18043103005950722,0.539438292762663,4.303,4.213,4.074,4.032,3.818,4.177,3.784,3.904,5.61543e-08,2.925074e-07,1.000479e-05,6.795586e-06,1.092676e-05,7.923647e-06,1.576642e-05,4.199361e-05
0,0,7,2,True,0.3675,0.01246446854083838,0.00030026045253456625,0.03127682965816336,9.749751e-05,0.04853375274140279,0.04585953446424052,0.05445180853624932,0.0657622742122842,0.0749263691713232,0.0799722152947205,0.16090391636241536,0.4695901292173641,0.04225879204504813,0.04464574531185463,0.042884438792334285,0.09703910387044756,0.09350741367651337,0.07982221289548831,0.16031147872391818,0.43953081468439553,-0.0062749606963546645,-0.0012137891523858885,-0.011567369743915035,0.03127682965816336,0.018581044505190172,-0.00015000239923218528,-0.000592437638497173,-0.030059314532968562,0.021360358057488864,0.025223354173601463,0.01130034429323357,0.07064502272511097,0.05876095713302941,0.08753051623601299,0.17776509845502325,0.5474143489264994,4.235,4.133,4.131,4.035,3.837,4.178,3.785,3.9,4.120127e-06,4.352849e-06,4.181126e-06,9.461071e-06,9.11674e-06,7.782467e-06,1.562997e-05,4.285316e-05
1,1,2,0,True,0.35,0.07391470203775687,0.011105482850455003,0.22258265869354588,0.00018307913819999997,0.30112748492139063,3.949233612730607e-05,0.2605194078203329,0.2535214948949493,0.00023146866519655526,0.06246592673983003,0.0642028209409295,0.05789190368124378,0.3672560984340487,0.002617106485811501,0.48310206651387877,0.08147361925914945,0.004601390460335912,0.033026799554816785,0.017745741169323464,0.010177178122635494,0.06612861351265809,0.002577614149684195,0.22258265869354588,-0.17204787563579985,0.004369921795139357,-0.029439127185013243,-0.04645707977160603,-0.047714725558608284,0.30112748492139063,3.949233612730607e-05,0.2605194078203329,0.2535214948949493,0.00023146866519655526,0.06246592673983003,0.0642028209409295,0.05789190368124378,3.967,4.261,3.791,3.885,3.975,4.198,3.879,4.188,6.723693e-05,4.791376e-07,8.844591e-05,1.491612e-05,8.424186e-07,6.046518e-06,3.248875e-06,1.863229e-06
1,1,2,1,True,0.35,0.06721140469211709,0.009400705593973201,0.203419356405228,0.0001795850367,0.30112748492139063,3.949233612730607e-05,0.2605194078203329,0.2535214948949493,0.00023146866519655526,0.06246592673983003,0.0642028209409295,0.05789190368124378,0.3585633368083389,0.00312672598072866,0.4639387642255609,0.0905785932887804,0.005134645496887325,0.038666679182186005,0.02495077029989548,0.015040484717622355,0.057435851886948275,0.003087233644601354,0.203419356405228,-0.1629429016061689,0.00490317683169077,-0.023799247557644024,-0.039252050641034014,-0.04285141896362142,0.2779824701919603,0.0,0.18261547727759184,0.31373825136747924,0.0,0.07276962125458467,0.0804627988609916,0.07459205762675668,3.976,4.261,3.84,3.848,3.977,4.19,3.864,4.173,6.439261e-05,5.615132e-07,8.331646e-05,1.626656e-05,9.221055e-07,6.943957e-06,4.480785e-06,2.701046e-06
1,1,2,2,True,0.3675,0.05708162456991761,0.006835518063054323,0.174203189648314,0.00017747041549999999,0.30112748492139063,3.949233612730607e-05,0.2605194078203329,0.2535214948949493,0.00023146866519655526,0.06246592673983003,0.0642028209409295,0.05789190368124378,0.3458371911007331,0.0037227077997121164,0.4347225974686469,0.1139871676245667,0.00596185565362583,0.043681229787845964,0.032266284968493805,0.019820965596375698,0.044709706179342446,0.0036832154635848104,0.174203189648314,-0.1395343272703826,0.005730386988429275,-0.018784696951984065,-0.03193653597243569,-0.03807093808486808,0.2568747946235068,0.0,0.10785886379867055,0.3736197677077463,0.0,0.08151584473201884,0.0948879274715716,0.09033995409588755,3.985,4.261,3.888,3.812,3.977,4.183,3.851,4.16,6.137587e-05,6.606705e-07,7.71504e-05,2.022935e-05,1.058053e-06,7.752126e-06,5.726311e-06,3.517635e-06
1,1,2,3,True,0.385875,0.021123607322411232,0.0008268099130070707,0.06840491220802813,0.000159878702,0.30112748492139063,3.949233612730607e-05,0.2605194078203329,0.2535214948949493,0.00023146866519655526,0.06246592673983003,0.0642028209409295,0.05789190368124378,0.36953239712941877,0.006890717689214164,0.25531724669618594,0.2345004026865317,0.009469760393726488,0.052714526041123345,0.04357347734784587,0.028001472015953696,0.06840491220802813,0.006851225353086858,-0.005202161124146953,-0.019021092208417606,0.009238291728529933,-0.009751400698706683,-0.020629343593083625,-0.029890431665290082,0.23962243675155306,0.0,0.04063820799312738,0.42746257624320516,0.0,0.0887643896683657,0.10721143828993522,0.10503057732938602,3.993,4.261,4.045,3.78,3.977,4.177,3.84,4.147,5.908036e-05,1.101679e-06,4.081979e-05,3.749162e-05,1.514013e-06,8.42793e-06,6.966471e-06,4.476839e-06
1,1,2,4,True,0.40516875,0.016652968204725494,0.00041937405376819045,0.04362752386716284,0.000159549009,0.30112748492139063,3.949233612730607e-05,0.2605194078203329,0.2535214948949493,0.00023146866519655526,0.06246592673983003,0.0642028209409295,0.05789190368124378,0.3447550087885535,0.006569479851799016,0.26765694295224357,0.23440866373541686,0.009548294969353272,0.05530535761585332,0.0485653032166436,0.03319094887013682,0.04362752386716284,0.00652998751567171,0.007137535131910677,-0.01911283115953244,0.009316826304156717,-0.007160569123976709,-0.015637517724285892,-0.024700954811106957,0.21190690397836656,0.0,0.0427459611130966,0.43516932839692446,0.0,0.0927153525002098,0.11556980364686542,0.11714124616417201,4.006,4.261,4.039,3.776,3.977,4.174,3.833,4.137,5.500532e-05,1.048154e-06,4.27044e-05,3.739967e-05,1.523421e-06,8.823915e-06,7.748546e-06,5.295583e-06
2,2,1,0,True,0.35,0.06109595308691155,0.006348283513015577,0.14794943180384207,0.0001762054533,3.2616833985123054e-05,0.34554617942804655,0.26201364622309664,0.21788565012853114,0.00014526290688107667,0.056393989949513834,0.0596669998591548,0.058315654670790876,0.0009125829932529109,0.43651940708693154,0.4099630780269387,0.09263050430233195,0.004726449632532457,0.026965408340174225,0.018087919189275173,0.0101946504285631,0.0008799661592677878,0.09097322765888499,0.14794943180384207,-0.12525514582619918,0.00458118672565138,-0.02942858160933961,-0.04157908066987963,-0.048121004242227775,3.2616833985123054e-05,0.34554617942804655,0.26201364622309664,0.21788565012853114,0.00014526290688107667,0.056393989949513834,0.0596669998591548,0.058315654670790876,4.318,3.846,3.79,3.909,3.976,4.209,3.883,4.187,1.608021e-07,7.69171e-05,7.223773e-05,1.6322e-05,8.328262e-07,4.751452e-06,3.18719e-06,1.796353e-06
2,2,1,1,True,0.35,0.05509714111026585,0.005540999429173228,0.1465544128635865,0.0001735242842,3.2616833985123054e-05,0.34554617942804655,0.26201364622309664,0.21788565012853114,0.00014526290688107667,0.056393989949513834,0.0596669998591548,0.058315654670790876,0.0009221700624655278,0.4134082461756094,0.40856805908668314,0.0968077181672074,0.005227794508314704,0.03589162190590958,0.024283563648897045,0.014890826444913236,0.0008895532284804047,0.06786206674756284,0.1465544128635865,-0.12107793196132374,0.005082531601433627,-0.020502368043604252,-0.03538343621025776,-0.04342482822587764,0.0,0.3137055497474368,0.21023134509175193,0.26172495116770084,0.0,0.0666939935127827,0.07421967809361267,0.0751580061555706,4.318,3.86,3.822,3.88,3.977,4.195,3.87,4.173,1.600189e-07,7.173637e-05,7.089648e-05,1.679849e-05,9.071493e-07,6.228068e-06,4.213788e-06,2.58392e-06
