dp,pow(uW)
0.000000000000,93.297390000000
0.001000000000,107.428700000000
0.002000000000,122.763800000000
0.003000000000,137.444800000000
0.004000000000,150.716400000000
0.005000000000,162.372200000000
0.006000000000,171.283500000000
0.007000000000,177.905300000000
0.008000000000,181.621200000000
0.009000000000,182.431300000000
0.010000000000,180.487100000000
0.011000000000,175.988600000000
0.012000000000,168.810200000000
0.013000000000,159.125200000000
0.014000000000,147.100700000000
0.015000000000,133.093200000000
0.016000000000,117.864700000000
0.017000000000,101.490200000000
0.018000000000,85.000900000000
0.019000000000,69.126140000000
0.020000000000,54.212450000000
0.021000000000,43.951480000000
0.022000000000,17.472560000000
0.023000000000,10.822120000000
0.024000000000,6.862932000000
0.025000000000,5.572640000000
0.026000000000,6.845802000000
0.027000000000,8.614456000000
0.028000000000,17.129180000000
0.029000000000,26.154920000000
0.030000000000,31.751420000000
0.031000000000,51.394900000000
0.032000000000,58.657480000000
0.033000000000,83.074150000000
0.034000000000,99.836910000000
0.035000000000,116.263500000000
0.036000000000,131.569700000000
0.037000000000,145.379400000000
0.038000000000,157.200200000000
0.039000000000,166.626100000000
0.040000000000,174.119600000000
0.041000000000,178.731100000000
0.042000000000,180.944800000000
0.043000000000,180.310700000000
0.044000000000,176.962400000000
0.045000000000,170.667300000000
0.046000000000,161.951400000000
0.047000000000,150.902800000000
0.048000000000,137.988700000000
0.049000000000,125.444100000000
