v,pow(uW),current(mA)
0.000000000000,8.299246000000,-0.029416474364
0.100000000000,8.473537000000,0.170424152072
0.200000000000,8.945806000000,0.369711831097
0.300000000000,9.924956000000,0.572647632548
0.400000000000,11.355500000000,0.772310275912
0.500000000000,13.355720000000,0.971972919275
0.600000000000,16.021940000000,1.171635562638
0.700000000000,19.359020000000,1.371298206001
0.800000000000,23.561400000000,1.570960849364
0.900000000000,28.866870000000,1.770623492728
1.000000000000,35.143600000000,1.970286136091
1.100000000000,42.927270000000,2.169948779454
1.200000000000,51.901240000000,2.366338264729
1.300000000000,62.457990000000,2.566000908093
1.400000000000,74.663370000000,2.762390393368
1.500000000000,88.389210000000,2.958779878643
1.600000000000,103.704900000000,3.155169363919
1.700000000000,120.304000000000,3.351558849194
1.800000000000,137.949700000000,3.544675176381
1.900000000000,156.475800000000,3.741064661657
2.000000000000,175.929000000000,3.934180988844
2.100000000000,194.192900000000,4.127297316031
2.200000000000,212.255800000000,4.320413643219
2.300000000000,228.283600000000,4.510256812318
2.400000000000,243.708500000000,4.703373139506
2.500000000000,254.801400000000,4.893216308605
2.600000000000,263.062500000000,5.083059477705
2.700000000000,266.487300000000,5.272902646804
2.800000000000,264.783000000000,5.459472657816
2.900000000000,257.438500000000,5.646042668827
3.000000000000,244.042200000000,5.832612679839
3.100000000000,224.114100000000,6.019182690850
3.200000000000,198.462300000000,6.202479543774
3.300000000000,167.906100000000,6.385776396698
3.400000000000,135.794600000000,6.569073249621
3.500000000000,100.245600000000,6.749096944457
3.600000000000,68.915600000000,6.932393797381
3.700000000000,39.283120000000,7.112417492216
3.800000000000,17.322300000000,7.289168028964
3.900000000000,3.604584000000,7.469191723800
4.000000000000,0.288231100000,7.645942260548
4.100000000000,8.528619000000,7.822692797295
4.200000000000,27.694870000000,7.996170175955
4.300000000000,58.122680000000,8.169647554615
4.400000000000,95.306630000000,8.343124933275
4.500000000000,136.372100000000,8.516602311935
4.600000000000,178.493600000000,8.690079690595
4.700000000000,216.669400000000,8.860283911167
4.800000000000,247.072200000000,9.030488131738
4.900000000000,265.939100000000,9.200692352310
5.000000000000,268.346000000000,9.367623414794
