MZI,PORT,ON,OFF,resistance_ohm,intercept_v,r2,point_count
1,43,3.109,4.318,117.15004391438173,1.0553123232471548,0.037808230514642105,5
2,45,3.005,4.261,509.32741682807284,-0.015568931711555822,0.9999320704439502,5
3,41,2.859,4.164,514.4778300077395,-0.0137181793143236,0.9999397651316569,5
4,48,2.972,4.23,509.33194693518095,-0.015248986828880337,0.9999409641324307,5
5,44,2.604,3.977,517.265519403624,-0.015147868321141898,0.9999400279701292,5
6,46,3.082,4.329,513.6059485938734,-0.016868679149032995,0.99992628877075,5
7,42,2.641,3.995,510.17554786931026,-0.011747090361646033,0.9999272701961295,5
8,49,3.062,4.294,514.6445493655262,-0.016567026135367865,0.9999268984937911,5
