global_target_layer,current_layer,layer_status,skip_reason,start_loss,final_loss,iterations_completed,active_heater_labels,active_heater_ports
6,1,skipped,first_or_last_layer_bar_fixed,,,0,,
6,2,optimized,,0.0098997128921585,0.0021751198896657,8,MZI5_arm0;MZI5_arm1;MZI6_arm0;MZI6_arm1;MZI7_arm0;MZI7_arm1;MZI1_arm0;MZI2_arm0;MZI3_arm0,11;7;12;8;13;9;65;67;66
6,3,optimized,,0.0184066572870412,0.005997547545803,5,MZI9_arm0;MZI9_arm1;MZI10_arm0;MZI10_arm1;MZI11_arm0;MZI11_arm1;MZI5_arm0;MZI5_arm1;MZI6_arm0;MZI6_arm1;MZI7_arm0;MZI7_arm1,76;72;75;71;74;70;11;7;12;8;13;9
6,4,optimized,,0.0406615339957822,0.015263980586719,13,MZI13_arm0;MZI13_arm1;MZI14_arm0;MZI14_arm1;MZI15_arm0;MZI15_arm1;MZI9_arm0;MZI9_arm1;MZI10_arm0;MZI10_arm1;MZI11_arm0;MZI11_arm1,19;15;20;16;21;17;76;72;75;71;74;70
6,5,optimized,,0.02275461519009275,0.01736339859523781,11,MZI17_arm0;MZI17_arm1;MZI18_arm0;MZI18_arm1;MZI19_arm0;MZI19_arm1;MZI13_arm0;MZI13_arm1;MZI14_arm0;MZI14_arm1;MZI15_arm0;MZI15_arm1,84;80;83;79;82;78;19;15;20;16;21;17
6,6,optimized,,0.11885922836583883,0.025213460421531407,20,MZI21_arm0;MZI21_arm1;MZI22_arm0;MZI22_arm1;MZI23_arm0;MZI23_arm1;MZI17_arm0;MZI17_arm1;MZI18_arm0;MZI18_arm1;MZI19_arm0;MZI19_arm1,27;23;28;24;29;25;84;80;83;79;82;78
