input_channel,expected_output_channel,argmax_output_channel,diagonal_normalized_power,raw_total_power,identity_route_ok
1,1,1,0.9898836423081433,0.00030212631789999994,True
2,2,2,0.9806763901502841,0.00026403653906700007,True
3,3,3,0.7257446604285878,0.0002477881131,True
4,4,4,0.7285903843838587,0.00024795427427,True
5,5,5,0.961823774613083,0.0002552361529,True
6,6,6,0.9753996965783066,0.0002391401195,True
7,7,7,0.9819783219134788,0.00023408174587,True
8,8,8,0.9849033359927469,0.000191746532983,True
