switch_mzi,port,feature_coefficient,upload_voltage,target_leak_power,p_on_leak,p_off_leak,scan_path
1,43,0.0,4.318,236.37487000000004,0.8805110919999946,236.37487000000004,Scandata-backup-04\1Col\power_data\43.txt
1,43,0.01,4.242,234.01992641092005,0.8805110919999946,236.37487000000004,Scandata-backup-04\1Col\power_data\43.txt
1,43,0.02,4.166,231.66498282184006,0.8805110919999946,236.37487000000004,Scandata-backup-04\1Col\power_data\43.txt
1,43,0.03,4.098,229.31003923276003,0.8805110919999946,236.37487000000004,Scandata-backup-04\1Col\power_data\43.txt
1,43,0.04,4.087,226.95509564368004,0.8805110919999946,236.37487000000004,Scandata-backup-04\1Col\power_data\43.txt
1,43,0.05,4.075,224.60015205460004,0.8805110919999946,236.37487000000004,Scandata-backup-04\1Col\power_data\43.txt
1,43,0.06,4.063,222.24520846552005,0.8805110919999946,236.37487000000004,Scandata-backup-04\1Col\power_data\43.txt
1,43,0.07,4.051,219.89026487644003,0.8805110919999946,236.37487000000004,Scandata-backup-04\1Col\power_data\43.txt
1,43,0.08,4.039,217.53532128736003,0.8805110919999946,236.37487000000004,Scandata-backup-04\1Col\power_data\43.txt
1,43,0.09,4.027,215.18037769828004,0.8805110919999946,236.37487000000004,Scandata-backup-04\1Col\power_data\43.txt
1,43,0.1,4.016,212.82543410920005,0.8805110919999946,236.37487000000004,Scandata-backup-04\1Col\power_data\43.txt
1,43,0.11,4.004,210.47049052012005,0.8805110919999946,236.37487000000004,Scandata-backup-04\1Col\power_data\43.txt
1,43,0.12,3.994,208.11554693104003,0.8805110919999946,236.37487000000004,Scandata-backup-04\1Col\power_data\43.txt
1,43,0.13,3.986,205.76060334196004,0.8805110919999946,236.37487000000004,Scandata-backup-04\1Col\power_data\43.txt
1,43,0.14,3.978,203.40565975288004,0.8805110919999946,236.37487000000004,Scandata-backup-04\1Col\power_data\43.txt
1,43,0.15,3.969,201.05071616380005,0.8805110919999946,236.37487000000004,Scandata-backup-04\1Col\power_data\43.txt
1,43,0.16,3.961,198.69577257472002,0.8805110919999946,236.37487000000004,Scandata-backup-04\1Col\power_data\43.txt
1,43,0.17,3.953,196.34082898564003,0.8805110919999946,236.37487000000004,Scandata-backup-04\1Col\power_data\43.txt
1,43,0.18,3.944,193.98588539656004,0.8805110919999946,236.37487000000004,Scandata-backup-04\1Col\power_data\43.txt
1,43,0.19,3.936,191.63094180748004,0.8805110919999946,236.37487000000004,Scandata-backup-04\1Col\power_data\43.txt
1,43,0.2,3.928,189.27599821840005,0.8805110919999946,236.37487000000004,Scandata-backup-04\1Col\power_data\43.txt
1,43,0.21,3.92,186.92105462932005,0.8805110919999946,236.37487000000004,Scandata-backup-04\1Col\power_data\43.txt
1,43,0.22,3.911,184.56611104024003,0.8805110919999946,236.37487000000004,Scandata-backup-04\1Col\power_data\43.txt
1,43,0.23,3.903,182.21116745116004,0.8805110919999946,236.37487000000004,Scandata-backup-04\1Col\power_data\43.txt
1,43,0.24,3.896,179.85622386208004,0.8805110919999946,236.37487000000004,Scandata-backup-04\1Col\power_data\43.txt
1,43,0.25,3.889,177.50128027300002,0.8805110919999946,236.37487000000004,Scandata-backup-04\1Col\power_data\43.txt
1,43,0.26,3.882,175.14633668392003,0.8805110919999946,236.37487000000004,Scandata-backup-04\1Col\power_data\43.txt
1,43,0.27,3.875,172.79139309484003,0.8805110919999946,236.37487000000004,Scandata-backup-04\1Col\power_data\43.txt
1,43,0.28,3.868,170.43644950576004,0.8805110919999946,236.37487000000004,Scandata-backup-04\1Col\power_data\43.txt
1,43,0.29,3.861,168.08150591668004,0.8805110919999946,236.37487000000004,Scandata-backup-04\1Col\power_data\43.txt
1,43,0.3,3.854,165.72656232760005,0.8805110919999946,236.37487000000004,Scandata-backup-04\1Col\power_data\43.txt
1,43,0.31,3.847,163.37161873852003,0.8805110919999946,236.37487000000004,Scandata-backup-04\1Col\power_data\43.txt
1,43,0.32,3.84,161.01667514944003,0.8805110919999946,236.37487000000004,Scandata-backup-04\1Col\power_data\43.txt
1,43,0.33,3.833,158.66173156036,0.8805110919999946,236.37487000000004,Scandata-backup-04\1Col\power_data\43.txt
1,43,0.34,3.826,156.30678797128002,0.8805110919999946,236.37487000000004,Scandata-backup-04\1Col\power_data\43.txt
