mzi,port,voltage,expected_mA,actual_mA,lower_mA,upper_mA,local_sample_row,sample_index
1,43,4.055,7.961479916500931,,7.165331924850838,8.757627908151024,18,18
2,45,3.953,7.761215810093263,,6.985094229083936,8.53733739110259,18,18
3,41,3.897,7.574670418628876,,6.817203376765988,8.332137460491763,18,18
4,48,4.066,7.983006022823561,,7.184705420541205,8.781306625105918,18,18
5,44,3.977,7.688507837493675,,6.919657053744308,8.457358621243042,18,18
6,46,3.852,7.499913134857232,,6.749921821371509,8.249904448342956,18,18
7,42,3.513,6.885865100104546,,6.197278590094092,7.574451610115,18,18
8,49,4.294,8.343622807807465,,7.5092605270267185,9.177985088588212,18,18
