global_target_layer,current_layer,layer_status,skip_reason,layer_iter,loss_before_iter,loss_after_iter,heater_label,heater_role,heater_port,mzi_id,arm_index,voltage_before,voltage_after,gradient,accepted,line_search_trials,lr_used
7,2,optimized,,0,4.0543626067759725e-14,4.0543626067759725e-14,MZI5_arm0,current_layer,11,5,0,4.44,4.439999840915566,1.5908443494139142e-06,True,0,0.1
7,2,optimized,,0,4.0543626067759725e-14,4.0543626067759725e-14,MZI5_arm1,current_layer,7,5,1,3.545,3.5450000531033417,-5.310334155225566e-07,True,0,0.1
7,2,optimized,,0,4.0543626067759725e-14,4.0543626067759725e-14,MZI6_arm0,current_layer,12,6,0,4.505,4.504999766718273,2.332817270701363e-06,True,0,0.1
7,2,optimized,,0,4.0543626067759725e-14,4.0543626067759725e-14,MZI6_arm1,current_layer,8,6,1,5.42,5.420000299131872,-2.991318720804125e-06,True,0,0.1
7,2,optimized,,0,4.0543626067759725e-14,4.0543626067759725e-14,MZI7_arm0,current_layer,13,7,0,1.353,1.3529999969383053,3.061694633671524e-08,True,0,0.1
7,2,optimized,,0,4.0543626067759725e-14,4.0543626067759725e-14,MZI7_arm1,current_layer,9,7,1,3.503,3.5030000238990207,-2.3899020531125554e-07,True,0,0.1
7,2,optimized,,1,4.0543626067759725e-14,4.0543626067759725e-14,MZI6_arm1,current_layer,8,6,1,5.42,5.420000299131872,-2.991318720804125e-06,True,0,0.1
7,2,optimized,,1,4.0543626067759725e-14,4.0543626067759725e-14,MZI6_arm0,current_layer,12,6,0,4.505,4.504999766718273,2.332817270701363e-06,True,0,0.1
7,2,optimized,,1,4.0543626067759725e-14,4.0543626067759725e-14,MZI5_arm0,current_layer,11,5,0,4.44,4.439999840915566,1.5908443494139142e-06,True,0,0.1
7,2,optimized,,1,4.0543626067759725e-14,4.0543626067759725e-14,MZI5_arm1,current_layer,7,5,1,3.545,3.5450000531033417,-5.310334155225566e-07,True,0,0.1
7,2,optimized,,1,4.0543626067759725e-14,4.0543626067759725e-14,MZI7_arm1,current_layer,9,7,1,3.503,3.5030000238990207,-2.3899020531125554e-07,True,0,0.1
7,2,optimized,,1,4.0543626067759725e-14,4.0543626067759725e-14,MZI7_arm0,current_layer,13,7,0,1.353,1.3529999969383053,3.061694633671524e-08,True,0,0.1
7,3,optimized,,0,5.932654769923146e-07,5.932654769923146e-07,MZI9_arm0,current_layer,76,9,0,4.956,4.955999716599005,2.8340099524923536e-06,True,0,0.1
7,3,optimized,,0,5.932654769923146e-07,5.932654769923146e-07,MZI9_arm1,current_layer,72,9,1,5.026,5.0260002655796185,-2.6557961833025876e-06,True,0,0.1
