mzi_id,layer,arm_index,port,base_voltage,base_phase,target_phase,folded_target_phase,phase_wrap_cycles,voltage_wrap_cycles,total_wrap_cycles,canonical_phase_offset,phase_offset,canonical_voltage,initial_voltage,mode
5,2,0,11,3.404,3.141592653589793,12.279164816944904,5.995979509765318,-1,0,-1,2.854386856175525,2.854386856175525,4.440028020079875,4.440028020079875,inter_cali_pair_pi0_prebiased
5,2,1,7,3.658,0.0,12.279164816944903,5.995979509765316,-1,-1,-2,5.995979509765316,-0.2872057974142699,5.507286737115065,3.5452926300904175,inter_cali_pair_pi0_prebiased
6,2,0,12,3.497,3.141592653589793,5.995979509765316,5.995979509765316,0,0,0,2.8543868561755232,2.8543868561755232,4.505019491274176,4.505019491274176,inter_cali_pair_pi0_prebiased
6,2,1,8,3.525,0.0,5.995979509765316,5.995979509765316,0,0,0,5.995979509765316,5.995979509765316,5.420261091165453,5.420261091165453,inter_cali_pair_pi0_prebiased
7,2,0,13,3.273,3.141592653589793,1.7868769888726202e-16,1.7868769888726202e-16,0,0,0,-3.141592653589793,-3.141592653589793,1.3526006235064336,1.3526006235064336,inter_cali_pair_pi0_prebiased
7,2,1,9,3.503,0.0,0.0,0.0,0,0,0,0.0,0.0,3.503,3.503,inter_cali_pair_pi0_prebiased
8,2,0,14,5.095,3.141592653589793,3.141592653589793,3.141592653589793,0,0,0,0.0,0.0,5.095,5.095,inter_cali_pair_pi0_prebiased
8,2,1,10,3.166,0.0,0.0,0.0,0,0,0,0.0,0.0,3.166,3.166,inter_cali_pair_pi0_prebiased
9,3,0,76,4.873,3.141592653589793,-2.8543868561755232,3.428798451004063,1,0,1,0.2872057974142699,0.2872057974142699,4.9557542542607145,4.9557542542607145,inter_cali_pair_pi0_prebiased
9,3,1,72,4.945,0.0,-5.995979509765316,0.2872057974142699,1,0,1,0.2872057974142699,0.2872057974142699,5.026482747817884,5.026482747817884,inter_cali_pair_pi0_prebiased
10,3,0,75,5.282,3.141592653589793,-0.32827391125611705,5.954911395923469,1,-1,0,2.813318742333676,-3.46986656484591,6.0657513400577345,4.114626050011072,inter_cali_pair_pi0_prebiased
10,3,1,71,4.972,0.0,-2.2389071475051354,4.044278159674451,1,-1,0,4.044278159674451,-2.2389071475051354,6.040115965377524,4.267228138101836,inter_cali_pair_pi0_prebiased
11,3,0,74,4.837,3.141592653589793,2.3561944901923466,2.3561944901923466,0,0,0,-0.7853981633974465,-0.7853981633974465,4.601542619248439,4.601542619248439,inter_cali_pair_pi0_prebiased
11,3,1,70,4.689,0.0,0.7853981633974494,0.7853981633974494,0,0,0,0.7853981633974494,0.7853981633974494,4.921511409980705,4.921511409980705,inter_cali_pair_pi0_prebiased
12,3,0,73,4.639,3.141592653589793,0.0,0.0,0,0,0,-3.141592653589793,-3.141592653589793,3.5319679148256715,3.5319679148256715,inter_cali_pair_pi0_prebiased
12,3,1,69,4.729,0.0,3.141592653589793,3.141592653589793,0,-1,-1,3.141592653589793,-3.141592653589793,5.6063721308131695,3.64629586441383,inter_cali_pair_pi0_prebiased
13,4,0,19,4.021,3.141592653589793,8.668688447611091e-16,8.668688447611091e-16,0,0,0,-3.1415926535897922,-3.1415926535897922,2.685112719388856,2.685112719388856,inter_cali_pair_pi0_prebiased
13,4,1,15,4.117,0.0,4.440892098500626e-16,4.440892098500626e-16,0,0,0,4.440892098500626e-16,4.440892098500626e-16,4.117,4.117,inter_cali_pair_pi0_prebiased
14,4,0,20,3.872,3.141592653589793,-3.141592653589794,3.1415926535897922,1,0,1,-8.881784197001252e-16,-8.881784197001252e-16,3.872,3.872,inter_cali_pair_pi0_prebiased
14,4,1,16,3.821,0.0,-3.141592653589794,3.1415926535897922,1,0,1,3.1415926535897922,3.1415926535897922,4.858260511778064,4.858260511778064,inter_cali_pair_pi0_prebiased
