scenario,point_index,target_heater,target_port,target_voltage_v,target_current_a,other_second_column_voltage_v,current_read_attempts,warning,timestamp
others_3v,0,6d,8,0.0,-0.16529448344005795,3.0,1,,2026-06-11T11:13:25.806155
others_3v,1,6d,8,0.1,0.03619706761413998,3.0,1,,2026-06-11T11:13:28.484756
others_3v,2,6d,8,0.2,0.23598847424130806,3.0,1,,2026-06-11T11:13:31.668988
others_3v,3,6d,8,0.3,0.4336934466496567,3.0,1,,2026-06-11T11:13:33.842469
others_3v,4,6d,8,0.4,0.6333560900128824,3.0,1,,2026-06-11T11:13:36.514965
others_3v,5,6d,8,0.5,0.8330187333761268,3.0,1,,2026-06-11T11:13:38.679886
others_3v,6,6d,8,0.6,1.0326813767393528,3.0,1,,2026-06-11T11:13:40.841152
others_3v,7,6d,8,0.7,1.232344020102597,3.0,1,,2026-06-11T11:13:43.021365
others_3v,8,6d,8,0.8,1.4287335053778951,3.0,1,,2026-06-11T11:13:45.187067
others_3v,9,6d,8,0.9,1.6283961487411394,3.0,1,,2026-06-11T11:13:47.875114
others_3v,10,6d,8,1.0,1.8280587921043654,3.0,1,,2026-06-11T11:13:50.036078
others_3v,11,6d,8,1.1,2.024448277379682,3.0,1,,2026-06-11T11:13:52.214622
others_3v,12,6d,8,1.2,2.220837762654998,3.0,1,,2026-06-11T11:13:54.392891
others_3v,13,6d,8,1.3,2.417227247930315,3.0,1,,2026-06-11T11:13:56.568427
others_3v,14,6d,8,1.4,2.6168898912935408,3.0,1,,2026-06-11T11:13:58.750218
others_3v,15,6d,8,1.5,2.8100062184809294,3.0,1,,2026-06-11T11:14:00.930827
others_3v,16,6d,8,1.6,3.0031225456683184,3.0,1,,2026-06-11T11:14:03.091776
others_3v,17,6d,8,1.7,3.202785189031563,3.0,1,,2026-06-11T11:14:05.256622
others_3v,18,6d,8,1.8,3.3959015162189696,3.0,1,,2026-06-11T11:14:07.435779
others_3v,19,6d,8,1.9,3.592291001494287,3.0,1,,2026-06-11T11:14:09.601209
others_3v,20,6d,8,2.0,3.785407328681676,3.0,1,,2026-06-11T11:14:11.757674
others_3v,21,6d,8,2.1,3.9785236558690644,3.0,1,,2026-06-11T11:14:14.448771
others_3v,22,6d,8,2.2,4.165093666880615,3.0,1,,2026-06-11T11:14:16.613521
others_3v,23,6d,8,2.3,4.361483152155932,3.0,1,,2026-06-11T11:14:18.793742
others_3v,24,6d,8,2.4,4.551326321255393,3.0,1,,2026-06-11T11:14:20.953154
others_3v,25,6d,8,2.5,4.741169490354873,3.0,1,,2026-06-11T11:14:23.119844
others_3v,26,6d,8,2.6,4.927739501366425,3.0,1,,2026-06-11T11:14:25.284356
others_3v,27,6d,8,2.7,5.117582670465885,3.0,1,,2026-06-11T11:14:28.478373
others_3v,28,6d,8,2.8,5.304152681477437,3.0,1,,2026-06-11T11:14:30.639366
others_3v,29,6d,8,2.9,5.493995850576898,3.0,1,,2026-06-11T11:14:32.804023
others_3v,30,6d,8,3.0,5.677292703500521,3.0,1,,2026-06-11T11:14:34.967425
others_3v,31,6d,8,3.1,5.863862714512074,3.0,1,,2026-06-11T11:14:37.133417
others_3v,32,6d,8,3.2,6.047159567435697,3.0,1,,2026-06-11T11:14:39.326716
others_3v,33,6d,8,3.3,6.230456420359322,3.0,1,,2026-06-11T11:14:41.518583
others_3v,34,6d,8,3.4,6.4137532732829445,3.0,1,,2026-06-11T11:14:43.683367
others_3v,35,6d,8,3.5,6.59377696811866,3.0,1,,2026-06-11T11:14:45.862997
others_3v,36,6d,8,3.6,6.773800662954356,3.0,1,,2026-06-11T11:14:48.040511
others_3v,37,6d,8,3.7,6.953824357790052,3.0,1,,2026-06-11T11:14:50.733906
others_3v,38,6d,8,3.8,7.1338480526257655,3.0,1,,2026-06-11T11:14:52.899541
others_3v,39,6d,8,3.9,7.310598589373553,3.0,1,,2026-06-11T11:14:55.064931
others_3v,40,6d,8,4.0,7.4873491261213205,3.0,1,,2026-06-11T11:14:58.779318
others_3v,41,6d,8,4.1,7.6608265047811805,3.0,1,,2026-06-11T11:15:00.946012
others_3v,42,6d,8,4.2,7.837577041528968,3.0,1,,2026-06-11T11:15:03.126465
others_3v,43,6d,8,4.3,8.011054420188827,3.0,1,,2026-06-11T11:15:05.292858
others_3v,44,6d,8,4.4,8.184531798848685,3.0,1,,2026-06-11T11:15:07.501397
others_3v,45,6d,8,4.5,8.354736019420615,3.0,1,,2026-06-11T11:15:09.671558
others_3v,46,6d,8,4.6,8.528213398080494,3.0,1,,2026-06-11T11:15:11.851340
others_3v,47,6d,8,4.7,8.698417618652424,3.0,1,,2026-06-11T11:15:14.041845
others_3v,48,6d,8,4.8,8.868621839224355,3.0,1,,2026-06-11T11:15:16.218365
others_3v,49,6d,8,4.9,9.035552901708376,3.0,1,,2026-06-11T11:15:18.902721
others_3v,50,6d,8,5.0,9.202483964192398,3.0,1,,2026-06-11T11:15:21.066111
others_3v,51,6d,8,5.1,9.369415026676403,3.0,1,,2026-06-11T11:15:23.229203
others_3v,52,6d,8,5.2,9.533072931072496,3.0,1,,2026-06-11T11:15:25.397565
others_3v,53,6d,8,5.3,9.70000399355652,3.0,1,,2026-06-11T11:15:27.561424
others_3v,54,6d,8,5.4,9.860388739864685,3.0,1,,2026-06-11T11:15:29.724620
others_3v,55,6d,8,5.5,10.02404664426078,3.0,1,,2026-06-11T11:15:32.400756
