current_layer,iter_points,global_iter_start,global_iter_end,layer_iter_start,layer_iter_end,loss_start,loss_end,loss_min
2,11,0,10,0,10,0.00839910156844465,0.0071330891258429945,0.0071330891258429945
3,15,11,25,0,14,0.04926492503458951,0.023602415689319242,0.023602415689319242
4,7,26,32,0,6,0.03125634527325713,0.029052190896893364,0.029052190896893364
5,15,33,47,0,14,0.056286833272218284,0.04074076046925463,0.04074076046925463
6,10,48,57,0,9,0.07628724285585986,0.07025404300291262,0.07023212889746601
7,10,58,67,0,9,0.05799822568596173,0.05541433012846804,0.05541433012846804
8,4,68,71,0,3,0.05920141365638759,0.05838779172730398,0.05838779172730398
