mzi_id,probe_arm,eta_ref,eta_cur,delta_eta,delta_Delta,beta_ref,beta_cur,delta_beta,sigma_coeff,delta_Sigma,theta_u,theta_d,delta_fit_rmse_uW,sigma_fit_rmse_uW,delta_outlier_indices,delta_outlier_x,delta_outlier_y,delta_outlier_reason,delta_used_outlier_removal,delta_fit_quality_ok,sigma_outlier_indices,sigma_outlier_x,sigma_outlier_y,sigma_outlier_reason,sigma_used_outlier_removal,sigma_fit_quality_ok,delta_rescan_count,sigma_rescan_count,final_delta_scan_file,final_sigma_scan_file,warning
5,u,1.529009515374609,1.7041503959382283,0.1751408805636192,0.1751408805636192,0.012862127118823174,0.276872323053301,0.26401019593447783,2.0,0.5280203918689557,0.35158063621628743,0.17643975565266823,0.009727944435088419,1.5500820361211307,[],[],[],[],False,True,"[1, 3]","[1.570796327, 4.71238898]","[145.8454, 19.44539]","[""neighbor_outlier"", ""neighbor_outlier""]",False,False,0,0,Scandata\current_theta_measurement\delta_current\obs5_probe.txt,Scandata\current_theta_measurement\sigma_current\obs5_inter_scan.txt,"Sigma too many outliers, fit unreliable"
6,u,1.5443361559529007,1.5454699739153979,0.001133817962497119,0.001133817962497119,0.2727066879019011,0.30435797597171677,0.03165128806981565,2.0,0.0633025761396313,0.03221819705106421,0.031084379088567093,0.010056523581596654,2.001405891418753,[],[],[],[],False,True,"[1, 2, 3]","[1.570796327, 3.141592654, 4.71238898]","[113.2932, 40.09015, 3.220144]","[""neighbor_outlier"", ""neighbor_outlier"", ""neighbor_outlier""]",False,False,0,0,Scandata\current_theta_measurement\delta_current\obs6_probe.txt,Scandata\current_theta_measurement\sigma_current\obs6_inter_scan.txt,"Delta low visibility; Sigma too many outliers, fit unreliable"
7,u,0.9095692643737046,2.3634403127536228,1.4538710483799182,1.4538710483799182,0.24041540938578887,0.25236802295078453,0.011952613564995662,2.0,0.023905227129991324,0.7388881377549548,-0.7149829106249634,0.015547893536097186,0.5265809466946384,[],[],[],[],False,True,"[1, 3]","[1.570796327, 4.71238898]","[10.40769, 0.6407404]","[""neighbor_outlier"", ""neighbor_outlier""]",False,False,0,0,Scandata\current_theta_measurement\delta_current\obs7_probe.txt,Scandata\current_theta_measurement\sigma_current\obs7_inter_scan.txt,"Sigma too many outliers, fit unreliable; Sigma low visibility"
8,u,-0.4310074228714367,-3.1233311899665503,-2.6923237670951137,-2.6923237670951137,0.9949921030863456,1.1858466695456134,0.1908545664592678,2.0,0.3817091329185356,-1.155307317088289,1.5370164500068246,2.5679771309286448,0.06637832284790415,[],[],[],[],False,True,"[2, 3]","[3.141592654, 4.71238898]","[0.1930108, 1.310793]","[""neighbor_outlier"", ""neighbor_outlier""]",False,False,0,0,Scandata\current_theta_measurement\delta_current\obs8_probe.txt,Scandata\current_theta_measurement\sigma_current\obs8_inter_scan.txt,"Delta phase jump may be too large; Sigma too many outliers, fit unreliable; Sigma low visibility"
