input_channel,expected_output_channel,argmax_output_channel,diagonal_normalized_power,raw_total_power,identity_route_ok
1,1,1,0.4645022707903727,0.00016323887905,False
2,2,2,0.5286930333461327,0.00017105551671,True
3,3,5,0.2446639780804854,0.0001485563191,False
4,4,3,0.0880738165976527,0.00033669654779999996,False
5,5,7,0.3263183498370683,0.0001354470566,False
6,6,6,0.4464646043454254,0.00013978550459,False
7,7,7,0.4101449682864028,0.0001002005222,False
8,8,8,0.8930936049245807,9.120271330000001e-05,True
