theta,value_rad
theta5u,0.9071072935354598
theta5d,-0.3612484102529221
theta6u,-0.17123915769876996
theta6d,-0.1613883809982828
theta7u,0.27887577613316017
theta7d,-0.23892333724858839
theta8u,-0.20071205637616663
theta8d,0.6226874203550872
