phase(rad),pow(uW),v_up,v_down,p_up,p_down
0.000000000000,109.583700000000,4.160000000000,0.000000000000,0.033353859623,0.000000000000
0.100000000000,105.824500000000,4.194000000000,0.537000000000,0.033901294955,0.000557110109
0.200000000000,97.682310000000,4.229000000000,0.760000000000,0.034469485863,0.001115885546
0.300000000000,89.439800000000,4.263000000000,0.931000000000,0.035025964297,0.001674525748
0.400000000000,81.640780000000,4.296000000000,1.075000000000,0.035570337077,0.002232592165
0.500000000000,73.838830000000,4.330000000000,1.201000000000,0.036135596494,0.002786624702
0.600000000000,66.275720000000,4.363000000000,1.316000000000,0.036688491994,0.003345832892
0.700000000000,58.910730000000,4.396000000000,1.421000000000,0.037245585250,0.003901041978
0.800000000000,51.703030000000,4.428000000000,1.520000000000,0.037789805770,0.004463542185
0.900000000000,44.592150000000,4.461000000000,1.612000000000,0.038355167337,0.005020217609
1.000000000000,37.869370000000,4.493000000000,1.699000000000,0.038907405612,0.005576724954
1.100000000000,31.465560000000,4.525000000000,1.782000000000,0.039463591089,0.006134905355
1.200000000000,25.658680000000,4.556000000000,1.861000000000,0.040006159874,0.006690910398
1.300000000000,20.186690000000,4.588000000000,1.937000000000,0.040570116406,0.007248559517
1.400000000000,15.369880000000,4.619000000000,2.010000000000,0.041120213401,0.007805209826
1.500000000000,11.087420000000,4.650000000000,2.081000000000,0.041674014753,0.008366361542
1.600000000000,9.035922000000,4.681000000000,2.149000000000,0.042231520461,0.008922063271
1.700000000000,4.598815000000,4.712000000000,2.215000000000,0.042792730526,0.009478506863
1.800000000000,2.468608000000,4.742000000000,2.279000000000,0.043339364082,0.010034162225
1.900000000000,1.072631000000,4.772000000000,2.342000000000,0.043889466859,0.010596592883
2.000000000000,0.453376800000,4.803000000000,2.403000000000,0.044461551004,0.011155781754
2.100000000000,0.637080700000,4.832000000000,2.462000000000,0.045000080075,0.011710314662
2.200000000000,1.620293000000,4.862000000000,2.520000000000,0.045560590514,0.012268558817
2.300000000000,3.404266000000,4.892000000000,2.577000000000,0.046124570174,0.012829841905
2.400000000000,5.922470000000,4.921000000000,2.632000000000,0.046673048199,0.013383331569
2.500000000000,9.165878000000,4.950000000000,2.686000000000,0.047224768018,0.013938129152
2.600000000000,13.133560000000,4.979000000000,2.739000000000,0.047779729631,0.014493608708
2.700000000000,17.850520000000,5.008000000000,2.792000000000,0.048337933039,0.015059941874
2.800000000000,23.117620000000,5.037000000000,2.843000000000,0.048899378240,0.015615150959
2.900000000000,26.000400000000,5.065000000000,2.893000000000,0.049444539305,0.016169229863
3.000000000000,35.276200000000,5.093000000000,2.943000000000,0.049992722446,0.016732968440
3.100000000000,42.000580000000,5.122000000000,2.991000000000,0.050563669458,0.017283245296
3.200000000000,49.062800000000,5.150000000000,3.039000000000,0.051118004684,0.017842424508
3.300000000000,56.463760000000,5.178000000000,3.086000000000,0.051675361987,0.018398580241
3.400000000000,63.914650000000,5.205000000000,3.133000000000,0.052215675779,0.018963271262
3.500000000000,71.696090000000,5.233000000000,3.178000000000,0.052778969304,0.019511931089
3.600000000000,79.530210000000,5.260000000000,3.224000000000,0.053325007310,0.020080870435
3.700000000000,87.210410000000,5.288000000000,3.268000000000,0.053894237058,0.020632723749
3.800000000000,94.887710000000,5.315000000000,3.312000000000,0.054445999278,0.021192057516
3.900000000000,98.284650000000,5.342000000000,3.355000000000,0.055000571568,0.021745906519
4.000000000000,106.056900000000,3.257000000000,3.398000000000,0.020445368969,0.022306899817
4.100000000000,113.280700000000,3.300000000000,3.440000000000,0.020988785786,0.022861743767
4.200000000000,120.419000000000,3.344000000000,3.482000000000,0.021552218080,0.023423403582
4.300000000000,126.644200000000,3.387000000000,3.523000000000,0.022110055292,0.023978264919
4.400000000000,132.591000000000,3.429000000000,3.564000000000,0.022661800166,0.024539621421
4.500000000000,138.061700000000,3.471000000000,3.604000000000,0.023220344714,0.025093545770
4.600000000000,140.124000000000,3.512000000000,3.644000000000,0.023772149336,0.025653652310
4.700000000000,146.719400000000,3.553000000000,3.683000000000,0.024330433692,0.026205708478
4.800000000000,149.911700000000,3.593000000000,3.722000000000,0.024881345953,0.026763641591
4.900000000000,152.631300000000,3.633000000000,3.761000000000,0.025438425719,0.027327451650
5.000000000000,154.315100000000,3.672000000000,3.799000000000,0.025987516639,0.027882457883
5.100000000000,155.418500000000,3.711000000000,3.837000000000,0.026542470543,0.028443043543
5.200000000000,155.567600000000,3.750000000000,3.874000000000,0.027103287430,0.028994238067
5.300000000000,155.077700000000,3.788000000000,3.911000000000,0.027655363808,0.029550722230
5.400000000000,153.700100000000,3.826000000000,3.948000000000,0.028213006358,0.030112496029
5.500000000000,151.326500000000,3.863000000000,3.984000000000,0.028761322486,0.030664163878
5.600000000000,148.952400000000,3.900000000000,4.020000000000,0.029314915684,0.031220839302
5.700000000000,144.926500000000,3.937000000000,4.056000000000,0.029873785953,0.031782522301
5.800000000000,140.986300000000,3.973000000000,4.091000000000,0.030422616682,0.032333403852
5.900000000000,136.132500000000,4.009000000000,4.127000000000,0.030976443089,0.032904962902
6.000000000000,130.864400000000,4.045000000000,4.161000000000,0.031535265174,0.033449366676
6.100000000000,124.849900000000,4.081000000000,4.196000000000,0.032099082937,0.034014447948
6.200000000000,118.418200000000,4.116000000000,4.230000000000,0.032652028548,0.034567916360
6.300000000000,114.691400000000,4.151000000000,4.264000000000,0.033209696153,0.035125851406
