heater,P_current_w,delta_P_raw_w,delta_P_applied_w,P_next_w,R_ohm,port,V_next_v,clipped,warning
5u,0.0340835594132493,-0.0012485553591769791,-0.0001625256746201481,0.033921033738629154,512.0640000350635,11,4.167702031278963,False,
5d,0.039778015482778005,-0.0008979119516605419,-0.0001168820786523403,0.039661133404125665,509.8400242919656,7,4.4967580786836105,False,
6u,0.049465328099231036,0.015364407649376997,0.0020000000000000018,0.05146532809923104,514.1361980539365,12,5.143946745499711,False,
6d,0.037662751668491846,-0.006680764741441448,-0.0008696416931781095,0.03679310997531374,514.6538964400621,8,4.351518977431091,False,
7u,0.037307007245052606,-0.00044718104996122266,-5.82099954864676e-05,0.03724879724956614,511.3774400151507,13,4.364423739868359,False,
7d,0.04477660663871264,-0.0007576107039334854,-9.86189277481439e-05,0.0446779877109645,511.5557342129538,9,4.780719695468431,False,
8u,0.013578969833169207,-0.004923924564340937,-0.0006409520857174854,0.012938017747451722,514.1317715531885,14,2.5791172879270046,False,
8d,0.027852782862496702,-0.003331222765322735,-0.00043362853177848423,0.027419154330718218,513.6152391977142,10,3.7527184160513403,False,
