heater,port,power_w,voltage_v,resistance_ohm
5u,11,0.025413774255809,3.607419978518952,512.0640000350635
5d,7,0.0397803551073424,4.5035116536177044,509.8400242919656
6u,12,0.035151662105828,4.251204759873022,514.1361980539365
6d,8,0.0338266574916679,4.172411902201207,514.6538964400621
7u,13,0.0322957769360093,4.063905969979717,511.3774400151507
7d,9,0.0364822553971096,4.32003552594338,511.5557342129538
8u,14,0.0511204264845646,5.126659285642429,514.1317715531885
8d,10,0.0425588315843531,4.675346453918976,513.6152391977142
