iter,label,mzi_id,arm_index,port,base_v,plus_v,minus_v,plus_loss,minus_loss,grad,mode
6,MZI8_arm0,8,0,14,5.499,5.5,5.479,0.17306566696057396,0.014929651878410645,7.530286432484001,central
6,MZI8_arm1,8,1,10,3.03,3.05,3.01,0.014981594655777142,0.014990729823471768,-0.0002283791923656483,central
7,MZI5_arm0,5,0,11,4.046,4.066,4.026000000000001,0.012864745614905764,0.01806897506726521,-0.1301057363089889,central
7,MZI5_arm1,5,1,7,3.452,3.472,3.432,0.015525129013760545,0.01926006025142906,-0.09337328094171281,central
7,MZI6_arm0,6,0,12,4.0,4.02,3.98,0.009680153534910696,0.131368081307878,-3.0421981943242136,central
7,MZI6_arm1,6,1,8,3.305,3.325,3.285,0.0041385390504066035,0.004709491864839499,-0.01427382036082238,central
7,MZI7_arm0,7,0,13,3.854,3.874,3.834,0.17427657915747444,0.004690539168207409,4.239650999731672,central
7,MZI7_arm1,7,1,9,3.218,3.238,3.198,0.1365807212303206,0.004342046164520784,3.3059668766449932,central
7,MZI8_arm0,8,0,14,5.499,5.5,5.479,0.04680872822324087,0.004181547194225892,2.0298657632864363,central
7,MZI8_arm1,8,1,10,3.03,3.05,3.01,0.020099784688429073,0.004172254102939093,0.3981882646372491,central
8,MZI5_arm0,5,0,11,4.059,4.079,4.039000000000001,0.002502216317567834,0.09388601574901764,-2.2845949857862937,central
8,MZI5_arm1,5,1,7,3.452,3.472,3.432,0.002133508252321092,0.09526247227594564,-2.328224100590612,central
8,MZI6_arm0,6,0,12,4.1,4.119999999999999,4.08,0.02438902047610622,0.018621280788687834,0.14419349218546273,central
8,MZI6_arm1,6,1,8,3.306,3.326,3.286,0.04689517956188682,0.0027024890716155366,1.1048172622567811,central
8,MZI7_arm0,7,0,13,3.854,3.874,3.834,0.0030547012193866585,0.0029780570498076087,0.001916104239476245,central
8,MZI7_arm1,7,1,9,3.213,3.233,3.193,0.002856380368649649,0.0029123330387763463,-0.0013988167531674327,central
8,MZI8_arm0,8,0,14,5.499,5.5,5.479,0.002635757603980809,0.0026552509305012217,-0.00092825364382919,central
8,MZI8_arm1,8,1,10,3.03,3.05,3.01,0.0026477602006568543,0.0026427021879042766,0.00012645031881444236,central
9,MZI5_arm0,5,0,11,4.159,4.178999999999999,4.139,0.0015916735886778509,0.004493160649047206,-0.07253717650923543,central
9,MZI5_arm1,5,1,7,3.552,3.572,3.532,0.06361182048983324,0.11313368268712916,-1.2380465549323967,central
9,MZI6_arm0,6,0,12,4.086,4.106,4.066000000000001,0.003040965303986953,0.0027023534973558186,0.008465295165778536,central
9,MZI6_arm1,6,1,8,3.292,3.312,3.272,0.0025695136938929247,0.0028423399495631665,-0.0068206563917560395,central
9,MZI7_arm0,7,0,13,3.854,3.874,3.834,0.0028930914077863797,0.0028237802852887463,0.001732778062440834,central
9,MZI7_arm1,7,1,9,3.213,3.233,3.193,0.04678270911467222,0.13618691990637158,-2.235105269792482,central
9,MZI8_arm0,8,0,14,5.499,5.5,5.479,0.002481904634663946,0.2817614392338248,-13.299025457102955,central
9,MZI8_arm1,8,1,10,3.03,3.05,3.01,0.0024687054422582507,0.009457303956487384,-0.17471496285572818,central
