iter,label,mzi_id,arm_index,port,base_v,plus_v,minus_v,plus_loss,minus_loss,grad,mode
0,MZI5_arm0,5,0,11,3.817,3.837,3.797,0.559379448575261,0.5876094839640843,-0.7057508847205817,central
0,MZI5_arm1,5,1,7,3.658,3.678,3.638,0.5709960841189405,0.6049514185440781,-0.8488833606284377,central
0,MZI6_arm0,6,0,12,3.897,3.917,3.877,0.5064308304874975,0.5391994950882583,-0.8192166150190187,central
0,MZI6_arm1,6,1,8,3.525,3.545,3.505,0.47203219962047954,0.5948154963161908,-3.0695824173927786,central
0,MZI7_arm0,7,0,13,3.698,3.718,3.678,0.44410408081409913,0.45363180798564245,-0.2381931792885828,central
0,MZI7_arm1,7,1,9,3.503,3.523,3.483,0.4741635188811393,0.5017900237338352,-0.6906626213173971,central
0,MZI8_arm0,8,0,14,5.5,5.5,5.48,,0.6050185291829049,-7.125343186946059,backward
0,MZI8_arm1,8,1,10,3.166,3.186,3.146,0.561463899627632,0.3762457782537103,4.630453034348038,central
1,MZI5_arm0,5,0,11,3.888,3.908,3.868,0.4483243712451711,0.4773607737719596,-0.7259100631697123,central
1,MZI5_arm1,5,1,7,3.659,3.679,3.639,0.42316207565796987,0.3975585833355177,0.640087308061304,central
1,MZI6_arm0,6,0,12,3.979,3.999,3.959,0.4156249410604841,0.38723051481317455,0.7098606561827377,central
1,MZI6_arm1,6,1,8,3.525,3.545,3.505,0.3857109093863883,0.3607612895007247,0.6237404971415889,central
1,MZI7_arm0,7,0,13,3.698,3.718,3.678,0.3225560265236081,0.3969973652101494,-1.8610334671635307,central
1,MZI7_arm1,7,1,9,3.507,3.527,3.487,0.275730626882408,0.25103151580663713,0.6174777768942716,central
1,MZI8_arm0,8,0,14,5.5,5.5,5.48,,0.2279725518119839,-0.013828838465408961,backward
1,MZI8_arm1,8,1,10,3.166,3.186,3.146,0.2279945766350692,0.2278668623685999,0.0031928566617322987,central
2,MZI5_arm0,5,0,11,3.961,3.981,3.941,0.21490318621056848,0.23867443771387226,-0.594281287582594,central
2,MZI5_arm1,5,1,7,3.595,3.615,3.575,0.20343705695730877,0.18675568051871003,0.41703441096496807,central
2,MZI6_arm0,6,0,12,3.978,3.998,3.958,0.1747105091039406,0.17471545603597496,-0.0001236733008593004,central
2,MZI6_arm1,6,1,8,3.463,3.483,3.443,0.19666553641886914,0.17636390013833714,0.5075409070132995,central
2,MZI7_arm0,7,0,13,3.798,3.818,3.778,0.22837157456326287,0.17500540722502772,1.3341541834558777,central
2,MZI7_arm1,7,1,9,3.445,3.465,3.425,0.1735984122558376,0.18771911618246245,-0.3530175981656208,central
2,MZI8_arm0,8,0,14,5.5,5.5,5.48,,0.1627125829980329,0.0016451835701786562,backward
2,MZI8_arm1,8,1,10,3.166,3.186,3.146,0.16279536589877477,0.16283911298798853,-0.0010936772303439526,central
3,MZI5_arm0,5,0,11,4.02,4.039999999999999,3.9999999999999996,0.15481766006669218,0.17229593682333363,-0.43695691891604094,central
