input_channel,expected_output_channel,argmax_output_channel,diagonal_normalized_power,raw_total_power,identity_route_ok
1,1,1,0.9898594326633504,0.00030254022957,True
2,2,2,0.980765315797492,0.000264343768916,True
3,3,3,0.7261596128517483,0.0002475441994,True
4,4,4,0.7282984258381702,0.00024765287635,True
5,5,5,0.9617220595211133,0.00025470051100000003,True
6,6,6,0.9754316876672088,0.0002389999248,True
7,7,7,0.9819870958255424,0.00023372649292,True
8,8,8,0.9849304914267664,0.00019111947659100002,True
