mzi,port,voltage,expected_mA,actual_mA,lower_mA,upper_mA,local_sample_row,sample_index
1,43,4.215,8.275619691258058,,7.448057722132252,9.103181660383864,15,15
2,45,4.186,8.218681857083329,,7.396813671374996,9.040550042791661,15,15
3,41,3.78,7.347255371418309,,6.6125298342764784,8.08198090856014,15,15
4,48,4.23,8.304996428072716,,7.474496785265444,9.135496070879988,15,15
5,44,3.577,6.915210594597656,,6.22368953513789,7.6067316540574215,15,15
6,46,4.066,7.916574975682635,,7.124917478114371,8.708232473250899,15,15
7,42,3.995,7.8306379376366815,,7.047574143873013,8.613701731400349,15,15
8,49,4.221,8.201777333897372,,7.381599600507634,9.02195506728711,15,15
