mzi,port,voltage,expected_mA,actual_mA,lower_mA,upper_mA,local_sample_row,sample_index
3,41,4.163,8.091699500321276,7.038926468076027,7.282529550289149,8.900869450353404,3,3
1,43,4.085,8.020381124267892,,7.218343011841103,8.822419236694682,44,44
2,45,3.992,7.837787380190312,,7.05400864217128,8.621566118209342,44,44
3,41,3.772,7.331705624600493,,6.598535062140443,8.064876187060541,44,44
4,48,4.23,8.304996428072716,,7.474496785265444,9.135496070879988,44,44
5,44,3.665,7.08533598803478,,6.376802389231302,7.793869586838258,44,44
6,46,4.085,7.953568316690496,,7.158211485021447,8.748925148359545,44,44
7,42,3.995,7.8306379376366815,,7.047574143873013,8.613701731400349,44,44
8,49,4.189,8.139598496018973,,7.325638646417076,8.95355834562087,44,44
