target,observed_mzi,probe_arm,arm_name,arm_index,port,probe_axis_power_w,target_power_w,measured_power_w,voltage_v,optical_power_uW,opm_raw_uW,opm_mean_uW,opm_std_uW,opm_median_uW,opm_relative_std,opm_read_count,warning,point_warning,opm_retry_count,upload_retry_count,scan_type,output_channel,scan_try_index,upload_timestamp,read_timestamp,point_settle_time_s,timestamp,scan_valid,scan_failure_reason,scan_warning,quality_score
8,8,u,upper,0,14,-0.001000000000,0.030120426485,0.030120426485,3.935208790960,68.606960000000,"[68.80122999999999, 68.48056, 68.60696, 68.50281000000001, 68.71829]",68.621970000000,0.123152656325,68.606960000000,0.001794653466,5,,,0,0,delta_probe,8,1,2026-06-02T13:05:10,2026-06-02T13:05:28,2.000000000000,2026-06-02T13:05:28,True,,,1.000000000000
8,8,u,upper,0,14,-0.000750000000,0.030370426485,0.030370426485,3.951506190218,70.281920000000,"[70.13731, 70.31287999999999, 70.16129000000001, 70.33733, 70.28192]",70.246146000000,0.081355446431,70.281920000000,0.001158148184,5,,,0,0,delta_probe,8,1,2026-06-02T13:05:30,2026-06-02T13:05:47,2.000000000000,2026-06-02T13:05:47,True,,,1.000000000000
8,8,u,upper,0,14,-0.000500000000,0.030620426485,0.030620426485,3.967736648799,71.626530000000,"[71.61601, 71.62653, 71.76043999999999, 71.59209, 71.63274000000001]",71.645562000000,0.059086633142,71.626530000000,0.000824707511,5,,,0,0,delta_probe,8,1,2026-06-02T13:05:49,2026-06-02T13:06:07,2.000000000000,2026-06-02T13:06:07,True,,,1.000000000000
8,8,u,upper,0,14,-0.000250000000,0.030870426485,0.030870426485,3.983900984853,73.177250000000,"[73.20575, 73.26034, 73.17725, 73.0609, 73.16368]",73.173584000000,0.065376551943,73.177250000000,0.000893444716,5,,,0,0,delta_probe,8,1,2026-06-02T13:06:09,2026-06-02T13:06:27,2.000000000000,2026-06-02T13:06:27,True,,,1.000000000000
8,8,u,upper,0,14,0.000000000000,0.031120426485,0.031120426485,4.000000000000,74.456280000000,"[74.48255999999999, 74.44579, 74.34664, 74.51393999999999, 74.45627999999999]",74.449042000000,0.056363712582,74.456280000000,0.000757077742,5,,,0,0,delta_probe,8,1,2026-06-02T13:06:28,2026-06-02T13:06:46,2.000000000000,2026-06-02T13:06:46,True,,,1.000000000000
8,8,u,upper,0,14,0.000250000000,0.031370426485,0.031370426485,4.016034479793,75.799700000000,"[75.75186000000001, 75.86126, 75.7997, 75.92062999999999, 75.772]",75.821090000000,0.061938669020,75.799700000000,0.000816905547,5,,,0,0,delta_probe,8,1,2026-06-02T13:06:47,2026-06-02T13:07:05,2.000000000000,2026-06-02T13:07:05,True,,,1.000000000000
8,8,u,upper,0,14,0.000500000000,0.031620426485,0.031620426485,4.032005194165,77.076580000000,"[76.93005, 76.99170000000001, 77.10062, 77.09246, 77.07658]",77.038282000000,0.066591391756,77.076580000000,0.000864393520,5,,,0,0,delta_probe,8,1,2026-06-02T13:07:07,2026-06-02T13:07:24,2.000000000000,2026-06-02T13:07:24,True,,,1.000000000000
8,8,u,upper,0,14,0.000750000000,0.031870426485,0.031870426485,4.047912897860,78.329150000000,"[78.25802999999999, 78.42363999999999, 78.28445, 78.32915, 78.38057]",78.335168000000,0.060741154549,78.329150000000,0.000775400833,5,,,0,0,delta_probe,8,1,2026-06-02T13:07:26,2026-06-02T13:07:44,2.000000000000,2026-06-02T13:07:44,True,,,1.000000000000
8,8,u,upper,0,14,0.001000000000,0.032120426485,0.032120426485,4.063758330850,79.469030000000,"[79.42491, 79.55834999999999, 79.46444, 79.46902999999999, 79.60952999999999]",79.505252000000,0.068008511938,79.469030000000,0.000855396470,5,,,0,0,delta_probe,8,1,2026-06-02T13:07:45,2026-06-02T13:08:03,2.000000000000,2026-06-02T13:08:03,True,,,1.000000000000
