v,pow(uW),current(mA),R(Ohm)
0.000000000000,223.834600000000,-0.029433474333,514.131771553189
0.100000000000,225.681100000000,0.168651645594,514.131771553189
0.200000000000,225.551000000000,0.366744968823,514.131771553189
0.300000000000,225.720800000000,0.564793949330,514.131771553189
0.400000000000,226.129100000000,0.761183434605,514.131771553189
0.500000000000,226.340300000000,0.960846077968,514.131771553189
0.600000000000,226.641900000000,1.157235563244,514.131771553189
0.700000000000,226.033500000000,1.356898206607,514.131771553189
0.800000000000,225.878800000000,1.553287691882,514.131771553189
0.900000000000,225.094500000000,1.752950335245,514.131771553189
1.000000000000,223.814600000000,1.949339820521,514.131771553189
1.100000000000,222.289700000000,2.145729305796,514.131771553189
1.200000000000,219.796700000000,2.342118791071,514.131771553189
1.300000000000,216.389100000000,2.538508276347,514.131771553189
1.400000000000,211.894700000000,2.734897761622,514.131771553189
1.500000000000,206.129700000000,2.928014088809,514.131771553189
1.600000000000,199.537700000000,3.124403574085,514.131771553189
1.700000000000,191.180300000000,3.317519901272,514.131771553189
1.800000000000,181.696600000000,3.510636228459,514.131771553189
1.900000000000,169.965000000000,3.707025713735,514.131771553189
2.000000000000,157.197700000000,3.896868882834,514.131771553189
2.100000000000,142.062500000000,4.089985210022,514.131771553189
2.200000000000,125.614500000000,4.279828379121,514.131771553189
2.300000000000,107.691900000000,4.472944706308,514.131771553189
2.400000000000,88.799680000000,4.659514717320,514.131771553189
2.500000000000,69.311030000000,4.849357886419,514.131771553189
2.600000000000,50.634820000000,5.039201055519,514.131771553189
2.700000000000,33.577160000000,5.225771066530,514.131771553189
2.800000000000,19.085680000000,5.412341077542,514.131771553189
2.900000000000,8.263315000000,5.598911088554,514.131771553189
3.000000000000,1.839732000000,5.785481099565,514.131771553189
3.100000000000,0.206096800000,5.968777952489,514.131771553189
3.200000000000,3.522907000000,6.152074805412,514.131771553189
3.300000000000,11.732570000000,6.335371658336,514.131771553189
3.400000000000,24.782790000000,6.515395353172,514.131771553189
3.500000000000,42.581910000000,6.695419048007,514.131771553189
3.600000000000,42.641530000000,6.698692206095,514.131771553189
3.700000000000,91.180380000000,7.055466437679,514.131771553189
3.800000000000,119.700300000000,7.235490132515,514.131771553189
3.900000000000,148.593100000000,7.412240669262,514.131771553189
4.000000000000,174.526800000000,7.588991206010,514.131771553189
4.100000000000,195.142200000000,7.762468584670,514.131771553189
4.200000000000,209.158800000000,7.939219121418,514.131771553189
4.300000000000,214.689600000000,8.112696500078,514.131771553189
4.400000000000,211.814700000000,8.282900720649,514.131771553189
4.500000000000,200.248000000000,8.456378099309,514.131771553189
4.600000000000,179.584000000000,8.626582319881,514.131771553189
4.700000000000,150.514100000000,8.796786540453,514.131771553189
4.800000000000,115.181500000000,8.963717602937,514.131771553189
4.900000000000,77.889320000000,9.133921823509,514.131771553189
5.000000000000,44.145440000000,9.300852885993,514.131771553189
