v,pow(uW),current(mA),R(Ohm)
0.000000000000,2.420675000000,4.826425351624,516.569430999545
0.100000000000,186.034900000000,0.169450568060,516.569430999545
0.200000000000,185.268900000000,0.365110877787,516.569430999545
0.300000000000,184.349700000000,0.561500363062,516.569430999545
0.400000000000,182.841900000000,0.761163006425,516.569430999545
0.500000000000,180.397800000000,0.957552491701,516.569430999545
0.600000000000,177.663100000000,1.153941976976,516.569430999545
0.700000000000,173.864500000000,1.350331462251,516.569430999545
0.800000000000,169.927200000000,1.546720947527,516.569430999545
0.900000000000,164.719500000000,1.743110432802,516.569430999545
1.000000000000,158.803800000000,1.939499918077,516.569430999545
1.100000000000,152.200200000000,2.135889403353,516.569430999545
1.200000000000,143.908200000000,2.332278888628,516.569430999545
1.300000000000,135.348100000000,2.525395215815,516.569430999545
1.400000000000,125.629700000000,2.721784701091,516.569430999545
1.500000000000,114.779900000000,2.914901028278,516.569430999545
1.600000000000,114.844900000000,2.914901028278,516.569430999545
1.700000000000,90.854630000000,3.304406840741,516.569430999545
1.800000000000,77.807730000000,3.494250009840,516.569430999545
1.900000000000,64.593250000000,3.687366337028,516.569430999545
2.000000000000,51.288060000000,3.880482664215,516.569430999545
2.100000000000,38.324220000000,4.070325833314,516.569430999545
2.200000000000,26.431190000000,4.260169002414,516.569430999545
2.300000000000,16.078870000000,4.450012171513,516.569430999545
2.400000000000,7.894669000000,4.636582182525,516.569430999545
2.500000000000,2.419283000000,4.826425351624,516.569430999545
2.600000000000,0.149937100000,5.012995362636,516.569430999545
2.700000000000,1.419913000000,5.199565373648,516.569430999545
2.800000000000,6.430977000000,5.382862226571,516.569430999545
2.900000000000,15.293580000000,5.569432237583,516.569430999545
3.000000000000,28.006860000000,5.752729090506,516.569430999545
3.100000000000,44.463290000000,5.936025943430,516.569430999545
3.200000000000,64.572620000000,6.119322796354,516.569430999545
3.300000000000,87.593060000000,6.299346491189,516.569430999545
3.400000000000,112.973400000000,6.479370186025,516.569430999545
3.500000000000,139.401400000000,6.659393880861,516.569430999545
3.600000000000,164.678000000000,6.839417575696,516.569430999545
3.700000000000,187.390800000000,7.016168112444,516.569430999545
3.800000000000,203.893500000000,7.192918649192,516.569430999545
3.900000000000,213.548700000000,7.369669185940,516.569430999545
4.000000000000,214.850600000000,7.543146564600,516.569430999545
4.100000000000,207.728400000000,7.716623943259,516.569430999545
4.200000000000,192.361900000000,7.890101321919,516.569430999545
4.300000000000,169.521100000000,8.063578700579,516.569430999545
4.400000000000,141.182100000000,8.237056079239,516.569430999545
4.500000000000,108.963500000000,8.403987141723,516.569430999545
4.600000000000,75.570310000000,8.574191362295,516.569430999545
4.700000000000,44.950040000000,8.744395582867,516.569430999545
4.800000000000,20.452190000000,8.911326645351,516.569430999545
4.900000000000,4.814297000000,9.078257707835,516.569430999545
5.000000000000,4.817761000000,9.078257707835,516.569430999545
