observed_mzi,perturbed_heater,delta_power_w,baseline_A,baseline_w,baseline_beta,baseline_b,perturbed_A,perturbed_beta,perturbed_b,delta_beta_rad,sign_s,coeff_c,delta_sigma_rad,J_rad_per_w,J_rad_per_mw,baseline_rmse_uW,perturbed_rmse_uW,visibility_ratio,warning
5,5u,0.001,78.82101193073278,0.9821669224788114,0.01286212770498718,85.37389092987674,78.95001048137608,0.10195896054243292,85.44268405711306,0.08909683283744574,1,2.0,0.17819366567489148,178.19366567489146,0.17819366567489145,1.8800107954502516,1.8832521630768293,1.001636601046897,sigma_sign.json missing; default coeff_c=+2.0
6,5u,0.001,71.23563772450288,1.0153767488979952,0.2727066876918012,74.60260375404432,72.03147895170886,0.17936577720784364,75.1924175850692,-0.09334091048395754,1,2.0,-0.18668182096791508,-186.6818209679151,-0.18668182096791508,1.1132544335136132,1.1501477391919155,1.0111719534298804,sigma_sign.json missing; default coeff_c=+2.0
7,5u,0.001,66.66109676529531,1.00823771183702,0.24041541008324163,70.61383150419842,70.53856237107162,0.25569396036730696,65.20508427041763,0.015278550284065329,1,2.0,0.030557100568130657,30.557100568130657,0.030557100568130657,4.961118487276256,6.491751984771429,1.0581668438403937,sigma_sign.json missing; default coeff_c=+2.0
8,5u,0.001,71.86300352899507,1.0167690315105875,0.9949921036165454,72.05915573916141,71.92426828361907,0.9921166800819012,72.07022332142527,-0.002875423534644206,1,2.0,-0.005750847069288412,-5.750847069288412,-0.005750847069288412,0.5694200108109592,0.5912907957906448,1.0008525214869328,sigma_sign.json missing; default coeff_c=+2.0
5,5d,0.001,78.82101193073278,0.9821669224788114,0.01286212770498718,85.37389092987674,76.69227759008157,0.1773065867695789,83.134523074462,0.1644444590645917,1,2.0,0.3288889181291834,328.8889181291834,0.3288889181291834,1.8800107954502516,2.0530915935083165,0.9729928062516894,sigma_sign.json missing; default coeff_c=+2.0
6,5d,0.001,71.23563772450288,1.0153767488979952,0.2727066876918012,74.60260375404432,68.96920766940445,-0.0006283848483974452,81.29288693652457,-0.2733350725401986,1,2.0,-0.5466701450803972,-546.6701450803972,-0.5466701450803972,1.1132544335136132,14.639713227461147,0.968184042039974,sigma_sign.json missing; default coeff_c=+2.0
7,5d,0.001,66.66109676529531,1.00823771183702,0.24041541008324163,70.61383150419842,67.06301193251188,0.23689579974489927,64.21496148103563,-0.0035196103383423605,1,2.0,-0.007039220676684721,-7.039220676684721,-0.007039220676684721,4.961118487276256,9.125015418183605,1.006029231241599,sigma_sign.json missing; default coeff_c=+2.0
8,5d,0.001,71.86300352899507,1.0167690315105875,0.9949921036165454,72.05915573916141,71.86093439706603,0.9923588722155436,72.04754270273838,-0.002633231401001801,1,2.0,-0.005266462802003602,-5.266462802003602,-0.005266462802003602,0.5694200108109592,0.5634837540049068,0.999971207271789,sigma_sign.json missing; default coeff_c=+2.0
5,6u,0.001,78.82101193073278,0.9821669224788114,0.01286212770498718,85.37389092987674,78.77436929475799,0.013384927398962354,85.22866243678529,0.0005227996939751733,1,2.0,0.0010455993879503467,1.0455993879503467,0.0010455993879503467,1.8800107954502516,1.8480955633779002,0.9994082461664437,sigma_sign.json missing; default coeff_c=+2.0
6,6u,0.001,71.23563772450288,1.0153767488979952,0.2727066876918012,74.60260375404432,71.39460343878588,0.36354581938617336,74.72553296766884,0.09083913169437219,1,2.0,0.18167826338874438,181.67826338874437,0.18167826338874438,1.1132544335136132,1.1212558450182957,1.0022315475703016,sigma_sign.json missing; default coeff_c=+2.0
7,6u,0.001,66.66109676529531,1.00823771183702,0.24041541008324163,70.61383150419842,67.83042282148928,0.22022575228860353,67.70484178963235,-0.020189657794638105,1,2.0,-0.04037931558927621,-40.37931558927621,-0.04037931558927621,4.961118487276256,0.8694577056877105,1.0175413563972853,sigma_sign.json missing; default coeff_c=+2.0
