read_index,port,voltage_v,current_mA
1,75,0.5,0.8526576819036567
2,75,1.0,1.7102251009391867
3,75,1.5,2.5645193618867888
4,75,2.0,3.4089941485706627
5,75,2.5,4.243649460990735
