read_index,port,voltage_v,current_mA,current_a,point_resistance_ohm
1,75,0.5,0.8526576819036567,0.0008526576819036566,586.401800642542
2,75,1.0,1.7102251009391867,0.0017102251009391868,584.7183504971598
3,75,1.5,2.5645193618867888,0.0025645193618867887,584.904923040397
4,75,2.0,3.4089941485706627,0.003408994148570663,586.683318549716
5,75,2.5,4.243649460990735,0.004243649460990735,589.1155768121203
