stage,perturb_label,scan_kind,observed_mzi,scan_file,valid,try_count,point_count,median_power_uW,min_power_uW,max_power_uW,curve_range_uW,unstable_point_count,near_zero_point_count,neighbor_jump_count,edge_jump_count,route_lower_policy,route_lower_zero_applied,warning,failure_reason
perturb,7d,sigma,7,Scandata\J_remeasure\run_20260603_104130\perturb_7d\sigma\obs7_inter_scan_try1.txt,True,1,9,5.448698,0.5079987,10.03176,9.5237613,0,3,0,0,zero,True,MZI3 has no lower route port for state H; MZI33 has no lower route port for state B,
perturb,7d,sigma,8,Scandata\J_remeasure\run_20260603_104130\perturb_7d\sigma\obs8_inter_scan_try1.txt,True,1,9,1.838568,0.1580131,4.674848,4.5168349,0,3,0,0,zero,True,MZI4 has no lower route port for state H; MZI33 has no lower route port for state C,
perturb,8u,delta,5,Scandata\J_remeasure\run_20260603_104130\perturb_8u\delta\obs5_probe_try1.txt,True,1,9,73.52266,66.231,80.12432,13.893320000000003,0,0,0,0,,,,
perturb,8u,delta,6,Scandata\J_remeasure\run_20260603_104130\perturb_8u\delta\obs6_probe_try1.txt,True,1,9,52.32646,51.6332,52.643879999999996,1.0106799999999936,0,0,0,0,,,,
perturb,8u,delta,7,Scandata\J_remeasure\run_20260603_104130\perturb_8u\delta\obs7_probe_try1.txt,True,1,9,76.01088,73.33599000000001,77.55151,4.215519999999984,0,0,0,0,,,,
perturb,8u,delta,8,Scandata\J_remeasure\run_20260603_104130\perturb_8u\delta\obs8_probe_try1.txt,True,1,9,85.42662,81.34884,88.31387,6.965029999999999,0,0,0,0,,,,
perturb,8u,sigma,5,Scandata\J_remeasure\run_20260603_104130\perturb_8u\sigma\obs5_inter_scan_try1.txt,True,1,9,96.19483,19.68603,147.7413,128.05527,0,0,0,0,zero,True,MZI1 has no lower route port for state H; MZI33 has no lower route port for state B,
perturb,8u,sigma,6,Scandata\J_remeasure\run_20260603_104130\perturb_8u\sigma\obs6_inter_scan_try1.txt,True,1,9,54.176950000000005,0.4787949,95.85244999999999,95.3736551,0,2,0,0,zero,True,MZI2 has no lower route port for state H; MZI33 has no lower route port for state B,
perturb,8u,sigma,7,Scandata\J_remeasure\run_20260603_104130\perturb_8u\sigma\obs7_inter_scan_try1.txt,True,1,9,3.875623,0.4634515,10.41777,9.954318500000001,0,3,0,0,zero,True,MZI3 has no lower route port for state H; MZI33 has no lower route port for state B,
perturb,8u,sigma,8,Scandata\J_remeasure\run_20260603_104130\perturb_8u\sigma\obs8_inter_scan_try1.txt,True,1,9,2.106243,0.1371611,4.840187,4.7030259,0,3,0,0,zero,True,MZI4 has no lower route port for state H; MZI33 has no lower route port for state C,
perturb,8d,delta,5,Scandata\J_remeasure\run_20260603_104130\perturb_8d\delta\obs5_probe_try1.txt,True,1,9,73.55317000000001,66.2789,80.14206,13.863160000000008,0,0,0,0,,,,
perturb,8d,delta,6,Scandata\J_remeasure\run_20260603_104130\perturb_8d\delta\obs6_probe_try1.txt,True,1,9,52.04324,51.501349999999995,52.465849999999996,0.964500000000001,0,0,0,0,,,low delta curve range,
perturb,8d,delta,7,Scandata\J_remeasure\run_20260603_104130\perturb_8d\delta\obs7_probe_try1.txt,True,1,9,76.00126,73.29966,77.55894,4.259280000000004,0,0,0,0,,,,
perturb,8d,delta,8,Scandata\J_remeasure\run_20260603_104130\perturb_8d\delta\obs8_probe_try1.txt,True,1,9,76.05017000000001,70.09831,81.24382,11.145510000000002,0,0,0,0,,,,
perturb,8d,sigma,5,Scandata\J_remeasure\run_20260603_104130\perturb_8d\sigma\obs5_inter_scan_try1.txt,True,1,9,96.28824,19.68851,147.64770000000001,127.95919,0,0,0,0,zero,True,MZI1 has no lower route port for state H; MZI33 has no lower route port for state B,
perturb,8d,sigma,6,Scandata\J_remeasure\run_20260603_104130\perturb_8d\sigma\obs6_inter_scan_try1.txt,True,1,9,54.22178,0.48179079999999996,107.5219,107.0401092,0,2,0,0,zero,True,MZI2 has no lower route port for state H; MZI33 has no lower route port for state B,
perturb,8d,sigma,7,Scandata\J_remeasure\run_20260603_104130\perturb_8d\sigma\obs7_inter_scan_try1.txt,True,1,9,3.8722160000000003,0.46199799999999996,10.41823,9.956232,0,3,0,0,zero,True,MZI3 has no lower route port for state H; MZI33 has no lower route port for state B,
perturb,8d,sigma,8,Scandata\J_remeasure\run_20260603_104130\perturb_8d\sigma\obs8_inter_scan_try1.txt,True,1,9,2.267243,0.1359489,4.760002,4.6240531,0,4,0,0,zero,True,MZI4 has no lower route port for state H; MZI33 has no lower route port for state C,
