iter,5u,5d,6u,6d,7u,7d,8u,8d
0,0.0312460942360806,0.0378864429618386,0.0341630895985996,0.0344552351058808,0.0319011354891148,0.0369051185186029,0.0311204264845646,0.0376250829905009
1,0.031727014230683526,0.037344313862140856,0.03402730337558521,0.03395326547128367,0.0309011354891148,0.036400248780713566,0.031006305307411778,0.03698750553892928
2,0.0322079342257512,0.03680218476050008,0.03389151715201916,0.03345129583495159,0.0299011354891148,0.03589537904183989,0.03089218413152131,0.036349928086589635
3,0.03268885422130173,0.03626005565684064,0.033755730927879965,0.03294932619681703,0.0289011354891148,0.035390509301943554,0.030778062956942343,0.035712350633452065
4,0.03316977421735467,0.035717926551080754,0.033619944703144417,0.03244735655680697,0.027901135489114798,0.03488563956098313,0.030663941783728,0.03507477317948425
5,0.03365069421393122,0.03517579744313176,0.03348415847778733,0.031945386914842236,0.026901135489114797,0.0343807698189137,0.030549820611935886,0.03443719572465114
6,0.03413161421105447,0.03463366833289717,0.03334837225178132,0.031443417270836674,0.025901135489114796,0.03387590007568638,0.030435699441628692,0.0337996182689146
7,0.03461253420874962,0.03409153922027158,0.03321258602509646,0.030941447624696177,0.024901135489114795,0.03337103033124778,0.030321578272874888,0.03316204081223297
8,0.03509345420704432,0.033549410105139434,0.03307679979769994,0.03043947797631755,0.023901135489114794,0.03286616058553935,0.030207457105749562,0.032524463354560565
9,0.03557437420596902,0.033007280987373405,0.0329410135695556,0.029937508325587107,0.022901135489114793,0.032361290838496586,0.03009333594033543,0.03188688589584706
10,0.036055294205557434,0.03246515186683255,0.032805227340623445,0.029435538672379004,0.021901135489114792,0.03185642109004809,0.029979214776724057,0.031249308436036745
11,0.03653621420584709,0.03192302274335999,0.03266944111085892,0.028933569016553157,0.02090113548911479,0.031351551340114386,0.02986509361501737,0.03061173097506761
12,0.03701713420687999,0.03138089361678004,0.03253365488021214,0.0284315993579527,0.01990113548911479,0.030846681588606473,0.029750972455329504,0.02997415351287021
13,0.037498054208703537,0.03083876448689462,0.03239786864862688,0.027929629696400768,0.01890113548911479,0.030341811835424004,0.02963685129778915,0.029336576049366257
14,0.03797897421137155,0.030296635353478683,0.03226208241603923,0.02742766003169641,0.01790113548911479,0.029836942080452965,0.029522730142542516,0.028698998584466787
15,0.03845989421494573,0.029754506216274294,0.03212629618237597,0.026925690363609308,0.016901135489114788,0.029332072323562688,0.029408608989757185,0.02806142111806985
16,0.038940814219497494,0.029212377074982854,0.03199050994755231,0.02642372069187285,0.015901135489114787,0.028827202564601903,0.02929448783962715,0.027423843650057414
17,0.03942173422511049,0.028670247929254673,0.03185472371146897,0.025921751016174787,0.014901135489114786,0.028322332803393455,0.029180366692379597,0.026786266180291257
18,0.039902654231884015,0.028128118778674615,0.03171893747400809,0.02541978133614445,0.013901135489114785,0.027817463039727035,0.02906624554828423,0.02614868870860729
19,0.04036854874557377,0.027602927488583697,0.03158739363570608,0.024933494805588454,0.012932378718991815,0.027328367035517834,0.02895568992069659,0.025531031214385894
20,0.04078785381551219,0.027130255315245717,0.03146900417799645,0.024495836916905656,0.012060497612539875,0.026888180622449055,0.02885618985760886,0.02497513945909491
21,0.04116522838531266,0.026704850348210997,0.03136245366314375,0.024101944807026977,0.011275804604725985,0.026492012842334704,0.028766639802396934,0.02447483686989047
22,0.04150486550430338,0.026321985867952265,0.03126655819715368,0.02374744189907842,0.010569580886887055,0.026135461832714584,0.028686044754116527,0.024024564531108177
23,0.041810538916948296,0.02597740782678467,0.03118025227540225,0.023428389273772752,0.009933979531106233,0.025814565917290987,0.028613509211933456,0.023619319418555645
24,0.04208564499332666,0.025667287581692573,0.03110257694370163,0.023141241903660875,0.009361938302150286,0.025525759587320816,0.028548227225111057,0.023254598810374744
25,0.042333240466565336,0.02538817935387255,0.03103266914325917,0.02288280926395709,0.008847101188212046,0.025265833884867618,0.028489473437999027,0.022926350256816674
26,0.042556076396528475,0.025136981942321102,0.030969752121140247,0.022650219882280897,0.008383747778577533,0.025031900747727702,0.028436595030523516,0.022630926553038676
27,0.0427566287371388,0.02491090426606272,0.030913126799684575,0.022440889433423813,0.007966729703525383,0.02482136091986294,0.02838900446462834,0.022365045214620318
28,0.04293712584696724,0.024707434352154306,0.030862164008980696,0.02225249202463878,0.007591413430235467,0.024631875070789705,0.02834617295607219,0.02212575200552745
29,0.04309957324876407,0.024524311424888444,0.030816297496092805,0.02208293435239996,0.007253628779105861,0.024461337803028334,0.02830762459904621,0.021910388113279156
30,0.043245775913037326,0.02435950078607571,0.030775017633364744,0.021930332443485957,0.006949622588437403,0.02430785425880719,0.028272931078329927,0.021716560606597456
31,0.04337735831327376,0.02421117120729814,0.030737865755893427,0.0217929907219542,0.006676017012649157,0.024169719066095843,0.028241706910231663,0.02154211584729151
32,0.043495782475638,0.024077674582936828,0.030704429065254786,0.021669383169417376,0.006429771990671767,0.024045397390034542,0.02821360515943498,0.02138511556095298
33,0.04360236422370212,0.023957527617896296,0.030674336042857,0.021558136369291818,0.006208151467500943,0.02393350787922039,0.028188313584160535,0.02124381530058145
34,0.0436982877987025,0.023849395346556,0.03064725232195828,0.02145801424662064,0.006008692993595147,0.023832807317364573,0.028165551166811856,0.021116645063846903
35,0.043784619017771254,0.023752076299826303,0.030622876972482796,0.021367904333914223,0.00582918036433308,0.023742176809783563,0.028145064991556532,0.021002191848625656
36,0.043862317116344696,0.023664489155498483,0.030600939157354883,0.021286805410406326,0.005667618995525055,0.02366060935124096,0.028126627434149377,0.020899183952982396
37,0.043932245406331207,0.023585660723559464,0.030581195123199786,0.021213816377384308,0.005522213761372885,0.02358719863700489,0.028110033632773312,0.020806476845153736
38,0.043995180868462436,0.02351471513297476,0.030563425491974217,0.02114812624598607,0.005391349048633477,0.023521128992799473,0.02809509921179619,0.02072304044653319
39,0.044051822785409575,0.023450864099792905,0.030547432823433824,0.021089005126217083,0.005273570805365802,0.02346166631176094,0.028081658233151986,0.020647947686357422
40,0.044102800511588124,0.02339339816843917,0.030533039421353828,0.021035796117065474,0.005167570384802907,0.023408149897697964,0.028069561352583886,0.02058036420092368
41,0.04414868046598234,0.023341678828879754,0.030520085359127553,0.020987908007605457,0.005072170004836513,0.023359985124025824,0.028058674160263107,0.02051953906288532
42,0.04418997242568729,0.023295131422069328,0.030508426702805052,0.02094480870799023,0.004986309661552948,0.023316636826806982,0.028048875687345872,0.0204647964376176
43,0.0442271351900969,0.02325323875485369,0.030497933911827837,0.020906019337345438,0.004909035351415312,0.023277623358487497,0.028040057061874676,0.020415528073946775
44,0.04426058167867318,0.023215535353381982,0.030488490399690073,0.020871108902873144,0.004839488471227252,0.02324251123625969,0.028032120299089483,0.020371186545806146
