x_power,dp,pow(uW),v_primary,v_secondary,p_primary,p_secondary,scan_type
0.0,0.0,27.4404,4.173,0.0,0.03404168280360776,0.0,phase_coarse
0.0013349775764372551,0.25,28.34018,4.251,0.825,0.03532616240629434,0.0013349775764372551,phase_coarse
0.0026666325420175996,0.5,28.64901,4.328,1.166,0.0366175055001737,0.0026666325420175996,phase_coarse
0.003999654603092199,0.75,28.31719,4.403,1.428,0.03789759254669103,0.003999654603092199,phase_coarse
0.005333439648596159,1.0,27.3582,4.477,1.649,0.03918216598235318,0.005333439648596159,phase_coarse
0.006662185858627037,1.25,25.82571,4.55,1.843,0.04047035785213605,0.006662185858627037,phase_coarse
0.007995372677264788,1.5,23.89356,4.622,2.019,0.0417613119301375,0.007995372677264788,phase_coarse
0.009329908938800742,1.75,21.58017,4.692,2.181,0.043035837417998185,0.009329908938800742,phase_coarse
0.01065738416191587,2.0,19.072609999999997,4.761,2.331,0.04431090440032209,0.01065738416191587,phase_coarse
0.011985689057045446,2.25,16.31766,4.829,2.472,0.04558570356769486,0.011985689057045446,phase_coarse
0.013320327311358588,2.5,13.54543,4.896,2.606,0.0468594373398241,0.013320327311358588,phase_coarse
0.014650260168124079,2.75,10.94843,4.963,2.733,0.04815072178809374,0.014650260168124079,phase_coarse
0.01597621922937829,3.0,8.732694,5.029,2.854,0.04943989303955921,0.01597621922937829,phase_coarse
0.01730130939062683,3.25,7.083107,5.094,2.97,0.050726176972172,0.01730130939062683,phase_coarse
0.018630793086892767,3.5,6.128049000000001,5.158,3.082,0.05200881119300554,0.018630793086892767,phase_coarse
0.01995939807615523,3.75,5.885193,5.221,3.19,0.053287045038255196,0.01995939807615523,phase_coarse
0.021294964072460888,4.0,6.351554999999999,5.283,3.295,0.05456013957323831,0.021294964072460888,phase_coarse
0.022633784030638805,4.25,6.348825,3.32,3.397,0.021547178958550146,0.022633784030638805,phase_coarse
0.023958544676761045,4.5,8.088668,3.418,3.495,0.022838015745332126,0.023958544676761045,phase_coarse
0.025292798496760163,4.75,10.37993,3.513,3.591,0.024125179362090955,0.025292798496760163,phase_coarse
0.02661983240497399,5.0,13.048699999999998,3.605,3.684,0.02540532700907168,0.02661983240497399,phase_coarse
0.027951169623825396,5.25,15.98563,3.695,3.775,0.026689665862294883,0.027951169623825396,phase_coarse
0.029284668304993402,5.5,18.91629,3.783,3.864,0.027976084679810064,0.029284668304993402,phase_coarse
0.030618233673746494,5.75,21.63973,3.869,3.951,0.029262519136154515,0.030618233673746494,phase_coarse
0.031949818028942624,6.0,22.77393,3.953,4.036,0.030546951822353292,0.031949818028942624,phase_coarse
0.033277420743029244,6.25,26.135759999999998,4.035,4.119,0.031827412245919284,0.033277420743029244,phase_coarse
0.03459908826204325,6.5,27.683230000000002,4.116,4.2,0.03311806723131107,0.03459908826204325,phase_coarse
0.03592970172445652,6.75,28.69512,4.195,4.28,0.03440156354260774,0.03592970172445652,phase_coarse
0.03725122213850341,7.0,29.16937,4.273,4.358,0.03569275220304812,0.03725122213850341,phase_coarse
0.03857920928690405,7.25,29.08863,4.349,4.435,0.03697371306915053,0.03857920928690405,phase_coarse
0.03991275700306109,7.5,28.4111,4.424,4.511,0.03825995790469016,0.03991275700306109,phase_coarse
0.0412329828933975,7.75,27.148190000000003,4.498,4.585,0.03955060702552098,0.0412329828933975,phase_coarse
0.04255641567201672,8.0,25.232499999999998,4.57,4.658,0.04082692315933227,0.04255641567201672,phase_coarse
0.04388219624591085,8.25,22.90058,4.641,4.73,0.04210536030936235,0.04388219624591085,phase_coarse
0.0452094772904694,8.5,20.10968,4.711,4.801,0.04338508570795298,0.0452094772904694,phase_coarse
0.04653742324947926,8.75,17.24192,4.78,4.871,0.04466527831656783,0.04653742324947926,phase_coarse
0.04786521033512464,9.0,14.37015,4.848,4.94,0.045945128825792554,0.04786521033512464,phase_coarse
0.049192026527987154,9.25,11.86455,4.915,5.008,0.047223839655334734,0.049192026527987154,phase_coarse
0.018946460732294883,3.547439681232,5.968811,5.175,3.108,0.05235220274140133,0.018946460732294883,phase_fine
0.019203358962640554,3.597439681232,5.899121,5.187,3.129,0.052595277064636015,0.019203358962640554,phase_fine
0.019461987147399325,3.647439681232,5.866713,5.199,3.15,0.05283891438572416,0.019461987147399325,phase_fine
0.0197223452865712,3.697439681232,5.851394,5.211,3.171,0.053083114704665785,0.0197223452865712,phase_fine
0.01998443338015618,3.747439681232,5.855995,5.223,3.192,0.05332787802146087,0.01998443338015618,phase_fine
0.02024825142815426,3.797439681232,5.920469,5.235,3.213,0.05357320433610943,0.02024825142815426,phase_fine
0.020513799430565437,3.847439681232,5.979576,5.247,3.234,0.053819093648611434,0.020513799430565437,phase_fine
0.02076831063764496,3.897439681232,6.082616,5.259,3.254,0.05406554595896694,0.02076831063764496,phase_fine
0.02102439096437355,3.947439681232,6.186586999999999,5.271,3.274,0.05431256126717589,0.02102439096437355,phase_fine
0.021282040410751216,3.997439681232,6.332889,5.283,3.294,0.05456013957323831,0.021282040410751216,phase_fine
0.021541258976777954,4.047439681232,6.503019,5.295,3.314,0.0548082808771542,0.021541258976777954,phase_fine
