mzi_id,layer,arm_index,port,base_voltage,base_phase,target_phase,folded_target_phase,phase_wrap_cycles,voltage_wrap_cycles,total_wrap_cycles,canonical_phase_offset,phase_offset,canonical_voltage,initial_voltage,mode
20,5,1,77,3.469,0.0,3.14159,3.14159,0,0,0,3.14159,3.14159,4.584991205570158,4.584991205570158,inter_cali_pair_pi0_prebiased
21,6,0,27,3.371,3.141592653589793,-3.66641,2.6167753071795863,1,0,1,-0.5248173464102068,-0.5248173464102068,3.1348564120456617,3.1348564120456617,inter_cali_pair_pi0_prebiased
21,6,1,23,3.725,0.0,-5.97153,0.31165530717958667,1,0,1,0.31165530717958667,0.31165530717958667,3.847396829767639,3.847396829767639,inter_cali_pair_pi0_prebiased
22,6,0,28,5.183,3.141592653589793,-3.33625,2.946935307179586,1,0,1,-0.19465734641020704,-0.19465734641020704,5.127238934779236,5.127238934779236,inter_cali_pair_pi0_prebiased
22,6,1,24,3.404,0.0,-3.72439,2.558795307179586,1,0,1,2.558795307179586,2.558795307179586,4.367462379632337,4.367462379632337,inter_cali_pair_pi0_prebiased
23,6,0,29,4.904,3.141592653589793,2.30769,2.30769,0,0,0,-0.8339026535897931,-0.8339026535897931,4.659856221631414,4.659856221631414,inter_cali_pair_pi0_prebiased
23,6,1,25,5.038,0.0,0.0,0.0,0,0,0,0.0,0.0,5.038,5.038,inter_cali_pair_pi0_prebiased
24,6,0,26,4.582,3.141592653589793,3.14159,3.14159,0,0,0,-2.6535897932333796e-06,-2.6535897932333796e-06,4.581999185390686,4.581999185390686,inter_cali_pair_pi0_prebiased
24,6,1,30,4.693,0.0,0.0,0.0,0,0,0,0.0,0.0,4.693,4.693,inter_cali_pair_pi0_prebiased
25,7,0,100,3.921,3.141592653589793,4.95855,4.95855,0,0,0,1.8169573464102067,1.8169573464102067,4.49730759389063,4.49730759389063,mzi_table_upper_bar_lower_zero_pi0_prebiased_fallback
25,7,1,104,0.0,0.0,1.81696,1.81696,0,0,0,1.81696,1.81696,2.250286974779452,2.250286974779452,mzi_table_upper_bar_lower_zero_pi0_prebiased_fallback
26,7,0,99,4.165,3.141592653589793,2.99827,2.99827,0,0,0,-0.1433226535897929,-0.1433226535897929,4.115947796992325,4.115947796992325,inter_cali_pair_pi0_prebiased
26,7,1,103,4.198,0.0,1.19653,1.19653,0,0,0,1.19653,1.19653,4.585960054537809,4.585960054537809,inter_cali_pair_pi0_prebiased
27,7,0,102,3.836,3.141592653589793,1.56788,1.56788,0,0,0,-1.5737126535897932,-1.5737126535897932,3.203058166881037,3.203058166881037,inter_cali_pair_pi0_prebiased
27,7,1,98,4.083,0.0,0.0,0.0,0,0,0,0.0,0.0,4.083,4.083,inter_cali_pair_pi0_prebiased
28,7,0,101,3.877,3.141592653589793,0.0,0.0,0,0,0,-3.141592653589793,-3.141592653589793,2.4784081912669467,2.4784081912669467,inter_cali_pair_pi0_prebiased
28,7,1,97,3.908,0.0,3.14159,3.14159,0,0,0,3.14159,3.14159,4.936218155477356,4.936218155477356,inter_cali_pair_pi0_prebiased
