global_target_layer,current_layer,layer_status,skip_reason,start_loss,final_loss,iterations_completed,active_heater_labels,active_heater_ports
7,1,skipped,first_or_last_layer_bar_fixed,,,0,,
7,2,optimized,,0.04840701187761458,0.0027843374270129398,20,MZI5_arm0;MZI5_arm1;MZI6_arm0;MZI6_arm1;MZI7_arm0;MZI7_arm1;MZI1_arm0;MZI2_arm0;MZI3_arm0;MZI4_arm0,11;7;12;8;13;9;65;67;66;68
7,3,optimized,,0.03024985812791197,0.010434721814052047,13,MZI9_arm0;MZI9_arm1;MZI10_arm0;MZI10_arm1;MZI11_arm0;MZI11_arm1;MZI12_arm0;MZI12_arm1;MZI5_arm0;MZI5_arm1;MZI6_arm0;MZI6_arm1;MZI7_arm0;MZI7_arm1,76;72;75;71;74;70;73;69;11;7;12;8;13;9
7,4,optimized,,0.027818155420064324,0.010846463884958718,10,MZI13_arm0;MZI13_arm1;MZI14_arm0;MZI14_arm1;MZI15_arm0;MZI15_arm1;MZI9_arm0;MZI9_arm1;MZI10_arm0;MZI10_arm1;MZI11_arm0;MZI11_arm1;MZI12_arm0;MZI12_arm1,19;15;20;16;21;17;76;72;75;71;74;70;73;69
7,5,optimized,,0.011149138564849875,0.009110950444857616,9,MZI17_arm0;MZI17_arm1;MZI18_arm0;MZI18_arm1;MZI19_arm0;MZI19_arm1;MZI20_arm0;MZI20_arm1;MZI13_arm0;MZI13_arm1;MZI14_arm0;MZI14_arm1;MZI15_arm0;MZI15_arm1,84;80;83;79;82;78;81;77;19;15;20;16;21;17
7,6,optimized,,0.013161583558830266,0.006560178510750554,11,MZI21_arm0;MZI21_arm1;MZI22_arm0;MZI22_arm1;MZI23_arm0;MZI23_arm1;MZI17_arm0;MZI17_arm1;MZI18_arm0;MZI18_arm1;MZI19_arm0;MZI19_arm1;MZI20_arm0;MZI20_arm1,27;23;28;24;29;25;84;80;83;79;82;78;81;77
7,7,optimized,,0.017988054817370907,0.008960383063075214,20,MZI25_arm0;MZI25_arm1;MZI26_arm0;MZI26_arm1;MZI27_arm0;MZI27_arm1;MZI28_arm0;MZI28_arm1;MZI21_arm0;MZI21_arm1;MZI22_arm0;MZI22_arm1;MZI23_arm0;MZI23_arm1,100;104;99;103;102;98;101;97;27;23;28;24;29;25
