v,pow(W),current(mA)
0.000000000000,0.000115365400,-0.048977811261
0.100000000000,0.000115128000,0.151880024553
0.200000000000,0.000115041000,0.358410810627
0.300000000000,0.000114735100,0.558073453991
0.400000000000,0.000114586500,0.761009255442
0.500000000000,0.000114018900,0.960671898805
0.600000000000,0.000112944300,1.160334542168
0.700000000000,0.000111817200,1.363270343619
0.800000000000,0.000110541300,1.562932986983
0.900000000000,0.000108822000,1.762595630346
1.000000000000,0.000106803300,1.962258273709
1.100000000000,0.000104342900,2.161920917072
1.200000000000,0.000100870000,2.361583560436
1.300000000000,0.000096831910,2.557973045711
1.400000000000,0.000092250000,2.757635689074
1.500000000000,0.000086875550,2.954025174349
1.600000000000,0.000080925030,3.150414659625
1.700000000000,0.000074148190,3.350077302988
1.800000000000,0.000066757990,3.543193630175
1.900000000000,0.000058659560,3.739583115451
2.000000000000,0.000050220210,3.932699442638
2.100000000000,0.000041513330,4.135635244089
2.200000000000,0.000032762400,4.322205255101
2.300000000000,0.000024409870,4.512048424200
2.400000000000,0.000016618400,4.705164751388
2.500000000000,0.000009942954,4.898281078575
2.600000000000,0.000004681771,5.084851089587
2.700000000000,0.000001272137,5.274694258686
2.800000000000,0.000000043258,5.464537427786
2.900000000000,0.000001258637,5.651107438797
3.000000000000,0.000005075951,5.837677449809
3.100000000000,0.000011527440,6.024247460820
3.200000000000,0.000020528290,6.210817471832
3.300000000000,0.000031872850,6.394114324755
3.400000000000,0.000044854700,6.577411177679
3.500000000000,0.000058986340,6.760708030603
3.600000000000,0.000073700640,6.940731725438
3.700000000000,0.000087589840,7.124028578362
3.800000000000,0.000100021700,7.304052273198
3.900000000000,0.000109476100,7.480802809945
4.000000000000,0.000114740900,7.657553346693
4.100000000000,0.000116043000,7.834303883441
4.200000000000,0.000111979800,8.011054420189
4.300000000000,0.000103145600,8.187804956937
4.400000000000,0.000089700280,8.361282335596
4.500000000000,0.000072710290,8.534759714256
4.600000000000,0.000054146030,8.704963934828
4.700000000000,0.000035618720,8.878441313488
4.800000000000,0.000019189470,9.045372375972
4.900000000000,0.000007052965,9.215576596544
5.000000000000,0.000000719048,9.385780817116
