v,pow(W),current(mA)
0.000000000000,0.000144087400,-0.032604021582
0.100000000000,0.000144158000,0.167023319016
0.200000000000,0.000142996700,0.361683968715
0.300000000000,0.000144199200,0.561346612079
0.400000000000,0.000144404000,0.757736097354
0.500000000000,0.000144644800,0.957398740717
0.600000000000,0.000144979900,1.153788225992
0.700000000000,0.000143750400,1.353450869356
0.800000000000,0.000144866200,1.553113512719
0.900000000000,0.000143305400,1.749502997994
1.000000000000,0.000142780400,1.945892483270
1.100000000000,0.000142133000,2.142281968545
1.200000000000,0.000139278000,2.338671453820
1.300000000000,0.000136429800,2.535060939095
1.400000000000,0.000132795500,2.731450424371
1.500000000000,0.000128893600,2.927839909646
1.600000000000,0.000122601700,3.120956236834
1.700000000000,0.000116324900,3.317345722109
1.800000000000,0.000108340500,3.510462049296
1.900000000000,0.000099354630,3.703578376484
2.000000000000,0.000089355910,3.893421545583
2.100000000000,0.000078486420,4.086537872770
2.200000000000,0.000067148450,4.276381041870
2.300000000000,0.000048292680,4.466224210969
2.400000000000,0.000043749620,4.656067380069
2.500000000000,0.000032505150,4.845910549168
2.600000000000,0.000021890350,5.032480560180
2.700000000000,0.000013178440,5.219050571191
2.800000000000,0.000003062235,5.405620582203
2.900000000000,0.000001618964,5.588917435127
3.000000000000,0.000000094197,5.775487446138
3.100000000000,0.000002035431,5.958784299062
3.200000000000,0.000007679517,6.142081151985
3.300000000000,0.000016975050,6.325378004909
3.400000000000,0.000029747030,6.505401699745
3.500000000000,0.000045423940,6.685425394580
3.600000000000,0.000063169240,6.865449089416
3.700000000000,0.000082015550,7.042199626164
3.800000000000,0.000100563300,7.218950162912
3.900000000000,0.000117795000,7.395700699660
4.000000000000,0.000131485600,7.572451236407
4.100000000000,0.000141025700,7.745928615067
4.200000000000,0.000144921400,7.919405993727
4.300000000000,0.000141907600,8.092883372387
4.400000000000,0.000132836900,8.263087592959
4.500000000000,0.000117768200,8.436564971619
4.600000000000,0.000097559420,8.606769192191
4.700000000000,0.000075076600,8.773700254675
4.800000000000,0.000052301850,8.943904475247
4.900000000000,0.000030264680,9.110835537731
5.000000000000,0.000013021540,9.274493442127
