switch_mzi,port,feature_coefficient,upload_voltage,target_chip_power_uw,target_leak_power,p_on_leak,p_off_leak,chip_power_max_uw,scan_path
1,43,0.0,4.318,0.0,236.37487000000004,0.8805110919999946,236.37487000000004,235.49435890800004,Scandata-backup-04\1Col\power_data\43.txt
1,43,0.01,4.242,2.3549435890800003,234.01992641092005,0.8805110919999946,236.37487000000004,235.49435890800004,Scandata-backup-04\1Col\power_data\43.txt
1,43,0.02,4.166,4.709887178160001,231.66498282184006,0.8805110919999946,236.37487000000004,235.49435890800004,Scandata-backup-04\1Col\power_data\43.txt
1,43,0.03,4.098,7.064830767240001,229.31003923276003,0.8805110919999946,236.37487000000004,235.49435890800004,Scandata-backup-04\1Col\power_data\43.txt
1,43,0.04,4.087,9.419774356320001,226.95509564368004,0.8805110919999946,236.37487000000004,235.49435890800004,Scandata-backup-04\1Col\power_data\43.txt
1,43,0.05,4.075,11.774717945400003,224.60015205460004,0.8805110919999946,236.37487000000004,235.49435890800004,Scandata-backup-04\1Col\power_data\43.txt
1,43,0.06,4.063,14.129661534480002,222.24520846552005,0.8805110919999946,236.37487000000004,235.49435890800004,Scandata-backup-04\1Col\power_data\43.txt
1,43,0.07,4.051,16.484605123560005,219.89026487644003,0.8805110919999946,236.37487000000004,235.49435890800004,Scandata-backup-04\1Col\power_data\43.txt
1,43,0.08,4.039,18.839548712640003,217.53532128736003,0.8805110919999946,236.37487000000004,235.49435890800004,Scandata-backup-04\1Col\power_data\43.txt
1,43,0.09,4.027,21.194492301720004,215.18037769828004,0.8805110919999946,236.37487000000004,235.49435890800004,Scandata-backup-04\1Col\power_data\43.txt
1,43,0.1,4.016,23.549435890800005,212.82543410920005,0.8805110919999946,236.37487000000004,235.49435890800004,Scandata-backup-04\1Col\power_data\43.txt
1,43,0.11,4.004,25.904379479880003,210.47049052012005,0.8805110919999946,236.37487000000004,235.49435890800004,Scandata-backup-04\1Col\power_data\43.txt
1,43,0.12,3.994,28.259323068960004,208.11554693104003,0.8805110919999946,236.37487000000004,235.49435890800004,Scandata-backup-04\1Col\power_data\43.txt
1,43,0.13,3.986,30.614266658040005,205.76060334196004,0.8805110919999946,236.37487000000004,235.49435890800004,Scandata-backup-04\1Col\power_data\43.txt
1,43,0.14,3.978,32.96921024712001,203.40565975288004,0.8805110919999946,236.37487000000004,235.49435890800004,Scandata-backup-04\1Col\power_data\43.txt
1,43,0.15,3.969,35.324153836200004,201.05071616380005,0.8805110919999946,236.37487000000004,235.49435890800004,Scandata-backup-04\1Col\power_data\43.txt
1,43,0.16,3.961,37.679097425280005,198.69577257472002,0.8805110919999946,236.37487000000004,235.49435890800004,Scandata-backup-04\1Col\power_data\43.txt
1,43,0.17,3.953,40.03404101436001,196.34082898564003,0.8805110919999946,236.37487000000004,235.49435890800004,Scandata-backup-04\1Col\power_data\43.txt
1,43,0.18,3.944,42.38898460344001,193.98588539656004,0.8805110919999946,236.37487000000004,235.49435890800004,Scandata-backup-04\1Col\power_data\43.txt
1,43,0.19,3.936,44.74392819252001,191.63094180748004,0.8805110919999946,236.37487000000004,235.49435890800004,Scandata-backup-04\1Col\power_data\43.txt
1,43,0.2,3.928,47.09887178160001,189.27599821840005,0.8805110919999946,236.37487000000004,235.49435890800004,Scandata-backup-04\1Col\power_data\43.txt
1,43,0.21,3.92,49.453815370680005,186.92105462932005,0.8805110919999946,236.37487000000004,235.49435890800004,Scandata-backup-04\1Col\power_data\43.txt
1,43,0.22,3.911,51.808758959760006,184.56611104024003,0.8805110919999946,236.37487000000004,235.49435890800004,Scandata-backup-04\1Col\power_data\43.txt
1,43,0.23,3.903,54.163702548840014,182.21116745116004,0.8805110919999946,236.37487000000004,235.49435890800004,Scandata-backup-04\1Col\power_data\43.txt
