target,observed_mzi,bmzi,input_channel,output_channel,path,state,dp,v_primary,v_secondary,p_primary,p_secondary,p_primary_unfolded,p_secondary_unfolded,upper_fold_count,lower_fold_count,optical_power_uW,pow(uW),opm_raw_uW,opm_mean_uW,opm_std_uW,opm_median_uW,opm_relative_std,opm_read_count,warning,point_warning,opm_retry_count,upload_retry_count,scan_type,scan_try_index,upload_timestamp,read_timestamp,point_settle_time_s,timestamp,scan_valid,scan_failure_reason,scan_warning,quality_score
6,6,5,3,1,"[2, 6, 10, 13, 17, 25, 33]","[""H"", ""B"", ""H"", ""C"", ""C"", ""B"", ""B""]",0.000000000000,4.191000000000,4.211000000000,0.034163089599,0.034455235106,0.034163089599,0.034455235106,0,0,0.226876800000,0.226876800000,"[0.2268255, 0.2268277, 0.2269366, 0.2268768, 0.22741989999999998]",0.226977300000,0.000224977732,0.226876800000,0.000991190450,5,,,0,0,sigma_inter,1,2026-06-02T12:20:50,2026-06-02T12:21:07,2.000000000000,2026-06-02T12:21:07,True,,,1.000000000000
6,6,5,3,1,"[2, 6, 10, 13, 17, 25, 33]","[""H"", ""B"", ""H"", ""C"", ""C"", ""B"", ""B""]",0.785398163397,4.447913231144,4.466903939062,0.038479944004,0.038770192821,0.038479944004,0.038770192821,0,0,17.116760000000,17.116760000000,"[17.12848, 17.12752, 17.10879, 17.11676, 17.10708]",17.117726000000,0.009007702482,17.116760000000,0.000526220742,5,,,0,0,sigma_inter,1,2026-06-02T12:21:09,2026-06-02T12:21:27,2.000000000000,2026-06-02T12:21:27,True,,,1.000000000000
6,6,5,3,1,"[2, 6, 10, 13, 17, 25, 33]","[""H"", ""B"", ""H"", ""C"", ""C"", ""B"", ""B""]",1.570796326795,4.690776398804,4.708921384097,0.042796798410,0.043085150535,0.042796798410,0.043085150535,0,0,55.277690000000,55.277690000000,"[55.27769, 55.25624, 55.30617, 55.19701, 55.33598]",55.274618000000,0.047182652490,55.277690000000,0.000853604316,5,,,0,0,sigma_inter,1,2026-06-02T12:21:28,2026-06-02T12:21:46,2.000000000000,2026-06-02T12:21:46,True,,,1.000000000000
6,6,5,3,1,"[2, 6, 10, 13, 17, 25, 33]","[""H"", ""B"", ""H"", ""C"", ""C"", ""B"", ""B""]",2.356194490192,4.921669872652,4.939094087220,0.047113652816,0.047400108250,0.047113652816,0.047400108250,0,0,92.386960000000,92.386960000000,"[92.36456, 92.38696, 92.35276999999999, 92.43484, 92.40414]",92.388654000000,0.029134222900,92.386960000000,0.000315344164,5,,,0,0,sigma_inter,1,2026-06-02T12:21:47,2026-06-02T12:22:05,2.000000000000,2026-06-02T12:22:05,True,,,1.000000000000
6,6,5,3,1,"[2, 6, 10, 13, 17, 25, 33]","[""H"", ""B"", ""H"", ""C"", ""C"", ""B"", ""B""]",3.141592653590,5.142206282050,5.159007676212,0.051430507222,0.051715065964,0.051430507222,0.051715065964,0,0,93.634690000000,93.634690000000,"[93.53395, 93.40501, 93.68732999999999, 93.63469, 93.70151]",93.592498000000,0.110667527017,93.634690000000,0.001182440146,5,,,0,0,sigma_inter,1,2026-06-02T12:22:07,2026-06-02T12:22:24,2.000000000000,2026-06-02T12:22:24,True,,,1.000000000000
6,6,5,3,1,"[2, 6, 10, 13, 17, 25, 33]","[""H"", ""B"", ""H"", ""C"", ""C"", ""B"", ""B""]",3.926990816987,3.302442681506,3.327219800011,0.021212526381,0.021510361962,0.055747361628,0.056030023679,1,1,91.868230000000,91.868230000000,"[91.93166000000001, 91.76037, 91.86823, 91.84681, 91.93552]",91.868518000000,0.064254945771,91.868230000000,0.000699422905,5,,,0,0,sigma_inter,1,2026-06-02T12:22:26,2026-06-02T12:22:44,2.000000000000,2026-06-02T12:22:44,True,,,1.000000000000
6,6,5,3,1,"[2, 6, 10, 13, 17, 25, 33]","[""H"", ""B"", ""H"", ""C"", ""C"", ""B"", ""B""]",4.712388980385,3.622924064402,3.645696284442,0.025529380787,0.025825319677,0.060064216034,0.060344981394,1,1,53.289010000000,53.289010000000,"[53.26666, 53.2273, 53.34119999999999, 53.294619999999995, 53.28901]",53.283758000000,0.037215580823,53.289010000000,0.000698441368,5,,,0,0,sigma_inter,1,2026-06-02T12:22:45,2026-06-02T12:23:03,2.000000000000,2026-06-02T12:23:03,True,,,1.000000000000
6,6,5,3,1,"[2, 6, 10, 13, 17, 25, 33]","[""H"", ""B"", ""H"", ""C"", ""C"", ""B"", ""B""]",5.497787143782,3.917273272087,3.938503675153,0.029846235193,0.030140277391,0.064381070440,0.064659939108,1,1,13.788590000000,13.788590000000,"[13.802380000000001, 13.78859, 13.792409999999999, 13.77894, 13.78213]",13.788890000000,0.008236025741,13.788590000000,0.000597294325,5,,,0,0,sigma_inter,1,2026-06-02T12:23:05,2026-06-02T12:23:22,2.000000000000,2026-06-02T12:23:22,True,,,1.000000000000
6,6,5,3,1,"[2, 6, 10, 13, 17, 25, 33]","[""H"", ""B"", ""H"", ""C"", ""C"", ""B"", ""B""]",6.283185307180,4.191000000000,4.211000000000,0.034163089599,0.034455235106,0.068697924846,0.068974896823,1,1,0.229627800000,0.229627800000,"[0.22982740000000002, 0.22962780000000002, 0.2296756, 0.2292799, 0.2293525]",0.229552640000,0.000205282426,0.229627800000,0.000894271684,5,,,0,0,sigma_inter,1,2026-06-02T12:23:24,2026-06-02T12:23:42,2.000000000000,2026-06-02T12:23:42,True,,,1.000000000000
