stage,perturb_label,scan_kind,observed_mzi,scan_file,valid,try_count,point_count,median_power_uW,min_power_uW,max_power_uW,curve_range_uW,unstable_point_count,near_zero_point_count,neighbor_jump_count,edge_jump_count,warning,failure_reason
perturb,6u,sigma,6,Scandata\J_remeasure\run_20260602_094108\perturb_6u\sigma\obs6_inter_scan_try1.txt,True,1,9,53.402590000000004,0.2240938,105.592,105.3679062,0,2,0,0,,
perturb,6u,sigma,7,Scandata\J_remeasure\run_20260602_094108\perturb_6u\sigma\obs7_inter_scan_try1.txt,True,1,9,4.279533,0.33199110000000004,10.5624,10.2304089,0,3,0,0,,
perturb,6u,sigma,8,Scandata\J_remeasure\run_20260602_094108\perturb_6u\sigma\obs8_inter_scan_try1.txt,True,1,9,2.0294450000000004,0.1247943,4.764225,4.6394307,0,3,0,0,,
perturb,6d,delta,5,Scandata\J_remeasure\run_20260602_094108\perturb_6d\delta\obs5_probe_try1.txt,True,1,9,71.68706999999999,64.56483,78.25281,13.687979999999996,0,0,0,0,,
perturb,6d,delta,6,Scandata\J_remeasure\run_20260602_094108\perturb_6d\delta\obs6_probe_try1.txt,True,1,9,55.619550000000004,54.845349999999996,56.045660000000005,1.2003100000000089,0,0,0,0,,
perturb,6d,delta,7,Scandata\J_remeasure\run_20260602_094108\perturb_6d\delta\obs7_probe_try1.txt,True,1,9,73.78188,71.03368,75.39694,4.363259999999997,0,0,0,0,,
perturb,6d,delta,8,Scandata\J_remeasure\run_20260602_094108\perturb_6d\delta\obs8_probe_try1.txt,True,1,9,79.79455,74.76814,83.77848,9.01034,0,0,0,0,,
perturb,6d,sigma,5,Scandata\J_remeasure\run_20260602_094108\perturb_6d\sigma\obs5_inter_scan_try1.txt,True,1,9,93.98223,19.151139999999998,145.5727,126.42156,0,0,0,0,,
perturb,6d,sigma,6,Scandata\J_remeasure\run_20260602_094108\perturb_6d\sigma\obs6_inter_scan_try1.txt,True,1,9,47.94254,0.704499,104.3387,103.634201,0,2,0,0,,
perturb,6d,sigma,7,Scandata\J_remeasure\run_20260602_094108\perturb_6d\sigma\obs7_inter_scan_try1.txt,True,1,9,3.9922350000000004,0.2620668,9.928650000000001,9.666583200000002,0,3,0,0,,
perturb,6d,sigma,8,Scandata\J_remeasure\run_20260602_094108\perturb_6d\sigma\obs8_inter_scan_try1.txt,True,1,9,1.986206,0.1302943,4.730706,4.6004116999999995,0,3,0,0,,
perturb,7u,delta,5,Scandata\J_remeasure\run_20260602_094108\perturb_7u\delta\obs5_probe_try1.txt,True,1,9,71.68242,64.50283,78.20979,13.706959999999995,0,0,0,0,,
perturb,7u,delta,6,Scandata\J_remeasure\run_20260602_094108\perturb_7u\delta\obs6_probe_try1.txt,True,1,9,51.50704,50.969739999999994,51.682089999999995,0.7123500000000007,0,0,0,0,low delta curve range,
perturb,7u,delta,7,Scandata\J_remeasure\run_20260602_094108\perturb_7u\delta\obs7_probe_try1.txt,True,1,9,71.32945,67.64669,73.95472,6.308029999999988,0,0,0,0,,
perturb,7u,delta,8,Scandata\J_remeasure\run_20260602_094108\perturb_7u\delta\obs8_probe_try1.txt,True,1,9,80.12802,74.94172999999999,84.24258999999999,9.30086,0,0,0,0,,
perturb,7u,sigma,5,Scandata\J_remeasure\run_20260602_094108\perturb_7u\sigma\obs5_inter_scan_try1.txt,True,1,9,93.98881,19.13355,145.3674,126.23385,0,0,0,0,,
perturb,7u,sigma,6,Scandata\J_remeasure\run_20260602_094108\perturb_7u\sigma\obs6_inter_scan_try1.txt,True,1,9,32.607639999999996,0.2292472,105.1646,104.93535279999999,0,2,0,0,,
perturb,7u,sigma,7,Scandata\J_remeasure\run_20260602_094108\perturb_7u\sigma\obs7_inter_scan_try1.txt,True,1,9,3.791947,0.4393075,10.2318,9.7924925,0,3,0,0,,
perturb,7u,sigma,8,Scandata\J_remeasure\run_20260602_094108\perturb_7u\sigma\obs8_inter_scan_try1.txt,True,1,9,1.9099199999999998,0.4590719,4.779684,4.3206121,0,3,0,0,,
perturb,7d,delta,5,Scandata\J_remeasure\run_20260602_094108\perturb_7d\delta\obs5_probe_try1.txt,True,1,9,71.54344999999999,64.3872,78.15741,13.770209999999992,0,0,0,0,,
perturb,7d,delta,6,Scandata\J_remeasure\run_20260602_094108\perturb_7d\delta\obs6_probe_try1.txt,True,1,9,51.298970000000004,50.808350000000004,51.51972,0.7113699999999952,0,0,0,0,low delta curve range,
perturb,7d,delta,7,Scandata\J_remeasure\run_20260602_094108\perturb_7d\delta\obs7_probe_try1.txt,True,1,9,77.40977000000001,75.9783,77.72521,1.7469099999999997,0,0,0,0,,
perturb,7d,delta,8,Scandata\J_remeasure\run_20260602_094108\perturb_7d\delta\obs8_probe_try1.txt,True,1,9,79.84676999999999,74.84954,83.03177,8.18222999999999,0,0,0,0,,
perturb,7d,sigma,5,Scandata\J_remeasure\run_20260602_094108\perturb_7d\sigma\obs5_inter_scan_try1.txt,True,1,9,93.85473999999999,19.08268,145.2958,126.21312000000002,0,0,0,0,,
perturb,7d,sigma,6,Scandata\J_remeasure\run_20260602_094108\perturb_7d\sigma\obs6_inter_scan_try1.txt,True,1,9,53.28901,0.2268768,93.63469,93.4078132,0,2,0,0,,
perturb,7d,sigma,7,Scandata\J_remeasure\run_20260602_094108\perturb_7d\sigma\obs7_inter_scan_try1.txt,True,1,9,3.313439,0.4802064,9.863665,9.383458599999999,0,3,0,0,,
perturb,7d,sigma,8,Scandata\J_remeasure\run_20260602_094108\perturb_7d\sigma\obs8_inter_scan_try1.txt,True,1,9,1.7681259999999999,0.1518193,4.550363,4.3985437,0,3,0,0,,
perturb,8u,delta,5,Scandata\J_remeasure\run_20260602_094108\perturb_8u\delta\obs5_probe_try1.txt,True,1,9,71.54539,64.37024,78.11761,13.747370000000004,0,0,0,0,,
perturb,8u,delta,6,Scandata\J_remeasure\run_20260602_094108\perturb_8u\delta\obs6_probe_try1.txt,True,1,9,51.33405,50.82817,51.545989999999996,0.7178199999999961,0,0,0,0,low delta curve range,
perturb,8u,delta,7,Scandata\J_remeasure\run_20260602_094108\perturb_8u\delta\obs7_probe_try1.txt,False,1,9,73.20120999999999,0.04204706,74.94837,74.90632294,0,1,1,1,,near-zero isolated point; neighbor jump; edge jump
perturb,8u,delta,7,Scandata\J_remeasure\run_20260602_094108\perturb_8u\delta\obs7_probe_try2.txt,True,2,9,73.69614,71.12667,75.25774,4.131069999999994,0,0,0,0,,
perturb,8u,delta,8,Scandata\J_remeasure\run_20260602_094108\perturb_8u\delta\obs8_probe_try1.txt,True,1,9,83.54274000000001,79.44719,86.30542,6.858229999999992,0,0,0,0,,
perturb,8u,sigma,5,Scandata\J_remeasure\run_20260602_094108\perturb_8u\sigma\obs5_inter_scan_try1.txt,True,1,9,93.82422,19.09129,145.4238,126.33251,0,0,0,0,,
perturb,8u,sigma,6,Scandata\J_remeasure\run_20260602_094108\perturb_8u\sigma\obs6_inter_scan_try1.txt,True,1,9,53.3006,0.2262511,105.07889999999999,104.85264889999999,0,1,0,0,,
perturb,8u,sigma,7,Scandata\J_remeasure\run_20260602_094108\perturb_8u\sigma\obs7_inter_scan_try1.txt,True,1,9,3.777547,0.4376908,10.25222,9.814529199999999,0,3,0,0,,
perturb,8u,sigma,8,Scandata\J_remeasure\run_20260602_094108\perturb_8u\sigma\obs8_inter_scan_try1.txt,True,1,9,1.144268,0.1290115,4.709019,4.5800075,0,3,0,0,,
perturb,8d,delta,5,Scandata\J_remeasure\run_20260602_094108\perturb_8d\delta\obs5_probe_try1.txt,True,1,9,71.63775,64.46569,78.11449999999999,13.648809999999997,0,0,0,0,,
perturb,8d,delta,6,Scandata\J_remeasure\run_20260602_094108\perturb_8d\delta\obs6_probe_try1.txt,True,1,9,51.353100000000005,50.844080000000005,51.58932,0.7452399999999955,0,0,0,0,low delta curve range,
perturb,8d,delta,7,Scandata\J_remeasure\run_20260602_094108\perturb_8d\delta\obs7_probe_try1.txt,True,1,9,73.71674,71.05953,75.25839,4.1988600000000105,0,0,0,0,,
perturb,8d,delta,8,Scandata\J_remeasure\run_20260602_094108\perturb_8d\delta\obs8_probe_try1.txt,True,1,9,74.45627999999999,68.60696,79.46902999999999,10.862069999999989,0,0,0,0,,
perturb,8d,sigma,5,Scandata\J_remeasure\run_20260602_094108\perturb_8d\sigma\obs5_inter_scan_try1.txt,True,1,9,93.94493,19.123759999999997,145.6201,126.49634,0,0,0,0,,
perturb,8d,sigma,6,Scandata\J_remeasure\run_20260602_094108\perturb_8d\sigma\obs6_inter_scan_try1.txt,True,1,9,53.38629,0.2269744,105.2045,104.97752559999999,0,2,0,0,,
perturb,8d,sigma,7,Scandata\J_remeasure\run_20260602_094108\perturb_8d\sigma\obs7_inter_scan_try1.txt,True,1,9,3.7852159999999997,0.4372958,10.270660000000001,9.833364200000002,0,3,0,0,,
perturb,8d,sigma,8,Scandata\J_remeasure\run_20260602_094108\perturb_8d\sigma\obs8_inter_scan_try1.txt,True,1,9,2.1784600000000003,0.12378280000000001,4.643680000000001,4.519897200000001,0,3,0,0,,
perturb,7u,sigma,8,Scandata\J_remeasure\run_20260602_094108\perturb_7u\sigma\obs8_inter_scan_try1.txt,True,1,9,1.925746,0.1761928,4.8191880000000005,4.6429952000000005,0,3,0,0,,
perturb,7u,sigma,8,Scandata\J_remeasure\run_20260602_094108\perturb_7u\sigma\obs8_inter_scan_try1.txt,True,1,9,1.9272989999999999,0.17639529999999998,4.830325,4.6539297,0,3,0,0,,
