,P5u,P5d,P6u,P6d,P7u,P7d,P8u,P8d
Sigma5,0.00029005756428368556,0.18709550421811283,0.0013244197005333191,-0.04724489340488791,-0.0010363656677592203,-0.0020356576319651154,0.00010689331941637903,-9.25051717635128e-05
Sigma6,-0.13107132776591437,-0.05235266110027936,-0.0035131389830320714,0.12910880892598087,-0.010840729559629558,-0.010828105392560516,-0.008980968025686487,-0.009423611825410738
Sigma7,-0.09811858711274547,-0.045624218877733824,-0.1569793824415351,-0.019300719561375246,-0.00940549177188199,0.19010064333150642,-0.001766164493671063,-0.0034099337414517095
Sigma8,-0.15594964125464553,-0.00022584905410738543,-0.13678523627166503,-0.08987674827460523,-0.14207707520377255,0.013752909074352004,-0.001320178231988045,0.19463736562701328
