,P5u,P5d,P6u,P6d,P7u,P7d,P8u,P8d
Sigma5,-0.0006178662769640297,0.19029851271719342,0.004123500329825447,0.5858320766541576,0.006318093380743406,0.007107334101352336,0.005915276148662052,0.005310194114237277
Sigma6,-0.12871771134435495,-0.04893756710904995,0.005688598795494215,0.4475353905750561,0.009817635692654925,0.011148304705309364,0.008440858593805167,0.024944472434304643
Sigma7,0.7932742794757575,0.8521302935886882,0.7712481146533251,1.2198620822662791,1.1403039372877766,1.090072446079162,0.9095496113928716,0.9989417599527854
Sigma8,0.7410395547367221,0.9042350635852258,0.8027919819671611,1.22522646944637,1.351840263804168,0.9118375438956042,0.9104219122336454,1.191289484474595
